日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,5,0,0
01.29,2,7,0,0
01.30,1,8,2,0
01.31,1,9,2,0
02.01,3,12,2,0
02.02,0,12,2,0
02.03,0,12,2,0
02.04,1,13,2,0
02.05,1,14,2,0
02.06,1,15,5,0
02.07,0,15,5,0
02.08,0,15,5,0
02.09,0,15,5,0
02.10,0,15,5,0
02.11,0,15,5,0
02.12,0,15,5,0
02.13,0,15,5,0
02.14,0,15,5,0
02.15,0,15,5,0
02.16,0,15,5,0
02.17,0,15,5,0
02.18,0,15,5,0
02.19,0,15,5,0
02.20,0,15,5,0
02.21,2,17,5,0
02.22,0,17,5,0
02.23,0,17,5,0
02.24,5,22,10,0
02.25,1,23,10,0
02.26,0,23,15,0
02.27,0,23,15,0
02.28,1,24,15,0
02.29,1,25,15,0
03.01,3,28,15,1
03.02,5,33,15,1
03.03,7,40,21,1
03.04,4,44,21,2
03.05,13,57,21,2
03.06,3,60,21,2
03.07,4,64,21,2
03.08,12,76,21,3
03.09,7,83,22,3
03.10,18,101,22,3
03.11,16,117,22,3
03.12,42,159,24,3
03.13,0,159,24,3
03.14,29,236,24,3
03.15,36,272,24,5
03.16,96,368,27,6
03.17,81,449,27,6
03.18,107,556,27,6
03.19,80,636,27,6
03.20,241,877,46,7
03.21,174,1051,46,7
03.22,301,1353,46,7
03.23,356,1709,88,7
03.24,427,2136,118,8
03.25,287,2423,118,8
03.26,376,2799,170,12
03.27,367,3166,170,13
03.28,469,3635,170,14
03.29,334,3969,244,16
03.30,276,4245,244,18
03.31,314,4559,358,18
04.01,303,4862,422,20
04.02,254,5116,520,24
04.03,214,5330,649,28
04.04,220,5550,701,30
04.05,137,5687,757,35
04.06,110,5797,1080,40
04.07,98,5895,1080,45
04.08,115,6010,1080,50
04.09,98,6108,1472,51
04.10,96,6204,1472,54
04.11,88,6292,1806,56
04.12,23,6315,1806,60
04.13,36,6351,1806,61
04.14,143,6494,2186,61
04.15,-54,6440,2186,63
04.16,22,6462,2355,63
04.17,60,6522,3808,66
04.18,25,6547,4124,67
04.19,0,6547,4124,67
04.20,0,6547,4124,67
04.21,0,6547,4124,67
04.22,0,6547,4124,67
04.23,0,6547,4124,67
04.24,114,6661,4124,75
04.25,16,6677,4124,79
04.26,17,6694,5364,80
04.27,20,6714,5541,83
04.28,7,6721,5588,83
04.29,25,6746,5670,90
04.30,8,6754,5717,92
05.01,11,6765,5747,93
05.02,16,6781,5796,93
05.03,0,6781,5796,93
05.04,42,6823,5863,96
05.05,28,6851,5890,97
05.06,24,6875,5986,97
05.07,22,6897,6035,97
05.08,17,6914,6079,97
05.09,15,6929,6134,97
05.10,12,6941,6163,97
05.11,7,6948,6179,97
05.12,18,6966,6231,97
05.13,9,6975,6271,98
05.14,14,6989,6301,98
05.15,31,7020,6338,98
05.16,16,7036,6363,98
05.17,9,7045,6367,98
05.18,15,7060,6394,99
05.19,8,7068,6413,100
05.20,11,7079,6444,100
05.21,2,7081,6472,100
05.22,14,7095,6479,101
05.23,16,7111,6494,102
05.24,3,7114,6509,102
05.25,4,7118,6532,102
05.26,15,7133,6553,102
05.27,6,7139,6566,103
05.28,18,7157,6580,103
05.29,16,7173,6582,103
05.30,12,7185,6606,103
05.31,10,7195,6614,103
06.01,9,7204,6619,102
06.02,17,7221,6625,102
06.03,7,7228,6632,102
06.04,12,7240,6664,102
06.05,11,7251,6683,102
06.06,4,7255,6693,102
06.07,5,7260,6703,102
06.08,5,7265,6706,102
06.09,2,7267,6720,102
06.10,9,7276,6744,102
06.11,9,7285,6761,102
06.12,5,7290,6783,102
06.13,12,7302,6812,102
06.14,18,7320,6838,102
06.15,15,7335,6851,102
06.16,12,7347,6856,102
06.17,23,7370,6868,102
06.18,0,7370,6868,102
