日期,新增确诊,确诊总数,治愈数,死亡数
03.21,0,16,2,1
03.22,0,16,2,1
03.23,3,19,2,1
03.24,2,21,2,1
03.25,4,25,2,1
03.26,1,26,2,1
03.27,0,26,2,1
03.28,4,30,2,1
03.29,2,32,2,1
03.30,2,34,2,1
03.31,2,36,2,1
04.01,2,38,2,2
04.02,6,44,2,3
04.03,3,47,2,3
04.04,6,53,7,3
04.05,2,55,7,3
04.06,3,58,8,3
04.07,1,59,8,3
04.08,4,63,10,3
04.09,0,63,10,4
04.10,0,63,13,4
04.11,2,65,13,4
04.12,4,69,13,4
04.13,3,72,16,4
04.14,1,73,19,4
04.15,32,105,21,5
04.16,20,125,21,5
04.17,18,143,25,5
04.18,20,163,25,5
04.19,10,173,25,5
04.20,23,196,27,5
04.21,27,223,27,6
04.22,10,233,27,6
04.23,19,252,28,6
04.24,5,257,28,6
04.25,31,288,28,7
04.26,17,305,28,7
04.27,45,350,28,7
04.28,14,364,29,7
04.29,17,381,29,7
04.30,15,396,29,7
05.01,26,422,29,8
05.02,10,432,31,8
05.03,0,432,31,8
05.04,37,469,38,9
05.05,2,471,49,9
05.06,2,473,56,9
05.07,5,478,57,9
05.08,10,488,58,9
05.09,2,490,62,9
05.10,8,498,78,9
05.11,4,502,90,9
05.12,3,505,90,9
05.13,2,507,100,9
05.14,2,509,113,9
05.15,0,509,118,9
05.16,2,511,121,9
05.17,6,517,121,9
05.18,3,520,127,9
05.19,0,520,131,9
05.20,0,520,145,9
05.21,9,529,171,9
05.22,5,534,181,9
05.23,10,544,191,9
05.24,6,550,200,9
05.25,2,552,211,9
05.26,4,556,238,9
05.27,8,564,267,9
05.28,5,569,279,9
05.29,0,569,284,9
05.30,6,575,289,9
05.31,6,581,290,9
06.01,5,586,311,9
06.02,2,588,322,9
06.03,0,588,322,9
06.04,3,591,361,10
06.05,0,591,368,10
06.06,4,595,385,10
06.07,1,596,404,10
06.08,2,598,405,10
06.09,1,599,405,10
06.10,6,605,405,10
06.11,0,605,407,10
06.12,6,611,408,10
06.13,3,614,417,10
06.14,1,615,420,10
06.15,2,617,420,10
06.16,4,621,430,10
06.17,0,621,449,10
06.18,0,621,449,10
