日期,新增确诊,确诊总数,治愈数,死亡数
03.21,0,9,0,0
03.22,41,50,1,0
03.23,1,51,0,0
03.24,1,52,0,0
03.25,5,57,0,0
03.26,3,60,0,1
03.27,6,66,1,2
03.28,0,66,1,2
03.29,10,76,1,3
03.30,2,78,1,3
03.31,7,85,1,3
04.01,4,89,1,5
04.02,1,90,1,5
04.03,7,97,1,6
04.04,3,100,1,6
04.05,4,104,1,7
04.06,1,105,1,7
04.07,1,106,1,8
04.08,1,107,1,8
04.09,2,109,1,8
04.10,0,109,1,8
04.11,0,109,3,8
04.12,4,113,12,8
04.13,0,113,16,8
04.14,0,113,17,8
04.15,1,114,19,8
04.16,0,114,20,8
04.17,0,114,20,8
04.18,0,114,21,8
04.19,0,114,21,8
04.20,0,114,21,8
04.21,0,114,26,8
04.22,1,115,37,8
04.23,0,115,41,8
04.24,0,115,48,8
04.25,0,115,52,8
04.26,0,115,53,8
04.27,1,116,59,8
04.28,0,116,59,8
04.29,0,116,68,8
04.30,0,116,72,8
05.01,0,116,73,8
05.02,0,116,87,8
05.03,0,116,88,8
05.04,0,116,96,8
05.05,0,116,102,8
05.06,0,116,103,8
05.07,0,116,103,8
05.08,0,116,103,8
05.09,0,116,103,8
05.10,0,116,107,8
05.11,0,116,107,8
05.12,0,116,107,8
05.13,0,116,107,8
05.14,0,116,107,8
05.15,0,116,107,8
05.16,0,116,107,8
05.17,0,116,107,8
05.18,0,116,107,8
05.19,0,116,107,8
05.20,0,116,107,8
05.21,0,116,107,8
05.22,0,116,108,8
05.23,0,116,108,8
05.24,0,116,108,8
05.25,0,116,108,8
05.26,0,116,108,8
05.27,0,116,108,8
05.28,0,116,108,8
05.29,0,116,108,8
05.30,0,116,108,8
05.31,1,117,108,8
06.01,0,117,108,8
06.02,0,117,108,8
06.03,0,117,108,8
06.04,0,117,108,8
06.05,0,117,108,8
06.06,0,117,108,8
06.07,0,117,108,8
06.08,0,117,109,8
06.09,0,117,109,8
06.10,0,117,109,8
06.11,0,117,109,8
06.12,0,117,109,8
06.13,0,117,109,8
06.14,0,117,109,8
06.15,6,123,109,8
06.16,0,123,109,8
06.17,0,123,109,8
06.18,0,123,109,8
