日期,新增确诊,确诊总数,治愈数,死亡数
01.31,0,1,0,0
02.01,0,1,0,0
02.02,0,1,0,0
02.03,0,1,0,0
02.04,0,1,0,0
02.05,0,1,0,0
02.06,0,1,0,0
02.07,0,1,0,0
02.08,0,1,0,0
02.09,0,1,0,0
02.10,0,1,0,0
02.11,0,1,0,0
02.12,0,1,0,0
02.13,0,1,0,0
02.14,0,1,0,0
02.15,0,1,0,0
02.16,0,1,0,0
02.17,0,1,0,0
02.18,0,1,0,0
02.19,0,1,0,0
02.20,0,1,0,0
02.21,0,1,0,0
02.22,0,1,0,0
02.23,0,1,0,0
02.24,0,1,0,0
02.25,0,1,0,0
02.26,0,1,0,0
02.27,1,2,0,0
02.28,5,7,0,0
02.29,5,12,0,0
03.01,1,13,0,0
03.02,1,14,0,0
03.03,5,19,0,0
03.04,11,30,0,0
03.05,30,60,0,0
03.06,41,101,0,0
03.07,50,161,0,0
03.08,42,203,0,0
03.09,45,248,0,0
03.10,12,346,1,0
03.11,204,464,1,1
03.12,280,635,1,1
03.13,52,687,1,1
03.14,127,814,1,2
03.15,178,992,1,2
03.16,31,1023,1,3
03.17,96,1119,1,7
03.18,0,1119,1,7
03.19,173,1292,15,10
03.20,147,1439,16,11
03.21,200,1639,16,16
03.22,131,1770,16,20
03.23,188,1934,16,23
03.24,338,2272,16,36
03.25,338,2272,16,36
03.26,238,2510,16,42
03.27,536,3046,16,92
03.28,23,3069,16,92
03.29,378,3447,16,105
03.30,253,3700,16,110
03.31,735,4435,16,180
04.01,512,4947,16,239
04.02,519,5466,103,282
04.03,612,6078,103,333
04.04,365,6443,205,373
04.05,387,6830,205,401
04.06,376,7206,205,477
04.07,487,7693,205,591
04.08,726,8419,205,687
04.09,722,9141,205,793
04.10,544,9685,205,870
04.11,466,10151,381,887
04.12,332,10483,381,899
04.13,465,10948,381,919
04.14,497,11445,381,1033
04.15,482,11927,381,1203
04.16,613,12540,381,1333
04.17,676,13216,550,1400
04.18,606,13822,550,1511
04.19,563,14385,550,1540
04.20,392,14777,550,1580
04.21,545,15322,550,1765
04.22,682,16004,550,1937
04.23,751,16755,550,2021
04.24,812,17567,550,2152
04.25,610,18177,1005,2192
04.26,463,18640,1005,2194
04.27,286,18926,1005,2274
04.28,695,19621,1005,2355
04.29,681,20302,1005,2462
04.30,790,21092,1005,2586
05.01,0,21092,1005,2586
05.02,990,22082,1005,2669
05.03,0,22082,1005,2669
05.04,639,22721,1005,2769
05.05,495,23216,4074,2854
05.06,702,23918,4074,2941
05.07,705,24623,4074,3040
05.08,642,25265,4971,3175
05.09,656,25921,4971,3220
05.10,401,26322,4971,3225
05.11,348,26670,4971,3256
05.12,602,27272,4971,3313
05.13,637,27909,4971,3460
05.14,673,28582,4971,3529
05.15,625,29207,4971,3646
05.16,470,29677,4971,3674
05.17,466,30143,4971,3679
05.18,234,30377,4971,3698
05.19,422,30799,4971,3743
05.20,724,31523,4971,3831
05.21,649,32172,4971,3871
05.22,637,32809,4971,3925
05.23,379,33188,4971,3992
05.24,271,33459,4971,3998
05.25,384,33843,4971,4029
05.26,597,34440,4971,4125
05.27,648,35088,4971,4220
05.28,639,35727,4971,4266
05.29,749,36476,4971,4350
05.30,637,37113,4971,4395
05.31,429,37542,4971,4395
06.01,272,37814,4971,4403
06.02,775,38589,0,4468
06.03,0,38589,0,4468
06.04,2214,40803,0,4542
06.05,1080,41883,0,4562
06.06,2004,43887,0,4656
06.07,843,44730,0,4659
06.08,403,45133,0,4694
06.09,791,45924,0,4717
06.10,0,45924,0,4717
06.11,2364,48288,0,4814
06.12,1396,49684,0,4854
06.13,1247,50931,0,4874
06.14,683,51614,0,4874
06.15,769,52383,0,4891
06.16,940,53323,0,4939
06.17,1239,54562,0,5041
