日期,新增确诊,确诊总数,治愈数,死亡数
04.30,0,1,0,0
05.01,0,1,0,0
05.02,0,1,0,0
05.03,2,3,0,0
05.04,0,3,0,0
05.05,0,3,0,0
05.06,1,4,0,1
05.07,4,8,0,1
05.08,0,8,0,1
05.09,0,8,0,1
05.10,3,11,0,1
05.11,0,11,0,1
05.12,0,11,0,1
05.13,0,11,0,1
05.14,0,11,0,1
05.15,0,11,3,1
05.16,0,11,3,1
05.17,0,11,3,1
05.18,0,11,3,1
05.19,0,11,3,1
05.20,23,34,8,1
05.21,0,34,8,1
05.22,0,34,8,1
05.23,44,78,18,1
05.24,0,78,18,1
05.25,9,87,21,1
05.26,0,87,21,1
05.27,0,87,21,1
05.28,0,87,24,2
05.29,0,87,24,2
05.30,0,87,24,2
05.31,19,106,26,2
06.01,0,106,26,2
06.02,0,106,26,2
06.03,26,132,27,2
06.04,0,132,27,2
06.05,0,132,55,2
06.06,0,132,55,2
06.07,9,141,67,2
06.08,0,141,67,2
06.09,0,141,67,2
06.10,0,141,67,2
06.11,21,162,97,2
06.12,0,162,97,2
06.13,1,163,97,2
06.14,13,176,114,2
06.15,0,176,114,2
06.16,0,176,114,2
06.17,21,197,127,3
06.18,0,197,127,3
