日期,新增确诊,确诊总数,治愈数,死亡数
03.12,1,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,3,4,0,0
03.16,0,4,0,0
03.17,2,6,1,0
03.18,0,6,1,0
03.19,0,6,1,0
03.20,0,6,1,0
03.21,8,14,1,0
03.22,0,14,1,0
03.23,11,25,2,0
03.24,0,25,2,0
03.25,48,73,3,0
03.26,7,80,3,0
03.27,16,96,3,0
03.28,5,101,3,0
03.29,39,140,3,0
03.30,64,165,4,1
03.31,3,168,6,1
04.01,11,179,7,1
04.02,11,190,9,1
04.03,4,194,15,1
04.04,24,218,19,1
04.05,27,245,25,1
04.06,16,261,37,3
04.07,62,323,41,3
04.08,26,349,41,3
04.09,35,384,48,3
04.10,60,444,52,3
04.11,36,480,54,3
04.12,53,533,58,4
04.13,41,574,85,5
04.14,52,626,89,6
04.15,12,638,114,6
04.16,16,654,146,6
04.17,34,688,193,6
04.18,54,742,220,6
04.19,59,801,239,8
04.20,46,847,260,9
04.21,32,879,287,10
04.22,37,916,303,13
04.23,36,952,310,14
04.24,52,1004,359,14
04.25,73,1077,419,14
04.26,34,1111,449,14
04.27,39,1150,468,14
04.28,14,1164,499,14
04.29,19,1183,525,14
04.30,55,1238,557,14
05.01,37,1275,574,14
05.02,58,1333,597,15
05.03,29,1362,622,15
05.04,36,1398,653,17
05.05,34,1432,693,17
05.06,32,1464,701,18
05.07,52,1516,721,18
05.08,55,1571,742,20
05.09,31,1602,754,20
05.10,65,1667,769,21
05.11,33,1700,794,21
05.12,30,1730,818,21
05.13,127,1857,820,21
05.14,55,1912,902,24
05.15,59,1971,930,24
05.16,46,2017,942,24
05.17,44,2061,987,25
05.18,48,2109,1004,27
05.19,10,2119,1040,28
05.20,34,2153,1050,28
05.21,78,2231,1083,29
05.22,70,2301,1100,29
05.23,40,2341,1146,29
05.24,25,2366,1188,30
05.25,10,2376,1219,30
05.26,47,2423,1257,30
05.27,54,2477,1286,30
05.28,79,2556,1302,31
05.29,85,2641,1326,32
05.30,109,2750,1370,32
05.31,49,2799,1385,33
06.01,34,2833,1435,33
06.02,118,2951,1467,33
06.03,73,3024,1501,33
06.04,86,3110,1530,35
06.05,152,3262,1584,35
06.06,169,3431,1604,36
06.07,126,3557,1750,36
06.08,182,3739,1818,36
06.09,142,3881,1869,38
06.10,114,3995,2045,38
06.11,186,4181,2174,41
06.12,223,4404,2212,41
06.13,280,4684,2263,45
06.14,164,4848,2397,45
06.15,236,5084,2505,45
06.16,355,5439,2590,46
06.17,240,5679,2637,46
06.18,0,5679,2637,46
