日期,新增确诊,确诊总数,治愈数,死亡数
03.06,1,1,0,0
03.07,0,1,0,0
03.08,5,6,0,0
03.09,1,7,0,0
03.10,2,9,0,0
03.11,2,11,0,0
03.12,6,17,0,0
03.13,5,22,0,0
03.14,6,28,0,0
03.15,0,28,0,0
03.16,43,71,0,0
03.17,0,71,0,0
03.18,31,117,0,0
03.19,28,145,0,0
03.20,89,234,2,3
03.21,29,263,2,4
03.22,55,318,2,5
03.23,55,363,2,5
03.24,32,395,2,5
03.25,21,416,1,7
03.26,85,480,2,5
03.27,100,580,14,9
03.28,55,635,14,11
03.29,36,671,16,16
03.30,181,852,16,18
03.31,98,950,53,24
04.01,115,1065,394,30
04.02,258,1323,394,47
04.03,91,1414,537,55
04.04,181,1595,537,61
04.05,151,1746,914,73
04.06,535,2281,989,83
04.07,280,2561,997,92
04.08,393,2954,1301,107
04.09,1388,4342,1333,121
04.10,914,5256,1438,138
04.11,641,5897,1569,169
04.12,951,6848,1739,181
04.13,671,7519,1798,193
04.14,2265,9784,2642,216
04.15,519,10303,2869,230
04.16,1172,11475,3108,254
04.17,1016,12491,6120,274
04.18,998,13489,6541,300
04.19,931,14420,6684,348
04.20,1208,15628,6811,400
04.21,697,16325,6968,445
04.22,1512,17837,6982,484
04.23,1413,19250,7027,530
04.24,1664,20914,7422,572
04.25,734,21648,7496,634
04.26,3683,25331,7797,700
04.27,2186,27517,8088,728
04.28,1182,28699,8425,782
04.29,2491,31190,9179,854
04.30,2741,33931,10037,943
05.01,3045,36976,10405,1051
05.02,3483,40459,11129,1124
05.03,2075,42534,12434,1200
05.04,3394,45928,13550,1286
05.05,1444,47372,14427,1344
05.06,3817,51189,15413,1444
05.07,3628,54817,17527,1533
05.08,3709,58526,18388,1627
05.09,3321,61847,19012,1714
05.10,3168,65015,20246,1814
05.11,2292,67307,21349,1889
05.12,1515,68822,22406,1961
05.13,3237,72059,23324,2057
05.14,4247,76306,24324,2169
05.15,4298,80604,25151,2267
05.16,3891,84495,27147,2392
05.17,4046,88541,28272,2523
05.18,3732,92273,28621,2648
05.19,2660,94933,30306,2789
05.20,4550,99483,36524,2914
05.21,4537,104020,41968,3024
05.22,4749,108769,43587,3148
05.23,2929,111698,44848,3244
05.24,4056,115754,47915,3373
05.25,4205,119959,49795,3456
05.26,4020,123979,50949,3629
05.27,5772,129751,52906,3788
05.28,6154,135905,56169,3983
05.29,5874,141779,59442,4099
05.30,6506,148285,62791,4230
05.31,7386,155671,66447,4371
06.01,8805,164476,67208,4506
06.02,5563,170039,68507,4634
06.03,0,170039,68507,4634
06.04,8875,178914,72319,4894
06.05,4284,183198,76228,5031
06.06,4202,187400,79214,5162
06.07,4358,191758,82731,5301
06.08,4757,196515,86219,5465
06.09,3181,199696,89556,5571
06.10,0,199696,89556,5571
06.11,9127,208823,98031,5903
06.12,5965,214788,102429,6088
06.13,5961,220749,107133,6266
06.14,0,220749,111724,6308
06.15,8987,229736,115579,6688
06.16,3256,232992,119409,6860
06.17,4164,237156,125205,7056
