日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,2,3,0,0
03.12,0,3,0,0
03.13,0,3,0,0
03.14,2,8,0,0
03.15,0,8,0,0
03.16,4,12,0,0
03.17,5,17,0,0
03.18,5,22,0,0
03.19,11,33,0,0
03.20,8,41,0,0
03.21,22,63,0,0
03.22,20,83,0,1
03.23,60,143,1,1
03.24,17,160,1,1
03.25,49,209,1,1
03.26,46,255,1,3
03.27,35,290,1,4
03.28,68,358,1,5
03.29,36,394,1,7
03.30,90,484,1,7
03.31,49,533,7,8
04.01,48,581,7,8
04.02,68,649,7,9
04.03,47,696,7,9
04.04,75,771,7,10
04.05,40,811,7,12
04.06,32,843,8,14
04.07,37,880,8,15
04.08,32,912,8,15
04.09,43,955,8,16
04.10,44,999,54,22
04.11,27,1026,54,23
04.12,27,1053,97,23
04.13,9,1062,101,24
04.14,8,1070,101,24
04.15,21,1091,138,29
04.16,37,1128,178,30
04.17,21,1149,210,32
04.18,90,1239,228,33
04.19,59,1298,242,35
04.20,28,1326,242,37
04.21,24,1350,298,37
04.22,20,1370,357,38
04.23,28,1398,399,38
04.24,12,1410,430,40
04.25,16,1426,460,41
04.26,12,1438,467,41
04.27,11,1449,474,41
04.28,-105,1344,536,44
04.29,31,1375,563,45
04.30,10,1385,589,45
05.01,14,1399,594,45
05.02,7,1406,632,46
05.03,0,1406,632,46
05.04,13,1419,638,46
05.05,4,1423,678,46
05.06,5,1428,718,48
05.07,5,1433,739,49
05.08,3,1436,765,49
05.09,8,1444,828,49
05.10,35,1479,828,50
05.11,6,1485,833,50
05.12,6,1491,850,50
05.13,14,1505,908,54
05.14,6,1511,934,54
05.15,12,1523,965,54
05.16,11,1534,988,55
05.17,7,1541,997,56
05.18,6,1547,997,59
05.19,15,1562,1025,60
05.20,15,1577,1049,60
05.21,16,1593,1049,61
05.22,11,1604,1111,61
05.23,12,1616,1135,63
05.24,7,1623,1138,63
05.25,12,1635,1138,63
05.26,4,1639,1165,65
05.27,8,1647,1184,66
05.28,9,1656,1193,68
05.29,6,1662,1216,68
05.30,8,1670,1229,70
05.31,5,1675,1236,70
06.01,3,1678,1236,70
06.02,4,1682,1249,71
06.03,0,1682,1249,71
06.04,5,1687,1273,71
06.05,7,1694,1302,71
06.06,11,1705,1321,71
06.07,9,1714,1328,71
06.08,6,1720,1331,71
06.09,7,1727,1338,72
06.10,6,1733,1369,74
06.11,19,1752,1372,74
06.12,4,1756,1400,74
06.13,7,1763,1416,75
06.14,5,1768,1427,75
06.15,5,1773,1429,76
06.16,3,1776,1441,76
06.17,2,1778,1447,76
06.18,0,1778,1447,76
