日期,新增确诊,确诊总数,治愈数,死亡数
03.14,2,2,0,0
03.15,0,2,0,0
03.16,0,2,0,0
03.17,0,2,0,0
03.18,0,2,0,0
03.19,0,2,0,0
03.20,0,2,0,0
03.21,1,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,2,4,0,0
03.25,3,7,0,0
03.26,0,7,2,0
03.27,1,8,0,0
03.28,0,8,2,0
03.29,3,11,0,0
03.30,0,11,2,0
03.31,0,11,2,0
04.01,3,14,2,0
04.02,0,14,2,0
04.03,0,14,3,0
04.04,0,14,3,0
04.05,2,16,3,0
04.06,0,16,3,0
04.07,0,16,3,0
04.08,0,16,3,0
04.09,0,16,3,0
04.10,0,16,3,0
04.11,0,16,3,0
04.12,0,16,3,0
04.13,0,16,3,0
04.14,0,16,3,0
04.15,0,16,3,0
04.16,0,16,4,0
04.17,0,16,4,0
04.18,0,16,6,0
04.19,0,16,6,0
04.20,0,16,6,0
04.21,0,16,6,0
04.22,0,16,6,0
04.23,0,16,7,0
04.24,0,16,7,0
04.25,0,16,7,0
04.26,0,16,8,0
04.27,0,16,8,0
04.28,0,16,8,0
04.29,0,16,8,0
04.30,0,16,8,0
05.01,0,16,8,0
05.02,0,16,8,0
05.03,0,16,8,0
05.04,0,16,8,0
05.05,0,16,8,0
05.06,0,16,8,0
05.07,0,16,9,0
05.08,0,16,9,0
05.09,0,16,10,0
05.10,0,16,11,0
05.11,0,16,11,0
05.12,0,16,11,0
05.13,0,16,11,0
05.14,0,16,12,0
05.15,0,16,13,0
05.16,0,16,13,0
05.17,0,16,13,0
05.18,0,16,13,0
05.19,0,16,13,0
05.20,0,16,14,0
05.21,2,18,14,0
05.22,1,19,14,0
05.23,1,20,14,0
05.24,1,21,14,0
05.25,0,21,14,0
05.26,0,21,14,0
05.27,1,22,14,0
05.28,0,22,14,0
05.29,1,23,14,0
05.30,0,23,14,0
05.31,1,24,14,0
06.01,1,25,16,0
06.02,0,25,16,0
06.03,0,25,16,0
06.04,0,25,16,0
06.05,0,25,16,0
06.06,4,29,16,0
06.07,0,29,16,0
06.08,2,31,16,0
06.09,0,31,16,0
06.10,0,31,17,0
06.11,0,31,17,0
06.12,0,31,17,0
06.13,1,32,17,0
06.14,0,32,17,0
06.15,0,32,17,0
06.16,2,34,18,0
06.17,0,34,18,0
06.18,0,34,18,0
