日期,新增确诊,确诊总数,治愈数,死亡数
03.24,2,2,0,0
03.25,1,3,0,0
03.26,0,3,0,0
03.27,2,5,0,0
03.28,3,8,0,0
03.29,0,8,0,0
03.30,6,14,0,0
03.31,0,14,0,1
04.01,1,15,0,1
04.02,1,16,0,1
04.03,6,20,0,1
04.04,0,20,0,1
04.05,1,21,0,1
04.06,0,21,0,1
04.07,1,22,0,1
04.08,0,22,0,3
04.09,1,23,1,3
04.10,4,27,2,3
04.11,1,28,2,3
04.12,10,38,2,3
04.13,3,41,2,4
04.14,21,62,2,4
04.15,12,74,2,4
04.16,11,85,2,4
04.17,3,88,5,4
04.18,6,94,5,5
04.19,14,108,7,5
04.20,3,111,7,5
04.21,8,119,7,5
04.22,2,121,7,5
04.23,11,132,9,5
04.24,7,139,9,5
04.25,5,144,9,5
04.26,2,146,10,5
04.27,0,146,10,5
04.28,3,149,16,5
04.29,1,150,16,6
04.30,0,150,27,6
05.01,1,151,28,6
05.02,0,151,37,6
05.03,0,151,37,6
05.04,10,161,49,6
05.05,0,161,49,6
05.06,0,161,49,6
05.07,15,176,62,6
05.08,0,176,67,6
05.09,2,178,68,6
05.10,2,180,72,6
05.11,0,180,72,6
05.12,0,180,74,6
05.13,1,181,79,6
05.14,0,181,84,6
05.15,0,181,84,6
05.16,1,182,89,6
05.17,0,182,96,6
05.18,5,187,97,6
05.19,4,191,101,6
05.20,2,193,104,6
05.21,6,199,108,6
05.22,0,199,108,6
05.23,2,201,116,6
05.24,0,201,122,6
05.25,2,203,123,6
05.26,3,206,124,6
05.27,0,206,126,6
05.28,0,206,126,6
05.29,0,206,126,6
05.30,18,224,130,6
05.31,0,224,130,6
06.01,4,228,138,6
06.02,0,228,138,6
06.03,4,232,143,6
06.04,4,236,148,6
06.05,0,236,151,6
06.06,0,236,151,6
06.07,6,242,156,6
06.08,1,243,156,6
06.09,3,246,159,6
06.10,0,246,159,6
06.11,14,260,165,6
06.12,1,261,165,6
06.13,0,261,167,6
06.14,0,261,167,6
06.15,1,262,175,6
06.16,0,262,175,6
06.17,0,262,185,6
06.18,0,262,185,6
