日期,新增确诊,确诊总数,治愈数,死亡数
03.24,2,2,0,0
03.25,1,3,0,0
03.26,3,6,0,0
03.27,0,6,0,0
03.28,0,6,0,0
03.29,2,8,0,0
03.30,0,8,0,0
03.31,1,9,0,0
04.01,1,10,0,0
04.02,0,10,0,0
04.03,0,10,0,0
04.04,0,10,0,0
04.05,1,11,0,0
04.06,1,12,0,0
04.07,2,14,0,0
04.08,1,15,0,0
04.09,1,16,0,0
04.10,0,16,0,0
04.11,2,18,0,0
04.12,1,19,0,0
04.13,0,19,0,0
04.14,0,19,1,0
04.15,0,19,1,0
04.16,0,19,2,0
04.17,0,19,2,0
04.18,0,19,2,0
04.19,0,19,2,0
04.20,0,19,2,0
04.21,0,19,2,0
04.22,0,19,4,0
04.23,0,19,4,0
04.24,0,19,4,0
04.25,0,19,7,0
04.26,0,19,7,0
04.27,0,19,7,0
04.28,0,19,7,0
04.29,0,19,7,0
04.30,0,19,8,0
05.01,0,19,8,0
05.02,0,19,9,0
05.03,0,19,9,0
05.04,0,19,9,0
05.05,0,19,9,0
05.06,0,19,9,0
05.07,0,19,9,0
05.08,0,19,9,0
05.09,0,19,13,0
05.10,0,19,13,0
05.11,0,19,13,0
05.12,0,19,13,0
05.13,0,19,14,0
05.14,0,19,14,0
05.15,0,19,14,0
05.16,0,19,14,0
05.17,0,19,14,0
05.18,0,19,14,0
05.19,0,19,14,0
05.20,0,19,14,0
05.21,0,19,14,0
05.22,0,19,14,0
05.23,0,19,14,0
05.24,0,19,14,0
05.25,0,19,14,0
05.26,0,19,14,0
05.27,0,19,16,0
05.28,0,19,16,0
05.29,0,19,16,0
05.30,0,19,16,0
05.31,0,19,16,0
06.01,0,19,16,0
06.02,0,19,16,0
06.03,0,19,16,0
06.04,0,19,18,0
06.05,0,19,18,0
06.06,0,19,18,0
06.07,0,19,18,0
06.08,0,19,18,0
06.09,0,19,19,0
06.10,0,19,19,0
06.11,0,19,19,0
06.12,0,19,19,0
06.13,0,19,19,0
06.14,0,19,19,0
06.15,0,19,19,0
06.16,0,19,19,0
06.17,0,19,19,0
06.18,0,19,19,0
