日期,新增确诊,确诊总数,治愈数,死亡数
03.13,1,1,0,0
03.14,0,1,0,1
03.15,0,1,0,1
03.16,0,1,0,1
03.17,0,1,0,1
03.18,0,1,0,1
03.19,1,2,0,1
03.20,0,2,0,1
03.21,0,2,0,1
03.22,0,2,0,1
03.23,0,2,0,1
03.24,1,3,0,1
03.25,0,3,0,1
03.26,0,3,0,1
03.27,0,3,0,1
03.28,2,5,0,1
03.29,0,5,0,1
03.30,1,6,0,1
03.31,1,7,1,2
04.01,0,7,1,2
04.02,0,7,2,2
04.03,1,8,2,2
04.04,2,10,2,2
04.05,0,10,2,2
04.06,2,12,2,2
04.07,2,14,2,2
04.08,0,14,2,2
04.09,0,14,2,2
04.10,1,15,2,2
04.11,4,19,2,2
04.12,0,19,2,2
04.13,0,19,4,2
04.14,10,29,4,4
04.15,3,32,4,5
04.16,0,32,4,5
04.17,0,32,4,5
04.18,34,66,6,10
04.19,0,66,6,10
04.20,26,92,8,12
04.21,15,107,8,12
04.22,33,140,8,13
04.23,22,162,14,13
04.24,12,174,14,16
04.25,0,174,14,16
04.26,63,237,20,21
04.27,38,275,21,22
04.28,43,318,21,22
04.29,0,318,31,25
04.30,57,375,32,28
05.01,67,442,39,31
05.02,91,533,46,36
05.03,59,592,52,41
05.04,86,678,61,41
05.05,100,778,70,45
05.06,74,852,80,45
05.07,78,930,92,52
05.08,0,930,92,52
05.09,181,1111,102,59
05.10,53,1164,119,64
05.11,201,1365,149,70
05.12,161,1526,161,74
05.13,135,1661,173,80
05.14,157,1818,198,90
05.15,146,1964,205,91
05.16,0,1964,205,91
05.17,325,2289,222,97
05.18,302,2591,247,105
05.19,0,2591,247,105
05.20,137,2728,286,111
05.21,410,3138,309,121
05.22,0,3138,309,121
05.23,240,3378,372,137
05.24,250,3628,424,146
05.25,192,3820,458,165
05.26,156,3976,503,170
05.27,170,4146,588,184
05.28,200,4346,749,195
05.29,0,4346,749,195
05.30,175,4521,816,233
05.31,279,4800,1272,262
06.01,226,5026,1423,286
06.02,147,5173,1522,298
06.03,0,5173,1522,298
06.04,326,5499,1711,314
06.05,215,5714,1825,333
06.06,151,5865,1924,347
06.07,216,6081,2014,359
06.08,0,6081,2014,359
06.09,161,6242,2059,372
06.10,185,6427,2127,389
06.11,155,6582,2202,401
06.12,148,6730,2278,413
06.13,149,6879,2416,433
06.14,128,7007,2556,447
06.15,213,7220,2610,459
06.16,215,7435,2720,468
06.17,305,7740,2820,477
