日期,新增确诊,确诊总数,治愈数,死亡数
01.31,0,2,0,0
02.01,0,2,0,0
02.02,0,2,0,0
02.03,0,2,0,0
02.04,0,2,0,0
02.05,0,2,0,0
02.06,1,3,0,0
02.07,0,3,0,0
02.08,0,3,0,0
02.09,0,3,0,0
02.10,5,8,0,0
02.11,0,8,0,0
02.12,0,8,0,0
02.13,1,9,0,0
02.14,0,9,0,0
02.15,0,9,0,0
02.16,0,9,8,0
02.17,0,9,8,0
02.18,0,9,8,0
02.19,0,9,8,0
02.20,0,9,8,0
02.21,0,9,8,0
02.22,0,9,8,0
02.23,0,9,8,0
02.24,4,13,8,0
02.25,0,13,8,0
02.26,0,13,8,0
02.27,2,15,8,0
02.28,4,19,8,0
02.29,3,23,8,0
03.01,12,35,8,0
03.02,5,40,8,0
03.03,11,51,8,0
03.04,34,85,8,0
03.05,5,90,8,0
03.06,73,163,8,2
03.07,0,163,8,2
03.08,46,319,18,3
03.09,55,373,18,6
03.10,83,456,18,6
03.11,134,590,18,10
03.12,208,798,18,10
03.13,342,1140,18,21
03.14,342,1140,18,21
03.15,403,1543,18,35
03.16,403,1543,18,35
03.17,676,2626,52,71
03.18,676,2626,65,104
03.19,643,3269,79,144
03.20,714,3983,79,177
03.21,1044,5027,98,234
03.22,656,5683,98,281
03.23,967,6650,98,335
03.24,1427,8077,98,422
03.25,1452,9529,140,465
03.26,2129,11658,140,578
03.27,2921,14579,140,759
03.28,2510,17089,151,1019
03.29,2433,19522,151,1228
03.30,2619,22141,151,1408
03.31,331,22472,179,1793
04.01,7370,29842,179,2356
04.02,4281,34123,191,2926
04.03,4558,38681,205,3611
04.04,3752,42433,209,4320
04.05,5955,48388,215,4941
04.06,63,48451,229,4943
04.07,3851,52302,312,5385
04.08,3655,55957,332,6171
04.09,5540,61497,353,7111
04.10,4375,65872,367,7993
04.11,13969,79841,599,9891
04.12,5332,85173,625,10629
04.13,4381,89554,303,11346
04.14,5269,94823,323,12125
04.15,4632,99455,365,12892
04.16,4678,104133,370,13755
04.17,4617,104145,375,13759
04.18,11154,115299,414,15497
04.19,5869,121168,427,16095
04.20,6,121174,444,16095
04.21,4682,125856,603,16550
04.22,8779,134635,644,18141
04.23,4608,139243,701,18790
04.24,5389,144632,712,19559
04.25,4922,149554,737,20380
04.26,15,149569,778,20381
04.27,4469,154038,781,20795
04.28,4315,158353,809,21158
04.29,3997,162350,813,21745
04.30,4093,166443,857,26166
05.01,6038,172481,861,26842
05.02,6208,178689,892,27583
05.03,4811,183500,896,28205
05.04,4342,187842,902,28520
05.05,3990,191832,910,28809
05.06,4412,196244,926,29501
05.07,6115,202359,957,30150
05.08,5618,207977,987,30689
05.09,8548,216525,1001,31662
05.10,1,216526,1002,31662
05.11,7801,224327,1007,32140
05.12,3408,227735,1015,32768
05.13,3249,230984,1025,33263
05.14,3447,234431,1032,33692
05.15,3570,238001,1045,34077
05.16,3453,241454,1049,34546
05.17,7,241461,1058,34546
05.18,3534,244995,1058,34716
05.19,2714,247709,1090,34876
05.20,2432,250141,1101,35422
05.21,2093,252234,1116,36124
05.22,12,252246,1134,36124
05.23,3298,255544,1142,36475
05.24,2967,258511,1142,36757
05.25,2405,260916,1151,36875
05.26,5674,266590,1161,37130
05.27,2025,268615,1162,37542
05.28,5,268620,1166,37542
05.29,1891,270511,1171,37919
05.30,2104,272615,1173,38243
05.31,3541,276156,1187,38571
06.01,0,276156,1181,38571
06.02,1582,277738,1221,39127
06.03,1654,279392,1224,39452
06.04,1878,281270,1212,39811
06.05,3460,284730,1219,40344
06.06,1562,286292,1230,40548
06.07,1329,287621,1239,40625
06.08,1206,288827,1240,40680
06.09,7,288834,1255,40680
06.10,1747,290581,1257,40968
06.11,2273,292854,1269,41364
06.12,1547,294401,1279,41566
06.13,1,294402,1283,41566
06.14,2940,297342,1283,41783
06.15,0,297342,1284,41783
06.16,2252,299594,1284,42054
06.17,6,299600,1295,42054
