日期,新增确诊,确诊总数,治愈数,死亡数
02.28,2,2,0,0
02.29,2,4,0,0
03.01,3,7,0,0
03.02,3,10,0,0
03.03,14,24,0,0
03.04,0,24,0,0
03.05,58,82,0,0
03.06,58,82,0,1
03.07,60,188,0,1
03.08,77,265,0,3
03.09,56,321,0,3
03.10,61,382,0,3
03.11,121,503,0,5
03.12,232,614,0,5
03.13,190,804,0,10
03.14,155,959,0,12
03.15,0,959,0,12
03.16,278,1413,0,24
03.17,292,1705,0,43
03.18,346,2051,0,58
03.19,409,2460,0,76
03.20,534,2994,0,106
03.21,637,3631,0,136
03.22,573,4204,0,179
03.23,545,4749,0,213
03.24,1356,5560,0,276
03.25,852,6412,0,356
03.26,1019,7431,0,434
03.27,1172,8603,2500,546
03.28,1159,9762,2500,639
03.29,1104,10866,2500,771
03.30,928,11814,253,864
03.31,848,12662,253,1040
04.01,1034,13696,260,1175
04.02,1083,14779,260,1341
04.03,1040,15819,260,1490
04.04,906,16725,260,1656
04.05,1228,17953,262,1771
04.06,964,18917,257,1874
04.07,786,19703,258,2108
04.08,975,20678,272,2255
04.09,1220,21898,272,2403
04.10,1347,23245,280,2520
04.11,1320,24565,287,2652
04.12,1181,25746,291,2747
04.13,964,26710,295,2833
04.14,870,27580,297,2955
04.15,734,28314,297,3144
04.16,1067,29381,311,3326
04.17,1237,30618,311,3471
04.18,1148,31766,315,3613
04.19,1068,32834,317,3696
04.20,754,33588,322,3764
04.21,729,34317,74,3929
04.22,709,35026,74,4067
04.23,895,35921,101,4192
04.24,806,36727,101,4304
04.25,657,37384,102,4424
04.26,655,38039,102,4490
04.27,401,38440,117,4534
04.28,172,38612,117,4582
04.29,386,38998,117,4727
04.30,514,39512,119,4811
05.01,0,39512,125,4811
05.02,922,40434,138,5003
05.03,0,40434,138,5003
05.04,534,40968,138,5098
05.05,317,41285,138,5184
05.06,233,41518,139,5221
05.07,455,41973,146,5305
05.08,319,42292,147,5377
05.09,289,42581,147,5440
05.10,245,42826,149,5459
05.11,161,42987,149,5475
05.12,196,43183,149,5529
05.13,227,43410,155,5581
05.14,270,43680,157,5609
05.15,200,43880,159,5662
05.16,189,44069,159,5689
05.17,126,44195,167,5699
05.18,146,44341,167,5713
05.19,108,44449,167,5734
05.20,198,44647,167,5767
05.21,253,44900,169,5794
05.22,188,45088,174,5807
05.23,176,45264,174,5830
05.24,173,45437,174,5841
05.25,209,45646,174,5849
05.26,134,45780,174,5875
05.27,190,45970,175,5890
05.28,182,46152,177,5922
05.29,176,46328,178,5950
05.30,131,46459,178,5970
05.31,186,46645,178,5975
06.01,104,46749,179,5981
06.02,103,46852,180,5986
06.03,0,46852,180,5986
06.04,296,47148,180,6009
06.05,210,47358,181,6024
06.06,183,47541,181,6030
06.07,239,47780,181,6032
06.08,165,47945,181,6035
06.09,164,48109,181,6050
06.10,0,48109,181,6050
06.11,349,48458,181,6063
06.12,210,48668,181,6072
06.13,179,48847,181,6076
06.14,143,48990,181,6078
06.15,165,49155,182,6084
06.16,139,49294,186,6089
06.17,118,49412,186,6093
06.18,0,49412,186,6093
