日期,新增确诊,确诊总数,治愈数,死亡数
03.23,1,1,0,0
03.24,2,3,0,0
03.25,4,5,0,0
03.26,0,5,0,0
03.27,2,7,0,0
03.28,1,8,0,0
03.29,0,8,0,0
03.30,0,8,0,0
03.31,0,8,0,0
04.01,0,8,0,0
04.02,2,10,0,0
04.03,0,10,0,0
04.04,0,10,0,0
04.05,0,10,1,0
04.06,0,10,1,0
04.07,0,10,1,0
04.08,0,10,1,0
04.09,7,17,1,0
04.10,0,17,1,0
04.11,3,20,2,0
04.12,1,21,2,0
04.13,0,21,2,0
04.14,0,21,2,0
04.15,7,28,2,0
04.16,1,29,2,0
04.17,5,34,2,0
04.18,0,34,2,0
04.19,5,39,8,0
04.20,0,39,8,0
04.21,0,39,8,0
04.22,2,41,8,0
04.23,0,41,8,0
04.24,5,46,12,0
04.25,24,70,12,0
04.26,6,76,12,0
04.27,0,76,12,0
04.28,0,76,12,0
04.29,0,76,12,0
04.30,0,76,12,0
05.01,0,76,12,0
05.02,3,79,18,0
05.03,0,79,18,0
05.04,1,80,19,0
05.05,0,80,19,0
05.06,1,81,19,0
05.07,0,81,21,0
05.08,1,82,27,0
05.09,0,82,27,0
05.10,9,91,34,0
05.11,12,103,34,0
05.12,0,103,34,0
05.13,1,104,34,0
05.14,11,115,35,0
05.15,0,115,35,0
05.16,4,119,42,0
05.17,18,137,43,0
05.18,0,137,44,0
05.19,8,145,44,0
05.20,11,156,48,0
05.21,0,156,48,0
05.22,6,162,48,0
05.23,6,168,48,0
05.24,26,194,51,0
05.25,15,209,51,1
05.26,0,209,71,1
05.27,18,227,71,1
05.28,0,227,71,1
05.29,7,234,84,2
05.30,10,244,90,2
05.31,10,254,91,2
06.01,0,254,91,2
06.02,53,307,98,2
06.03,0,307,98,2
06.04,45,352,114,2
06.05,0,352,114,2
06.06,2,354,119,2
06.07,70,424,127,2
06.08,0,424,127,2
06.09,29,453,136,2
06.10,0,453,136,2
06.11,36,489,144,2
06.12,20,509,145,2
06.13,44,553,151,2
06.14,30,583,151,3
06.15,0,583,151,3
06.16,26,609,157,3
06.17,29,638,160,4
06.18,0,638,160,4
