日期,新增确诊,确诊总数,治愈数,死亡数
05.13,0,1,0,0
05.14,0,1,0,0
05.15,0,1,0,0
05.16,0,1,0,0
05.17,0,1,0,0
05.18,0,1,0,0
05.19,0,1,0,0
05.20,0,1,0,0
05.21,0,1,0,0
05.22,0,1,0,0
05.23,1,2,0,0
05.24,0,2,0,0
05.25,0,2,0,0
05.26,0,2,0,0
05.27,0,2,0,0
05.28,0,2,1,0
05.29,0,2,1,0
05.30,0,2,1,0
05.31,0,2,1,0
06.01,0,2,1,0
06.02,0,2,1,0
06.03,0,2,1,0
06.04,2,4,2,0
06.05,0,4,2,0
06.06,0,4,2,0
06.07,0,4,2,0
06.08,0,4,2,0
06.09,0,4,2,0
06.10,0,4,2,0
06.11,0,4,2,0
06.12,0,4,2,0
06.13,0,4,2,0
06.14,0,4,2,0
06.15,0,4,2,0
06.16,0,4,2,0
06.17,0,4,2,0
06.18,0,4,2,0
