日期,新增确诊,确诊总数,治愈数,死亡数
03.16,1,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,1,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,4,5,0,0
03.25,1,6,0,0
03.26,0,6,0,0
03.27,0,6,0,0
03.28,1,6,0,0
03.29,0,6,0,0
03.30,0,6,0,0
03.31,0,6,1,0
04.01,3,9,1,0
04.02,4,13,1,0
04.03,0,13,1,0
04.04,3,16,2,0
04.05,0,16,2,0
04.06,6,22,5,1
04.07,4,26,5,1
04.08,0,26,5,1
04.09,0,26,5,1
04.10,0,26,5,1
04.11,9,35,5,1
04.12,0,35,5,1
04.13,0,35,5,1
04.14,0,35,5,1
04.15,0,35,18,1
04.16,0,35,18,1
04.17,0,35,18,1
04.18,0,35,18,1
04.19,0,35,18,1
04.20,19,54,27,1
04.21,0,54,27,1
04.22,0,54,27,1
04.23,0,54,27,1
04.24,0,54,27,1
04.25,0,54,27,1
04.26,0,54,27,1
04.27,10,64,33,1
04.28,0,64,33,1
04.29,0,64,33,1
04.30,0,64,33,1
05.01,0,64,33,1
05.02,26,90,42,2
05.03,0,90,42,2
05.04,6,96,50,2
05.05,0,96,50,2
05.06,0,96,50,2
05.07,44,140,53,2
05.08,102,242,62,2
05.09,42,284,62,2
05.10,35,319,62,2
05.11,0,319,62,2
05.12,8,327,76,2
05.13,0,327,83,2
05.14,0,327,83,2
05.15,12,339,83,2
05.16,0,339,83,2
05.17,0,339,83,2
05.18,0,339,83,2
05.19,0,339,83,2
05.20,-209,130,83,2
05.21,0,130,57,2
05.22,5,135,61,3
05.23,0,135,61,3
05.24,0,135,61,3
05.25,56,191,84,3
05.26,17,208,118,3
05.27,2,210,134,3
05.28,0,210,134,3
05.29,14,224,136,3
05.30,0,224,136,3
05.31,8,232,143,3
06.01,0,232,143,3
06.02,11,243,147,3
06.03,1,244,148,3
06.04,17,261,151,3
06.05,0,261,151,3
06.06,0,261,151,3
06.07,0,261,151,3
06.08,27,288,186,4
06.09,17,305,188,4
06.10,0,305,188,4
06.11,0,305,188,4
06.12,83,388,217,5
06.13,24,412,222,6
06.14,0,412,222,6
06.15,71,483,232,9
06.16,49,532,236,9
06.17,40,572,237,9
06.18,0,572,237,9
