日期,新增确诊,确诊总数,治愈数,死亡数
03.14,1,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,2,3,0,0
03.19,1,4,0,0
03.20,2,6,0,0
03.21,0,6,0,0
03.22,0,6,0,0
03.23,3,9,0,0
03.24,0,9,0,0
03.25,0,9,0,0
03.26,2,11,0,0
03.27,1,12,0,0
03.28,1,13,0,0
03.29,-1,12,0,0
03.30,1,14,0,0
03.31,-2,12,1,0
04.01,3,15,1,0
04.02,0,15,1,0
04.03,0,15,1,0
04.04,1,16,1,0
04.05,0,16,1,0
04.06,0,16,1,0
04.07,0,16,3,0
04.08,0,16,3,0
04.09,2,18,3,0
04.10,0,18,3,0
04.11,0,18,3,0
04.12,3,21,3,0
04.13,0,21,3,0
04.14,0,21,4,0
04.15,20,41,4,0
04.16,10,51,4,0
04.17,0,51,4,0
04.18,28,79,4,0
04.19,0,79,4,0
04.20,0,79,4,0
04.21,0,79,7,0
04.22,4,83,7,0
04.23,1,84,7,1
04.24,0,84,7,1
04.25,130,214,7,1
04.26,44,258,8,1
04.27,0,258,8,1
04.28,0,258,9,1
04.29,57,315,9,1
04.30,0,315,9,1
05.01,0,315,9,1
05.02,0,315,9,1
05.03,0,315,9,1
05.04,0,315,13,1
05.05,0,315,13,3
05.06,124,439,13,4
05.07,0,439,13,4
05.08,0,439,13,4
05.09,0,439,13,4
05.10,0,439,13,4
05.11,0,439,13,4
05.12,0,439,13,4
05.13,83,522,13,6
05.14,0,522,13,6
05.15,61,583,13,7
05.16,11,594,22,7
05.17,0,594,22,7
05.18,0,594,22,7
05.19,125,719,22,7
05.20,106,825,22,7
05.21,65,890,22,7
05.22,13,903,22,10
05.23,57,960,165,11
05.24,0,960,165,11
05.25,83,1043,165,12
05.26,0,1043,165,12
05.27,0,1043,165,12
05.28,0,1043,165,12
05.29,263,1306,200,12
05.30,0,1306,200,12
05.31,0,1306,200,12
06.01,0,1306,200,12
06.02,0,1306,200,12
06.03,0,1306,200,12
06.04,0,1306,200,12
06.05,0,1306,200,12
06.06,0,1306,200,12
06.07,0,1306,200,12
06.08,0,1306,200,12
06.09,0,1306,200,12
06.10,0,1306,200,12
06.11,0,1306,200,12
06.12,0,1306,200,12
06.13,0,1306,200,12
06.14,0,1306,200,12
06.15,0,1306,200,12
06.16,0,1306,200,12
06.17,358,1664,515,32
06.18,0,1664,515,32
