日期,新增确诊,确诊总数,治愈数,死亡数
02.05,0,10,0,0
02.06,10,20,0,0
02.07,41,61,0,0
02.08,3,64,0,0
02.09,6,70,0,0
02.10,60,130,0,0
02.11,5,135,0,0
02.12,39,174,0,0
02.13,44,218,0,0
02.14,0,218,0,0
02.15,67,285,0,0
02.16,70,355,0,0
02.17,99,454,0,0
02.18,88,542,0,0
02.19,79,621,0,0
02.20,13,634,0,0
02.21,0,634,0,2
02.22,0,634,0,2
02.23,57,691,0,3
02.24,0,691,0,3
02.25,0,691,0,3
02.26,14,705,10,4
02.27,0,705,10,4
02.28,4,709,10,5
02.29,-4,705,10,6
03.01,0,712,567,8
03.02,1,706,10,6
03.03,0,706,10,6
03.04,0,706,10,6
03.05,0,706,10,6
03.06,-10,696,10,6
03.07,0,696,10,6
03.08,0,696,10,7
03.09,0,696,10,7
03.10,0,696,10,7
03.11,0,696,325,7
03.12,1,697,357,7
03.13,0,697,388,7
03.14,0,697,525,7
03.15,0,712,567,8
03.16,15,712,525,7
03.17,0,712,525,7
03.18,0,712,525,7
03.19,0,712,527,7
03.20,0,712,551,7
03.21,0,712,551,8
03.22,0,712,567,8
03.23,0,712,567,10
03.24,0,712,587,10
03.25,0,712,590,10
03.26,0,712,597,10
03.27,0,712,601,10
03.28,0,712,601,10
03.29,0,712,603,10
03.30,0,712,603,10
03.31,0,712,603,11
04.01,0,712,603,11
04.02,0,712,619,11
04.03,0,712,619,11
04.04,0,712,619,11
04.05,0,712,619,11
04.06,0,712,619,11
04.07,0,712,619,11
04.08,0,712,619,11
04.09,0,712,619,11
04.10,0,712,619,11
04.11,0,712,619,11
04.12,0,712,619,11
04.13,0,712,619,11
04.14,0,712,639,12
04.15,0,712,639,12
04.16,0,712,644,12
04.17,0,712,644,13
04.18,0,712,644,13
04.19,0,712,644,13
04.20,0,712,644,13
04.21,0,712,644,13
04.22,0,712,644,13
04.23,0,712,645,13
04.24,0,712,645,13
04.25,0,712,645,13
04.26,0,712,645,13
04.27,0,712,645,13
04.28,0,712,645,13
04.29,0,712,645,13
04.30,0,712,645,13
05.01,0,712,645,13
05.02,0,712,645,13
05.03,0,712,645,13
05.04,0,712,645,13
05.05,0,712,645,13
05.06,0,712,645,13
05.07,0,712,645,13
05.08,0,712,645,13
05.09,0,712,645,13
05.10,0,712,645,13
05.11,0,712,651,13
05.12,0,712,651,13
05.13,0,712,651,13
05.14,0,712,651,13
05.15,0,712,651,13
05.16,0,712,651,13
05.17,0,712,651,13
05.18,0,712,651,13
05.19,0,712,651,13
05.20,0,712,651,13
05.21,0,712,651,13
05.22,0,712,651,13
05.23,0,712,651,13
05.24,0,712,651,13
05.25,0,712,651,13
05.26,0,712,651,13
05.27,0,712,651,13
05.28,0,712,651,13
05.29,0,712,651,13
05.30,0,712,651,13
05.31,0,712,651,13
06.01,0,712,651,13
06.02,0,712,651,13
06.03,0,712,651,13
06.04,0,712,651,13
06.05,0,712,651,13
06.06,0,712,651,13
06.07,0,712,651,13
06.08,0,712,651,13
06.09,0,712,651,13
06.10,0,712,651,13
06.11,0,712,651,13
06.12,0,712,651,13
06.13,0,712,651,13
06.14,0,712,651,13
06.15,0,712,651,13
06.16,0,712,651,13
06.17,0,712,651,13
06.18,0,712,651,13
