日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,2,3,0,0
03.01,0,3,0,0
03.02,0,3,0,0
03.03,0,3,0,0
03.04,0,3,0,0
03.05,0,3,0,0
03.06,0,3,0,0
03.07,0,6,0,0
03.08,0,6,0,0
03.09,3,9,0,0
03.10,2,11,0,0
03.11,2,13,3,0
03.12,2,15,3,1
03.13,4,19,3,1
03.14,0,19,3,1
03.15,4,23,6,1
03.16,2,25,6,1
03.17,3,28,7,1
03.18,0,28,7,1
03.19,0,28,7,1
03.20,0,28,7,1
03.21,16,44,10,1
03.22,9,53,11,1
03.23,19,72,11,1
03.24,15,87,10,1
03.25,21,93,10,2
03.26,29,122,15,3
03.27,43,165,15,3
03.28,17,182,15,4
03.29,17,182,15,4
03.30,91,273,26,4
03.31,25,298,26,5
04.01,61,359,26,5
04.02,41,400,26,5
04.03,43,443,32,5
04.04,78,521,32,5
04.05,63,584,32,5
04.06,57,641,44,7
04.07,76,717,44,8
04.08,105,822,63,8
04.09,104,926,101,9
04.10,0,926,101,9
04.11,65,991,159,10
04.12,107,1098,250,11
04.13,50,1148,289,12
04.14,49,1197,351,13
04.15,56,1253,404,13
04.16,30,1283,460,15
04.17,57,1340,528,15
04.18,33,1373,590,18
04.19,25,1398,712,19
04.20,38,1436,791,19
04.21,44,1480,865,20
04.22,38,1518,907,20
04.23,30,1548,948,20
04.24,44,1592,1013,21
04.25,25,1617,1080,21
04.26,28,1645,1139,21
04.27,33,1678,1162,22
04.28,39,1717,1221,22
04.29,49,1766,1267,23
04.30,38,1804,1325,24
05.01,0,1804,1325,24
05.02,90,1894,1411,25
05.03,0,1894,1411,25
05.04,38,1932,1441,25
05.05,128,2060,1508,26
05.06,67,2127,1536,28
05.07,77,2204,1551,28
05.08,75,2279,1576,28
05.09,143,2422,1620,31
05.10,0,2422,1620,31
05.11,97,2519,1650,32
05.12,70,2589,1680,32
05.13,169,2758,1789,35
05.14,121,2879,1833,35
05.15,101,2980,1886,36
05.16,158,3138,1944,36
05.17,136,3274,2015,39
05.18,113,3387,2055,40
05.19,0,3387,2055,40
05.20,244,3631,2253,43
05.21,118,3749,2340,44
05.22,0,3749,2340,44
05.23,233,3982,2506,49
05.24,140,4122,2607,49
05.25,149,4271,2741,51
05.26,0,4271,2741,51
05.27,297,4568,2897,54
05.28,191,4759,3022,56
05.29,230,4989,3125,58
05.30,257,5246,3327,61
05.31,248,5494,3428,63
06.01,168,5662,3508,68
06.02,273,5935,3564,71
06.03,0,5935,3564,71
06.04,587,6522,3737,78
06.05,338,6860,3871,82
06.06,379,7239,4024,84
06.07,314,7553,4149,88
06.08,323,7876,4377,93
06.09,315,8191,4606,98
06.10,0,8191,4606,98
06.11,691,8882,4930,108
06.12,336,9218,5116,113
06.13,0,9218,5116,113
06.14,739,9957,5583,119
06.15,0,9957,5583,119
06.16,705,10662,5948,126
06.17,0,10662,5948,126
06.18,0,10662,5948,126
