日期,新增确诊,确诊总数,治愈数,死亡数
02.24,0,1,0,0
02.25,0,1,0,0
02.26,0,1,0,0
02.27,0,1,0,0
02.28,0,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,3,4,0,0
03.08,0,4,0,0
03.09,0,4,0,0
03.10,1,5,0,0
03.11,2,7,0,0
03.12,0,7,0,0
03.13,0,7,0,0
03.14,3,10,0,0
03.15,6,16,0,0
03.16,5,21,0,0
03.17,1,22,0,0
03.18,0,22,0,0
03.19,0,22,0,0
03.20,2,24,0,0
03.21,0,24,1,0
03.22,10,34,0,0
03.23,6,40,0,1
03.24,2,42,0,1
03.25,38,80,0,2
03.26,4,84,0,2
03.27,11,95,0,2
03.28,15,110,0,2
03.29,7,117,2,4
03.30,28,145,2,4
03.31,29,174,5,4
04.01,22,196,5,4
04.02,43,239,10,4
04.03,34,273,10,6
04.04,26,299,10,7
04.05,38,337,15,7
04.06,30,367,17,7
04.07,56,423,18,14
04.08,0,423,18,14
04.09,61,484,32,15
04.10,37,521,32,15
04.11,34,555,32,18
04.12,52,607,32,18
04.13,58,665,32,21
04.14,49,714,40,23
04.15,70,784,43,25
04.16,56,840,54,30
04.17,66,906,99,30
04.18,27,933,112,30
04.19,60,993,131,32
04.20,33,1026,131,33
04.21,66,1092,150,36
04.22,84,1176,166,40
04.23,103,1279,179,42
04.24,72,1351,188,43
04.25,112,1463,188,47
04.26,68,1531,207,50
04.27,172,1703,220,57
04.28,125,1828,228,58
04.29,111,1939,252,60
04.30,232,2171,260,64
05.01,164,2335,310,68
05.02,134,2469,331,72
05.03,0,2469,331,72
05.04,425,2894,397,90
05.05,330,3224,421,95
05.06,168,3392,458,104
05.07,171,3563,468,106
05.08,215,3778,472,109
05.09,255,4033,502,115
05.10,369,4402,558,120
05.11,285,4687,558,122
05.12,276,4963,610,127
05.13,263,5226,648,132
05.14,413,5639,691,136
05.15,414,6053,745,153
05.16,349,6402,745,168
05.17,262,6664,778,169
05.18,408,7072,801,173
05.19,581,7653,850,178
05.20,492,8145,930,187
05.21,531,8676,938,193
05.22,540,9216,996,205
05.23,782,9998,1040,216
05.24,584,10582,1075,218
05.25,591,11173,1097,219
05.26,658,11831,1128,220
05.27,625,12456,1138,227
05.28,580,13036,1209,235
05.29,623,13659,1259,246
05.30,866,14525,1303,249
05.31,680,15205,1328,257
06.01,545,15750,1428,265
06.02,742,16492,1450,270
06.03,17,16509,1450,270
06.04,1545,18054,1585,300
06.05,915,18969,1762,309
06.06,582,19551,1820,320
06.07,791,20342,1875,357
06.08,575,20917,2171,369
06.09,542,21459,2651,384
06.10,683,22142,3013,405
06.11,748,22890,3326,426
06.12,656,23546,3928,446
06.13,556,24102,4201,451
06.14,664,24766,4725,471
06.15,761,25527,5164,476
06.16,783,26310,5508,491
06.17,564,26874,6158,504
06.18,0,26874,6158,504
