日期,新增确诊,确诊总数,治愈数,死亡数
02.26,1,1,0,0
02.27,0,1,0,0
02.28,0,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,2,3,0,0
03.03,2,5,0,0
03.04,3,8,0,0
03.05,9,17,0,0
03.06,0,17,0,0
03.07,2,19,0,0
03.08,1,20,0,0
03.09,0,20,0,0
03.10,0,20,0,0
03.11,0,20,0,0
03.12,5,25,8,1
03.13,1,26,10,2
03.14,10,37,12,3
03.15,11,48,12,4
03.16,6,54,12,4
03.17,6,60,12,4
03.18,18,72,12,6
03.19,10,82,32,8
03.20,8,90,32,9
03.21,12,102,32,9
03.22,37,139,32,15
03.23,62,201,32,17
03.24,29,230,32,17
03.25,34,264,32,19
03.26,38,302,32,21
03.27,62,367,32,25
03.28,42,409,32,26
03.29,45,454,32,29
03.30,57,511,32,31
03.31,73,584,37,35
04.01,132,716,46,44
04.02,131,847,61,58
04.03,139,986,61,86
04.04,185,1171,62,105
04.05,80,1251,90,130
04.06,69,1320,90,152
04.07,103,1423,90,173
04.08,45,1468,113,193
04.09,104,1572,237,205
04.10,94,1666,347,235
04.11,95,1761,405,256
04.12,64,1825,460,275
04.13,89,1914,591,293
04.14,69,1983,601,313
04.15,87,2070,691,326
04.16,90,2160,708,336
04.17,108,2268,783,348
04.18,150,2418,846,364
04.19,116,2534,894,367
04.20,95,2629,1047,375
04.21,89,2718,1099,384
04.22,93,2811,1152,392
04.23,99,2910,1204,402
04.24,97,3007,1355,407
04.25,120,3127,1408,415
04.26,129,3256,1479,419
04.27,126,3382,1508,425
04.28,135,3517,1558,432
04.29,132,3649,1651,437
04.30,357,4006,1779,450
05.01,0,4006,1779,450
05.02,289,4295,1872,459
05.03,0,4295,1872,459
05.04,179,4474,1936,463
05.05,364,4838,2067,470
05.06,159,4997,2197,476
05.07,0,4997,2197,476
05.08,185,5182,2323,483
05.09,376,5558,2546,494
05.10,165,5723,2678,502
05.11,168,5891,2841,507
05.12,0,5891,2841,507
05.13,362,6253,3058,522
05.14,0,6253,3058,522
05.15,189,6442,3158,529
05.16,187,6629,3271,536
05.17,390,7019,3507,548
05.18,0,7019,3507,548
05.19,182,7201,3625,555
05.20,176,7377,3746,561
05.21,165,7542,3968,568
05.22,186,7728,4062,575
05.23,190,7918,4256,582
05.24,195,8113,4426,592
05.25,193,8306,4578,600
05.26,197,8503,4747,609
05.27,194,8697,4918,617
05.28,160,8857,5129,623
05.29,140,8997,5277,630
05.30,137,9134,5422,638
05.31,133,9267,5549,646
06.01,127,9394,5748,653
06.02,119,9513,5894,661
06.03,113,9626,6067,667
06.04,107,9733,6218,673
06.05,98,9831,6297,681
06.06,104,9935,6453,690
06.07,115,10050,6631,698
06.08,104,10154,6717,707
06.09,111,10265,6799,715
06.10,117,10382,6951,724
06.11,102,10484,7074,732
06.12,105,10589,7255,741
06.13,109,10698,7322,751
06.14,112,10810,7420,760
06.15,109,10919,7606,767
06.16,112,11031,7735,777
06.17,116,11147,7842,788
06.18,0,11147,7842,788
