日期,新增确诊,确诊总数,治愈数,死亡数
03.10,4,6,0,0
03.11,6,12,0,1
03.12,3,15,0,1
03.13,17,33,0,1
03.14,0,33,0,1
03.15,5,38,0,1
03.16,4,42,0,1
03.17,0,42,0,1
03.18,13,55,0,1
03.19,0,55,0,1
03.20,9,64,0,1
03.21,6,70,0,1
03.22,6,76,0,2
03.23,13,89,2,4
03.24,15,104,5,4
03.25,19,123,10,5
03.26,23,146,10,5
03.27,30,186,10,8
03.28,11,197,10,8
03.29,15,212,10,8
03.30,0,212,33,10
03.31,31,243,52,13
04.01,16,259,67,15
04.02,18,277,67,16
04.03,27,304,89,16
04.04,29,333,99,18
04.05,28,361,104,20
04.06,16,377,116,21
04.07,6,383,131,22
04.08,17,400,154,22
04.09,9,409,165,22
04.10,7,416,182,23
04.11,17,433,197,23
04.12,13,446,217,23
04.13,21,467,232,23
04.14,8,475,248,24
04.15,19,494,251,25
04.16,24,518,277,26
04.17,21,539,283,26
04.18,9,548,302,26
04.19,14,562,314,26
04.20,22,584,327,26
04.21,25,609,345,26
04.22,25,634,356,27
04.23,29,663,385,27
04.24,15,678,394,27
04.25,34,712,403,27
04.26,14,726,410,28
04.27,0,726,410,28
04.28,24,750,431,30
04.29,16,766,455,30
04.30,7,773,470,31
05.01,0,773,470,31
05.02,16,789,519,31
05.03,0,789,519,31
05.04,14,803,543,31
05.05,17,820,570,31
05.06,12,832,595,31
05.07,10,842,605,31
05.08,8,850,620,31
05.09,6,856,627,31
05.10,12,868,650,31
05.11,4,872,654,31
05.12,4,876,682,31
05.13,4,880,688,31
05.14,18,898,694,31
05.15,18,916,705,31
05.16,17,933,714,31
05.17,13,946,715,31
05.18,2,948,727,31
05.19,1,949,742,31
05.20,15,964,758,31
05.21,5,969,771,31
05.22,12,981,777,31
05.23,8,989,783,31
05.24,9,998,789,32
05.25,6,1004,795,32
05.26,25,1029,803,33
05.27,21,1050,812,33
05.28,26,1076,823,33
05.29,23,1099,851,33
05.30,23,1122,857,33
05.31,14,1136,872,33
06.01,7,1143,877,33
06.02,21,1164,891,33
06.03,0,1164,891,33
06.04,33,1197,898,33
06.05,15,1212,910,33
06.06,20,1232,925,34
06.07,14,1246,938,34
06.08,17,1263,945,34
06.09,36,1299,960,34
06.10,42,1341,980,34
06.11,44,1385,1001,35
06.12,31,1416,1034,36
06.13,48,1464,1039,36
06.14,57,1521,1044,36
06.15,69,1590,1055,36
06.16,82,1672,1064,37
06.17,50,1722,1077,38
06.18,0,1722,1077,38
