日期,新增确诊,确诊总数,治愈数,死亡数
02.24,2,2,0,0
02.25,2,4,0,0
02.26,0,4,0,0
02.27,1,5,0,0
02.28,1,6,0,0
02.29,1,6,1,0
03.01,0,6,1,0
03.02,0,6,2,0
03.03,6,12,2,0
03.04,0,12,2,0
03.05,4,16,2,0
03.06,0,16,2,0
03.07,0,16,2,0
03.08,0,16,2,0
03.09,2,18,2,0
03.10,0,18,2,0
03.11,0,18,9,0
03.12,0,18,9,0
03.13,1,19,9,0
03.14,1,20,9,0
03.15,1,21,9,0
03.16,1,22,9,0
03.17,2,24,12,0
03.18,9,33,12,0
03.19,6,39,13,0
03.20,9,48,13,0
03.21,4,52,13,0
03.22,0,52,12,0
03.23,14,66,17,0
03.24,18,84,17,0
03.25,15,99,17,0
03.26,10,109,23,0
03.27,22,131,23,0
03.28,21,152,23,0
03.29,15,167,23,0
03.30,12,179,29,0
03.31,13,192,34,0
04.01,18,210,34,1
04.02,21,231,57,1
04.03,21,252,57,1
04.04,25,277,61,1
04.05,21,298,61,2
04.06,33,331,61,2
04.07,40,371,67,2
04.08,48,419,72,2
04.09,38,457,109,2
04.10,27,484,109,3
04.11,62,546,109,3
04.12,53,599,109,3
04.13,128,727,124,4
04.14,86,813,130,4
04.15,97,910,131,4
04.16,109,1019,176,4
04.17,50,1069,176,6
04.18,111,1180,176,6
04.19,86,1266,233,7
04.20,144,1410,238,7
04.21,98,1508,238,8
04.22,106,1614,238,8
04.23,102,1716,307,8
04.24,74,1790,325,9
04.25,115,1905,329,10
04.26,93,1998,333,10
04.27,51,2049,364,10
04.28,82,2131,364,10
04.29,143,2274,364,10
04.30,74,2348,495,11
05.01,99,2447,495,11
05.02,36,2483,750,12
05.03,0,2483,750,12
05.04,154,2637,816,12
05.05,98,2735,858,12
05.06,168,2903,888,13
05.07,55,2958,980,14
05.08,154,3112,1025,16
05.09,112,3224,1068,17
05.10,175,3399,1117,17
05.11,174,3573,1211,17
05.12,148,3721,1250,17
05.13,298,4019,1289,17
05.14,322,4341,1303,17
05.15,284,4625,1350,20
05.16,404,5029,1436,20
05.17,157,5186,1465,22
05.18,193,5379,1496,25
05.19,292,5671,1574,27
05.20,372,6043,1661,29
05.21,327,6370,1821,30
05.22,424,6794,1821,32
05.23,463,7257,1848,35
05.24,513,7770,1933,36
05.25,0,7770,1933,37
05.26,348,8118,2067,37
05.27,255,8373,2177,38
05.28,636,9009,2177,40
05.29,811,9820,2396,40
05.30,603,10423,2396,42
05.31,1014,11437,2396,47
06.01,786,12223,2682,50
06.02,576,12799,2812,59
06.03,0,12799,2812,59
06.04,1517,14316,3451,67
06.05,770,15086,3451,72
06.06,930,16016,3451,72
06.07,866,16882,3451,75
06.08,604,17486,3793,81
06.09,712,18198,4152,83
06.10,0,18198,4152,83
06.11,1756,19954,6623,89
06.12,1117,21071,7489,96
06.13,1006,22077,7530,99
06.14,1404,23481,8454,104
06.15,1043,24524,9533,108
06.16,745,25269,11089,114
06.17,810,26079,11797,116
06.18,0,26079,11797,116
