日期,新增确诊,确诊总数,治愈数,死亡数
03.04,1,1,0,0
03.05,0,1,0,0
03.06,1,2,0,0
03.07,6,8,0,0
03.08,0,8,0,1
03.09,4,12,0,1
03.10,5,17,0,1
03.11,2,19,0,1
03.12,2,21,0,1
03.13,10,31,0,1
03.14,3,34,1,1
03.15,11,45,1,2
03.16,11,56,1,2
03.17,9,65,1,2
03.18,14,79,1,2
03.19,18,97,3,2
03.20,31,128,3,3
03.21,30,158,3,3
03.22,67,225,27,4
03.23,40,265,27,4
03.24,36,301,27,4
03.25,84,385,27,6
03.26,117,502,27,6
03.27,87,589,27,12
03.28,101,690,72,17
03.29,55,745,72,19
03.30,75,820,72,80
03.31,146,966,228,26
04.01,88,1054,248,27
04.02,79,1133,248,34
04.03,132,1265,256,39
04.04,88,1353,266,42
04.05,98,1451,279,44
04.06,103,1554,280,48
04.07,74,1628,338,55
04.08,87,1715,338,62
04.09,80,1795,358,70
04.10,99,1894,365,79
04.11,81,1975,440,83
04.12,167,2142,468,90
04.13,66,2208,468,97
04.14,69,2277,559,101
04.15,166,2443,596,109
04.16,128,2571,631,115
04.17,98,2669,666,122
04.18,89,2758,685,129
04.19,81,2839,709,132
04.20,102,2941,737,136
04.21,90,3031,840,145
04.22,113,3144,872,152
04.23,144,3288,919,159
04.24,147,3435,976,167
04.25,172,3607,1030,179
04.26,173,3780,1107,187
04.27,112,3892,1107,192
04.28,111,4003,1140,197
04.29,124,4127,1192,207
04.30,158,4285,1192,214
05.01,143,4428,1256,218
05.02,104,4532,1320,229
05.03,0,4532,1320,229
05.04,251,4783,1354,246
05.05,104,4887,1442,260
05.06,133,5020,1524,264
05.07,188,5208,1601,273
05.08,163,5371,1601,282
05.09,240,5611,1659,293
05.10,165,5776,1757,300
05.11,258,6034,1837,305
05.12,244,6278,1837,317
05.13,285,6563,2266,321
05.14,316,6879,2385,344
05.15,255,7134,2497,353
05.16,345,7479,2534,363
05.17,326,7805,2569,366
05.18,263,8068,2625,374
05.19,303,8371,2625,382
05.20,438,8809,2933,394
05.21,474,9283,2933,403
05.22,648,9931,3032,416
05.23,718,10649,3530,439
05.24,704,11353,3530,445
05.25,723,12076,3999,456
05.26,552,12628,4167,471
05.27,600,13228,4349,492
05.28,705,13933,4349,501
05.29,769,14702,4788,510
05.30,717,15419,4788,520
05.31,795,16214,5336,530
06.01,637,16851,5521,541
06.02,564,17415,5709,560
06.03,904,18319,5709,569
06.04,949,19268,5993,588
06.05,929,20197,6088,615
06.06,840,21037,6180,642
06.07,983,22020,6909,656
06.08,774,22794,7305,670
06.09,826,23620,7568,698
06.10,1141,24761,7568,717
06.11,1226,25987,8332,741
06.12,1386,27373,8743,772
06.13,1391,28764,9083,802
06.14,1531,30295,9564,819
06.15,1282,31577,9891,842
06.16,1208,32785,10174,862
06.17,1374,34159,10512,886
06.18,0,34159,10512,886
