日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,4,0,0
01.29,0,4,0,0
01.30,2,6,0,0
01.31,5,11,0,0
02.01,1,12,0,0
02.02,3,15,0,0
02.03,0,15,0,0
02.04,1,16,0,0
02.05,3,19,1,0
02.06,4,23,1,0
02.07,1,24,2,0
02.08,0,24,2,0
02.09,3,27,3,0
02.10,0,27,3,0
02.11,1,28,9,0
02.12,0,28,9,0
02.13,0,28,9,0
02.14,0,28,9,0
02.15,0,28,9,0
02.16,1,29,9,0
02.17,1,30,10,0
02.18,1,31,10,0
02.19,20,51,12,0
02.20,53,104,12,1
02.21,104,208,12,2
02.22,87,433,12,3
02.23,123,602,12,6
02.24,231,833,12,8
02.25,84,977,22,11
02.26,284,1261,24,12
02.27,505,1766,24,13
02.28,571,2337,24,16
02.29,813,3150,28,17
03.01,586,3736,30,20
03.02,599,4335,31,26
03.03,851,5186,31,31
03.04,809,5621,31,34
03.05,760,6088,88,42
03.06,518,6284,108,43
03.07,483,6767,118,48
03.08,179,7313,130,50
03.09,344,7478,166,53
03.10,131,7513,247,80
03.11,242,7755,288,65
03.12,114,7869,333,66
03.13,110,7979,510,72
03.14,107,8086,714,72
03.15,76,8162,834,75
03.16,74,8236,1137,75
03.17,84,8320,1401,83
03.18,93,8413,1540,91
03.19,152,8565,1947,92
03.20,87,8652,2233,100
03.21,147,8799,2612,102
03.22,98,8897,2909,104
03.23,64,8961,3166,111
03.24,76,9037,3507,120
03.25,100,9137,3730,126
03.26,104,9241,4144,131
03.27,91,9332,4528,139
03.28,146,9478,4811,144
03.29,105,9583,5033,152
03.30,78,9661,5228,158
03.31,125,9786,5408,162
04.01,101,9887,5567,165
04.02,89,9976,5828,169
04.03,86,10062,6021,174
04.04,94,10156,6325,177
04.05,81,10237,6463,183
04.06,47,10284,6598,186
04.07,47,10331,6694,192
04.08,53,10384,6776,200
04.09,39,10423,6973,204
04.10,27,10450,7117,208
04.11,30,10480,7243,211
04.12,32,10512,7368,214
04.13,25,10537,7447,217
04.14,27,10564,7534,222
04.15,27,10591,7616,225
04.16,22,10613,7757,229
04.17,22,10635,7829,230
04.18,18,10653,7937,232
04.19,8,10661,8042,234
04.20,13,10674,8114,236
04.21,9,10683,8213,237
04.22,11,10694,8277,238
04.23,8,10702,8411,240
04.24,6,10708,8501,240
04.25,10,10718,8635,240
04.26,10,10728,8717,242
04.27,10,10738,8764,243
04.28,14,10752,8854,244
04.29,9,10761,8922,246
04.30,4,10765,9059,247
05.01,9,10774,9072,248
05.02,6,10780,9123,250
05.03,0,10780,9123,250
05.04,21,10801,9217,252
05.05,3,10804,9283,254
05.06,2,10806,9333,255
05.07,4,10810,9419,256
05.08,12,10822,9484,256
05.09,18,10840,9568,256
05.10,34,10874,9610,256
05.11,35,10909,9632,256
05.12,27,10936,9670,258
05.13,26,10962,9695,259
05.14,29,10991,9762,260
05.15,27,11018,9821,260
05.16,19,11037,9851,262
05.17,13,11050,9888,262
05.18,15,11065,9904,263
05.19,13,11078,9938,263
05.20,32,11110,10066,263
05.21,12,11122,10135,264
05.22,20,11142,10162,264
05.23,23,11165,10194,266
05.24,25,11190,10213,266
05.25,16,11206,10226,267
05.26,19,11225,10275,269
05.27,40,11265,10295,269
05.28,79,11344,10340,269
05.29,58,11402,10363,269
05.30,39,11441,10398,269
05.31,27,11468,10405,270
06.01,35,11503,10422,271
06.02,38,11541,10446,272
06.03,0,11541,10446,272
06.04,88,11629,10499,273
06.05,39,11668,10506,273
06.06,51,11719,10531,273
06.07,57,11776,10552,273
06.08,38,11814,10563,273
06.09,38,11852,10589,274
06.10,50,11902,10611,276
06.11,45,11947,10654,276
06.12,56,12003,10669,277
06.13,48,12051,10691,277
06.14,34,12085,10718,277
06.15,36,12121,10730,277
06.16,34,12155,10760,278
06.17,43,12198,10774,279
06.18,0,12198,10774,279
