日期,新增确诊,确诊总数,治愈数,死亡数
04.03,0,3,0,0
04.04,1,4,0,0
04.05,0,4,0,0
04.06,1,5,0,0
04.07,3,8,0,1
04.08,0,8,0,1
04.09,0,8,0,1
04.10,1,9,0,1
04.11,3,12,0,2
04.12,1,13,0,2
04.13,3,16,0,2
04.14,0,16,0,2
04.15,0,16,0,2
04.16,0,16,0,2
04.17,1,17,0,2
04.18,0,17,3,2
04.19,0,17,3,2
04.20,0,17,3,2
04.21,1,18,3,2
04.22,5,23,3,3
04.23,10,33,3,3
04.24,0,33,3,3
04.25,0,33,4,3
04.26,1,34,4,3
04.27,2,36,4,3
04.28,0,36,4,3
04.29,0,36,5,3
04.30,1,37,7,3
05.01,0,37,7,3
05.02,0,37,9,3
05.03,1,38,9,3
05.04,3,41,9,3
05.05,0,41,9,3
05.06,2,43,9,3
05.07,0,43,9,3
05.08,0,43,14,3
05.09,13,56,14,3
05.10,0,56,14,3
05.11,0,56,14,3
05.12,1,57,24,3
05.13,6,63,24,3
05.14,0,63,24,3
05.15,0,63,24,3
05.16,0,63,24,3
05.17,2,65,24,3
05.18,5,70,27,3
05.19,0,70,27,3
05.20,1,71,27,3
05.21,0,71,27,3
05.22,1,72,27,3
05.23,10,82,28,3
05.24,0,82,28,4
05.25,19,101,33,4
05.26,0,101,37,4
05.27,0,101,37,4
05.28,102,203,37,4
05.29,0,203,42,4
05.30,70,273,42,4
05.31,6,279,42,4
06.01,5,284,42,4
06.02,52,336,42,4
06.03,22,358,42,4
06.04,11,369,51,4
06.05,24,393,51,4
06.06,16,409,55,4
06.07,0,409,55,4
06.08,29,438,55,4
06.09,5,443,55,4
06.10,12,455,55,4
06.11,0,455,55,4
06.12,26,481,55,4
06.13,0,481,65,4
06.14,48,529,66,5
06.15,18,547,69,6
06.16,8,555,69,6
06.17,9,564,73,6
06.18,0,564,73,6
