日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,4,0,0
01.29,3,7,0,0
01.30,1,8,0,0
01.31,0,8,0,0
02.01,0,8,0,0
02.02,0,8,0,0
02.03,0,8,0,0
02.04,2,10,0,0
02.05,2,12,1,0
02.06,2,14,1,0
02.07,1,15,1,0
02.08,1,16,2,0
02.09,1,17,2,0
02.10,1,18,3,0
02.11,0,18,3,0
02.12,0,18,3,0
02.13,1,19,3,0
02.14,0,19,3,0
02.15,2,21,3,0
02.16,1,22,7,0
02.17,0,22,9,0
02.18,0,22,9,0
02.19,0,22,15,0
02.20,0,22,15,0
02.21,0,22,15,0
02.22,0,22,15,0
02.23,0,22,15,0
02.24,0,22,15,0
02.25,0,22,15,0
02.26,0,22,15,0
02.27,1,23,15,0
02.28,2,25,15,0
02.29,2,25,21,0
03.01,4,29,21,0
03.02,0,29,21,0
03.03,11,36,21,0
03.04,14,50,21,0
03.05,5,55,21,0
03.06,0,55,21,0
03.07,38,93,23,0
03.08,6,99,24,0
03.09,18,117,24,0
03.10,12,129,24,0
03.11,20,149,26,0
03.12,9,158,32,0
03.13,39,197,32,0
03.14,41,238,35,0
03.15,190,428,35,0
03.16,125,553,35,0
03.17,120,673,49,2
03.18,117,790,60,2
03.19,110,900,75,2
03.20,130,1030,87,3
03.21,283,1183,114,8
03.22,406,1306,114,10
03.23,212,1518,114,14
03.24,318,1624,183,15
03.25,490,1796,199,19
03.26,235,2031,215,23
03.27,130,2161,259,26
03.28,159,2320,259,26
03.29,150,2470,388,34
03.30,156,2626,479,37
03.31,140,2766,537,43
04.01,142,2908,645,45
04.02,208,3116,767,50
04.03,217,3333,827,53
04.04,150,3483,915,57
04.05,179,3662,1005,61
04.06,131,3793,1241,62
04.07,170,3963,1321,63
04.08,156,4119,1487,65
04.09,109,4228,1608,67
04.10,118,4346,1830,70
04.11,184,4530,1995,73
04.12,153,4683,2108,76
04.13,134,4817,2276,77
04.14,170,4987,2478,82
04.15,85,5072,2647,83
04.16,110,5182,2766,84
04.17,69,5251,2967,86
04.18,54,5305,3102,88
04.19,84,5389,3197,89
04.20,36,5425,3295,89
04.21,57,5482,3349,92
04.22,50,5532,3452,93
04.23,71,5603,3542,95
04.24,88,5691,3663,96
04.25,51,5742,3762,98
04.26,38,5780,3862,98
04.27,40,5820,3957,99
04.28,31,5851,4032,100
04.29,94,5945,4087,100
04.30,57,6002,4171,102
05.01,69,6071,4210,103
05.02,105,6176,4326,103
05.03,0,6176,4326,103
05.04,177,6353,4484,105
05.05,30,6383,4567,106
05.06,45,6428,4702,107
05.07,39,6467,4776,107
05.08,68,6535,4864,107
05.09,54,6589,4929,108
05.10,67,6656,5025,108
05.11,70,6726,5113,109
05.12,16,6742,5223,109
05.13,37,6779,5281,111
05.14,40,6819,5351,112
05.15,36,6855,5439,112
05.16,17,6872,5512,113
05.17,22,6894,5571,113
05.18,47,6941,5615,113
05.19,37,6978,5646,114
05.20,31,7009,5706,114
05.21,50,7059,5796,114
05.22,78,7137,5859,115
05.23,48,7185,5912,115
05.24,60,7245,5945,115
05.25,172,7417,5979,115
05.26,187,7604,6041,115
05.27,15,7619,6083,115
05.28,10,7629,6169,115
05.29,103,7732,6235,115
05.30,30,7762,6330,115
05.31,57,7819,6353,115
06.01,38,7857,6404,115
06.02,20,7877,6470,115
06.03,0,7877,6470,115
06.04,370,8247,6559,115
06.05,19,8266,6610,116
06.06,37,8303,6635,117
06.07,19,8322,6674,117
06.08,7,8329,6694,117
06.09,7,8336,6975,117
06.10,2,8338,7014,118
06.11,31,8369,7065,118
06.12,33,8402,7168,119
06.13,43,8445,7311,120
06.14,8,8453,7346,121
06.15,41,8494,7400,121
06.16,11,8505,7733,121
06.17,10,8515,7873,121
06.18,0,8515,7873,121
