日期,新增确诊,确诊总数,治愈数,死亡数
03.07,1,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,3,4,0,0
03.11,1,5,0,0
03.12,1,6,0,0
03.13,0,6,0,0
03.14,0,6,0,0
03.15,12,18,0,0
03.16,0,18,0,0
03.17,0,18,0,0
03.18,0,18,0,0
03.19,20,38,2,0
03.20,0,38,2,0
03.21,26,64,2,0
03.22,26,90,2,0
03.23,17,107,2,0
03.24,3,110,2,0
03.25,19,129,2,0
03.26,5,134,2,0
03.27,5,139,2,0
03.28,10,149,2,0
03.29,85,149,2,0
03.30,7,156,2,0
03.31,13,169,2,0
04.01,19,188,2,0
04.02,8,196,2,0
04.03,6,202,2,0
04.04,11,213,2,0
04.05,14,227,2,0
04.06,14,241,5,0
04.07,52,293,5,0
04.08,6,299,5,0
04.09,38,337,16,2
04.10,13,350,16,2
04.11,20,370,16,3
04.12,8,378,44,3
04.13,6,384,44,3
04.14,9,393,44,3
04.15,6,399,44,3
04.16,13,412,82,3
04.17,10,422,91,3
04.18,4,426,99,3
04.19,1,427,118,3
04.20,4,431,126,3
04.21,12,443,150,3
04.22,1,444,165,3
04.23,1,445,204,3
04.24,2,447,223,3
04.25,1,448,249,4
04.26,0,448,282,4
04.27,2,450,286,4
04.28,8,458,303,4
04.29,5,463,339,4
04.30,2,465,351,4
05.01,0,465,351,4
05.02,3,468,379,4
05.03,0,468,379,4
05.04,12,480,399,4
05.05,2,482,403,5
05.06,2,484,407,5
05.07,2,486,413,5
05.08,3,489,419,5
05.09,1,490,427,5
05.10,6,496,433,5
05.11,7,503,434,5
05.12,3,506,434,5
05.13,2,508,436,6
05.14,14,522,443,6
05.15,10,532,458,6
05.16,14,546,450,6
05.17,7,553,454,6
05.18,5,558,456,6
05.19,11,569,460,6
05.20,15,584,465,6
05.21,15,599,468,6
05.22,1,600,469,6
05.23,9,609,473,6
05.24,1,610,476,6
05.25,1,611,485,6
05.26,0,611,485,6
05.27,1,612,491,7
05.28,4,616,501,7
05.29,0,616,514,8
05.30,2,618,525,9
05.31,0,618,534,9
06.01,1,619,537,9
06.02,1,620,554,9
06.03,0,620,554,9
06.04,2,622,576,9
06.05,3,625,583,9
06.06,2,627,596,9
06.07,2,629,596,9
06.08,1,630,596,9
06.09,2,632,597,9
06.10,0,632,597,9
06.11,8,640,600,9
06.12,5,645,600,9
06.13,1,646,601,9
06.14,3,649,603,9
06.15,1,650,603,9
06.16,6,656,608,9
06.17,6,662,610,9
06.18,0,662,610,9
