企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
E1,5076257,2017/8/22,B09944,989553.84,168224.16,1157778,作废发票
E1,8156814,2017/8/24,B08743,856941.04,145679.96,1002621,作废发票
E1,8156849,2017/8/24,B10093,124019.64,21083.36,145103,作废发票
E1,8156895,2017/8/25,B08774,156603.41,26622.59,183226,作废发票
E1,8156920,2017/8/26,B11922,855574.32,145447.68,1001022,作废发票
E1,8156921,2017/8/26,B11922,854284.58,145228.42,999513,作废发票
E1,8156916,2017/8/26,B13640,889107.68,151148.32,1040256,作废发票
E1,8156940,2017/8/28,B02311,59992.3,10198.7,70191,作废发票
E1,11459383,2017/8/29,B03661,5982.91,1017.09,7000,作废发票
E1,8157003,2017/9/21,B09945,983841.02,167252.98,1151094,作废发票
E1,315808,2017/9/25,B08742,683923.08,116266.92,800190,作废发票
E1,315985,2017/9/26,B08636,443448.74,75386.26,518835,作废发票
E1,315986,2017/9/26,B08743,989871.8,168278.2,1158150,作废发票
E1,315987,2017/9/26,B08743,999943.61,169990.39,1169934,作废发票
E1,315988,2017/9/26,B08743,996237.6,169360.4,1165598,作废发票
E1,315947,2017/9/26,B11768,994209.4,169015.6,1163225,作废发票
E1,316025,2017/9/27,B09829,266906.83,45374.17,312281,作废发票
E1,316079,2017/9/28,B08626,436890.59,74271.41,511162,作废发票
E1,316084,2017/9/28,B09479,600812.82,102138.18,702951,作废发票
E1,316108,2017/9/29,B08528,942199.1,160173.9,1102373,作废发票
E1,5504188,2017/10/10,B00845,2863.25,486.75,3350,作废发票
E1,5504189,2017/10/10,B00845,6229.06,1058.94,7288,作废发票
E1,5504217,2017/10/10,B02814,10170.94,1729.06,11900,作废发票
E1,5504199,2017/10/10,B12403,91623.93,15576.07,107200,作废发票
E1,5504222,2017/10/17,B02814,4299.15,730.85,5030,作废发票
E1,2835606,2017/10/25,B10151,221145.31,37594.69,258740,作废发票
E1,2835596,2017/10/25,B13886,946324.82,160875.18,1107200,作废发票
E1,2835597,2017/10/25,B13886,458469.24,77939.76,536409,作废发票
E1,2835637,2017/10/26,B09139,982923.09,167096.91,1150020,作废发票
E1,2835617,2017/10/26,B12993,53351.29,9069.71,62421,作废发票
E1,2835792,2017/11/22,B03455,269.23,45.77,315,作废发票
E1,1784260,2017/11/23,B11768,997175.24,169519.76,1166695,作废发票
E1,1784335,2017/11/24,B13743,33836.76,5752.24,39589,作废发票
E1,1784542,2017/12/26,B02153,256889.69,43671.31,300561,作废发票
E1,1784545,2017/12/26,B02153,257076.04,43702.96,300779,作废发票
E1,1784505,2017/12/26,B04669,100869.22,17147.78,118017,作废发票
E1,1784556,2017/12/27,B13009,190664.1,32412.9,223077,作废发票
E1,8668066,2018/1/24,B11768,965008.56,164051.44,1129060,作废发票
E1,8668068,2018/1/24,B11768,918256.41,156103.59,1074360,作废发票
E1,8668203,2018/1/29,B11371,358713.69,60981.31,419695,作废发票
E1,8668231,2018/2/22,B09945,979871.79,166578.21,1146450,作废发票
E1,6994904,2018/3/23,B07993,999078.64,169843.36,1168922,作废发票
E1,6995021,2018/3/26,B08743,854788.06,145313.94,1000102,作废发票
E1,6995068,2018/3/27,B02314,818437.59,139134.41,957572,作废发票
E1,6995133,2018/3/29,B08528,170957.27,29062.73,200020,作废发票
E1,7039366,2018/4/24,B08743,855510.3,145436.7,1000947,作废发票
E1,7039367,2018/4/24,B08743,853399.14,145077.86,998477,作废发票
E1,7039371,2018/4/24,B08743,854272.66,145226.34,999499,作废发票
E1,21223149,2018/5/16,B02814,41963.79,6714.21,48678,作废发票
E1,7039590,2018/5/22,B07664,981646.13,166879.87,1148526,作废发票
E1,7039591,2018/5/22,B07664,987574.35,167887.65,1155462,作废发票
E1,7039592,2018/5/22,B07664,948947.02,161320.98,1110268,作废发票
E1,7039559,2018/5/22,B09944,978979.31,156636.69,1135616,作废发票
E1,7039577,2018/5/22,B11768,984782.79,167413.21,1152196,作废发票
E1,7039578,2018/5/22,B11768,601674.32,102284.68,703959,作废发票
E1,7039585,2018/5/22,B12757,394411.14,67049.86,461461,作废发票
E1,4085317,2018/5/25,B09332,161316.37,25810.63,187127,作废发票
E1,21223160,2018/5/28,B03268,1293.1,206.9,1500,作废发票
E1,4085406,2018/5/29,B07928,98688.88,16777.12,115466,作废发票
E1,4085368,2018/5/29,B10091,28034.48,4485.52,32520,作废发票
E1,4085403,2018/5/29,B11371,205136.77,34873.23,240010,作废发票
E1,4085432,2018/5/30,B03516,684440.17,116354.83,800795,作废发票
E1,4087193,2018/6/23,B09944,913487.91,146158.09,1059646,作废发票
E1,4087212,2018/6/25,B11768,608246.12,103401.88,711648,作废发票
E1,4087213,2018/6/25,B11768,984782.79,167413.21,1152196,作废发票
E1,4087223,2018/6/25,B12757,394411.14,67049.86,461461,作废发票
E1,4087254,2018/6/26,B09214,33991.38,5438.62,39430,作废发票
E1,13246222,2018/7/10,B03377,4634.48,741.52,5376,作废发票
E1,4087443,2018/7/24,B04669,672726.74,107636.26,780363,作废发票
E1,6609175,2018/7/27,B02153,87411.2,13985.8,101397,作废发票
E1,13246240,2018/8/9,B12403,81267.24,13002.76,94270,作废发票
E1,6609541,2018/9/27,B07928,31375.86,5020.14,36396,作废发票
E1,6609540,2018/9/27,B09332,19267.24,3082.76,22350,作废发票
E1,6376614,2018/10/26,B03518,8965.52,1434.48,10400,作废发票
E1,6376631,2018/11/19,B02814,3150.86,504.14,3655,作废发票
E1,6376626,2018/11/19,B10404,50668.96,8107.04,58776,作废发票
E1,433585,2018/11/21,B09944,964437.94,154310.06,1118748,作废发票
E1,433758,2018/11/27,B08743,964642.24,154342.76,1118985,作废发票
E1,433788,2018/11/28,B08506,995046.58,159207.42,1154254,作废发票
E1,4347556,2018/11/29,B09439,36804.32,5888.68,42693,作废发票
E1,6376650,2019/1/11,B04335,14586.21,2333.79,16920,作废发票
E1,6256716,2019/3/21,B09945,999174.14,159867.86,1159042,作废发票
E1,6256727,2019/3/22,B07664,986334.47,157813.53,1144148,作废发票
E1,6256843,2019/3/24,B10359,-12672.41,-2027.59,-14700,作废发票
E1,6256901,2019/3/25,B08742,709283.62,113485.38,822769,作废发票
