企业代号,企业名称,信誉评级,是否违约,进项价税合计,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比
E1,***电器销售有限公司,A,否,6637942028.290009,436,435,254751813.70999998,39,3.83781317499132,8.944954128440367,-2572098726.5100145,31,214127162.2029035,71,2.185287780855648,4065843301.779994,352,351,254751813.70999998,39,6.265657449180878,11.079545454545455,29,140201493.16482738,228,2.8911995942176008
E2,***技术有限责任公司,A,否,162487956.62000045,3625,3623,9248509.229999999,386,5.691812133270195,10.648275862068965,428353756.1700164,37,4391566.3951351475,156,0.49626212820104976,590841712.7900169,1579,1567,9248509.229999999,386,1.5653108150282016,24.445851804939835,36,16412269.799722692,358,3.0690098585512215
E3,***电子(中国)有限公司***分公司,C,否,54179352.51999985,571,570,3341485.8100000005,84,6.16745246035659,14.711033274956216,515998642.7600007,37,1464306.8248648606,26,0.5953743989008472,570177995.2800006,135,135,3341485.8100000005,84,0.586042575767779,62.22222222222222,37,15410216.088648664,4406,18.600135089496792
E4,***发展有限责任公司,C,否,254584214.61999986,131,131,125823233.69,17,49.4230303625885,12.977099236641221,1585385475.33999,37,6880654.449189185,4,0.7677543186180422,1839969689.9599898,26,26,125823233.69,17,6.83833186908291,65.38461538461539,35,52570562.570285425,9,0.44096031357177856
E5,***供应链管理有限公司,B,否,227331978.96999973,393,390,4718234.76,32,2.075482200690581,8.142493638676845,-24699690.099999845,36,6314777.193611104,16,0.7677543186180422,202632288.8699999,33,33,4718234.76,32,2.3284713341154704,96.96969696969697,36,5628674.69083333,10,0.9950248756218906
E6,***装饰设计工程有限公司,A,否,321178563.5000012,1515,1512,19958292.050000016,177,6.214079741968813,11.683168316831685,45260724.79999882,36,8921626.763888922,78,0.7212872202700203,366439288.3,142,142,19958292.050000016,177,5.446548087840507,124.64788732394365,36,10178869.119444445,23,2.5191675794085433
E7,***家电有限公司***分公司,A,否,63491942.06000021,1572,1564,3161654.719999999,234,4.979615707788901,14.885496183206106,449458684.4299995,37,1715998.4340540597,450,3.559281816024678,512950626.48999965,1211,1198,3161654.719999999,234,0.6163662849257945,19.322873658133773,37,13863530.445675666,1899,23.64292828685259
E8,***科学研究院有限公司,A,否,170418693.94000122,2598,2598,10648813.23,311,6.248618026464336,11.970746728252502,188470138.8500047,37,4605910.64702706,77,0.35358405657344905,358888832.7900059,2679,2659,10648813.23,311,2.9671620449195935,11.608809257185516,37,9699698.183513673,245,2.9309726043785145
E9,***生活用品服务有限公司***分公司,A,否,26333514.09000002,738,738,368856.04,71,1.400709524522102,9.620596205962059,293258621.27000064,37,711716.5970270275,26,0.6191950464396285,319592135.36000067,123,123,368856.04,71,0.1154146173166954,57.72357723577236,37,8637625.280000018,122,2.118055555555556
E10,***建筑劳务有限公司,B,否,5417961.640000008,881,877,1060648.9099999997,111,19.576530445867057,12.599318955732123,335413622.8300004,34,159351.8129411767,34,0.8808290155440414,340831584.4700004,26,26,1060648.9099999997,111,0.3111944310118233,426.9230769230769,36,9467544.013055567,2,0.3875968992248062
E11,***建设工程有限公司,C,否,144211948.07999992,466,465,11237620.670000002,56,7.792433858369392,12.017167381974248,4227179.060001999,32,4506623.377499998,24,0.8839779005524863,148439127.14000192,4,4,11237620.670000002,56,7.570524622797817,1400.0,23,6453875.093043562,1,0.09514747859181732
E12,***建筑劳务有限公司,B,否,95447012.69999996,395,394,15775701.93,26,16.52823014962731,6.582278481012659,128237390.38999954,36,2651305.9083333323,13,0.7398975526465565,223684403.0899995,5,5,15775701.93,26,7.052660673731749,520.0,24,9320183.462083312,1,0.38022813688212925
E13,***汽车贸易有限公司,A,否,103628502.97000007,722,722,6495664.99,106,6.268222355658715,14.681440443213297,108826268.04000024,37,2800770.3505405425,39,0.29422859298377974,212454771.01000032,3182,3171,6495664.99,106,3.0574342760672795,3.331238214959145,37,5742020.838108117,73,1.072267920094007
