企业代号,企业名称,信誉评级,是否违约
E1,***电器销售有限公司,A,否
E2,***技术有限责任公司,A,否
E3,***电子(中国)有限公司***分公司,C,否
E4,***发展有限责任公司,C,否
E5,***供应链管理有限公司,B,否
E6,***装饰设计工程有限公司,A,否
E7,***家电有限公司***分公司,A,否
E8,***科学研究院有限公司,A,否
E9,***生活用品服务有限公司***分公司,A,否
E10,***建筑劳务有限公司,B,否
E11,***建设工程有限公司,C,否
E12,***建筑劳务有限公司,B,否
E13,***汽车贸易有限公司,A,否
E14,个体经营E14,C,否
E15,***劳务有限公司,A,否
E16,***建筑劳务有限公司,A,否
E17,***消防工程有限公司,A,否
E18,***消防工程有限责任公司,A,否
E19,***科技有限公司,A,否
E20,***贸易有限公司,B,否
E21,***建设工程有限公司,B,否
E22,***物流有限公司,A,否
E23,***贸易有限公司,B,否
E24,***建筑工程有限公司,A,否
E25,***通讯设备有限公司,C,否
E26,***金属材料有限公司,A,否
E27,***农业开发有限公司,A,否
E28,***景观工程有限公司,B,否
E29,***建筑劳务有限公司,C,是
E30,***建筑工程有限公司,B,否
E31,***食品有限公司,A,否
E32,***建筑劳务有限公司,B,否
E33,***园林有限责任公司,B,否
E34,***建设工程有限公司,B,否
E35,***商贸有限公司,B,否
E36,***超硬材料有限公司,D,是
E37,***木业有限公司,B,否
E38,***建设工程有限公司,B,否
E39,***建筑劳务有限公司,C,否
E40,***财税咨询服务有限公司,C,否
E41,***物业发展有限公司,C,否
E42,***园艺场,A,否
E43,***建设工程有限公司,B,否
E44,***商贸有限公司,C,否
E45,个体经营E45,B,是
E46,***广告传媒有限公司,C,否
E47,***控制设备有限责任公司,C,否
E48,***化工有限公司,A,否
E49,***地球环保科技有限公司,C,否
E50,***建筑劳务有限公司,C,否
E51,***物流有限公司,B,否
E52,***商贸有限公司,D,是
E53,***文化传媒有限公司,C,否
E54,***新技术开发有限公司,A,否
E55,***集团有限公司***电力设备分公司,C,否
E56,***家居材料***有限公司,C,否
E57,***机械设备有限公司,B,否
E58,***油气工程建设有限责任公司,B,否
E59,***商贸有限公司,A,否
E60,***机械租赁有限公司,B,否
E61,***调味品有限公司,B,否
E62,***工程造价咨询有限公司***分公司,B,否
E63,***科技有限公司,B,否
E64,***图书有限责任公司,A,否
E65,***商贸有限公司,B,否
E66,***快递有限公司,B,否
E67,***信息技术有限公司,B,否
E68,***花木总公司,C,否
E69,***电子器材经营部,C,否
E70,***科技有限公司,B,否
E71,***农业科技有限公司,B,否
E72,***图书有限公司,C,否
E73,***商贸有限责任公司,C,否
E74,***蔬菜专业合作社,B,否
E75,***酒店管理有限公司,C,否
E76,***信息科技有限公司,B,否
E77,***机电设备有限公司,C,否
E78,个体经营E78,C,否
E79,***鞋业有限公司,B,否
E80,***实业有限责任公司,C,否
E81,***机械设备有限公司,A,否
E82,***商贸有限公司,D,是
E83,***社会福利院（***社会福利社会化服务中心）,B,否
E84,***建材有限公司,A,否
E85,***安防科技有限公司,B,否
E86,***地质工程勘察院***分院,C,否
E87,***实业有限责任公司,C,是
E88,***贸易有限公司,A,否
E89,***物资有限公司,A,否
E90,***文化传媒有限责任公司,C,否
E91,***科技实业有限公司,A,否
E92,***地质灾害防治有限公司,C,否
E93,***电脑设计事务所,B,否
E94,***汽车美容有限公司,C,否
E95,***兰花店,B,否
E96,***土地整理有限公司,C,否
E97,***美工装饰部,B,否
E98,***文化传播有限公司,B,否
E99,***建筑工程有限责任公司,D,是
E100,***装饰工程有限公司,D,是
E101,***灯饰工程有限公司,D,是
E102,***大药房有限责任公司,D,是
E103,***科技有限公司,D,是
E104,***管理咨询有限责任公司,C,否
E105,***建材经营部,C,否
E106,***财务管理有限公司,B,否
E107,***科技有限公司,D,是
E108,***商贸有限公司,D,是
E109,***服饰有限公司,D,是
E110,***通讯器材经营部,C,否
E111,***科技有限公司,D,是
E112,***机械设备有限公司,D,是
E113,***美居科技有限公司,D,是
E114,***食品有限责任公司,D,是
E115,***装饰工程有限公司,D,是
E116,***门窗有限公司,D,是
E117,***人力资源管理咨询有限公司,D,是
E118,***体育用品有限公司,D,是
E119,***药房,D,是
E120,***陈列广告有限公司,D,是
E121,***药业连锁有限公司***药店,D,是
E122,***商贸有限责任公司,D,是
E123,***创科技有限责任公司,D,是
