企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
E124,07201823,2017/9/5,C00364,72692.32 ,12357.68 ,85050.00 ,作废发票
E124,07365170,2017/9/6,C01226,92125.24 ,2763.76 ,94889.00 ,作废发票
E124,13859515,2017/9/7,C00591,2900.97 ,87.03 ,2988.00 ,作废发票
E124,07716903,2017/9/7,C00222,85471.79 ,14530.21 ,100002.00 ,作废发票
E124,07716904,2017/9/7,C00222,85470.09 ,14529.91 ,100000.00 ,作废发票
E124,07852401,2017/9/9,C01194,9999.15 ,1699.85 ,11699.00 ,作废发票
E124,06630177,2017/9/11,C01261,99345.95 ,10928.05 ,110274.00 ,作废发票
E124,07863856,2017/9/12,C00866,34188.03 ,5811.97 ,40000.00 ,作废发票
E124,07863857,2017/9/12,C00866,34188.03 ,5811.97 ,40000.00 ,作废发票
E124,01716986,2017/9/12,C00299,4971.84 ,149.16 ,5121.00 ,作废发票
E124,10948234,2017/9/12,C01114,9333.33 ,1586.67 ,10920.00 ,作废发票
E124,00359965,2017/9/13,C01172,99029.13 ,2970.87 ,102000.00 ,作废发票
E124,08770118,2017/9/13,C00450,99099.10 ,10900.90 ,110000.00 ,作废发票
E124,08770122,2017/9/13,C00450,99099.10 ,10900.90 ,110000.00 ,作废发票
E124,05129258,2017/9/14,C01226,85470.09 ,14529.91 ,100000.00 ,作废发票
E124,04094712,2017/9/16,C01034,18085.47 ,3074.53 ,21160.00 ,作废发票
E124,05238875,2017/9/19,C00775,9189.74 ,1562.26 ,10752.00 ,作废发票
E124,05238876,2017/9/20,C00775,9189.74 ,1562.26 ,10752.00 ,作废发票
E124,02216477,2017/9/20,C01159,1364.73 ,150.12 ,1514.85 ,作废发票
E124,03366406,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366407,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366408,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366409,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366410,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366411,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366412,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366413,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366414,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,03366415,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639970,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639971,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639972,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639973,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639974,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639975,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639976,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639977,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639978,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639979,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639980,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639981,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639982,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639983,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,02639984,2017/9/21,C01229,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,05129259,2017/9/21,C01226,85470.09 ,14529.91 ,100000.00 ,作废发票
E124,06080041,2017/9/25,C01226,29190.02 ,4962.33 ,34152.35 ,作废发票
E124,02944770,2017/9/25,C01000,42735.04 ,7264.96 ,50000.00 ,作废发票
E124,03373733,2017/9/26,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,03373734,2017/9/26,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,03373735,2017/9/26,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,03373736,2017/9/26,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,07493732,2017/9/27,C00935,7737.61 ,1315.39 ,9053.00 ,作废发票
E124,07493733,2017/9/27,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,07493734,2017/9/27,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,07493735,2017/9/27,C00935,8794.87 ,1495.13 ,10290.00 ,作废发票
E124,07493736,2017/9/27,C00935,8794.87 ,1495.13 ,10290.00 ,作废发票
E124,07493737,2017/9/27,C00935,8461.54 ,1438.46 ,9900.00 ,作废发票
E124,08331461,2017/9/28,C01095,85964.51 ,14613.98 ,100578.49 ,作废发票
E124,09166863,2017/10/1,C01104,163.11 ,4.89 ,168.00 ,作废发票
E124,01781051,2017/10/9,C00227,9747.57 ,292.42 ,10039.99 ,作废发票
E124,02944775,2017/10/13,C01000,42735.04 ,7264.96 ,50000.00 ,作废发票
E124,00355723,2017/10/17,C01410,6181.19 ,1050.81 ,7232.00 ,作废发票
E124,00355724,2017/10/17,C01410,6211.97 ,1056.03 ,7268.00 ,作废发票
E124,08771461,2017/10/18,C01260,42735.05 ,7264.95 ,50000.00 ,作废发票
E124,05140783,2017/10/19,C00893,86413.44 ,14690.29 ,101103.73 ,作废发票
E124,02690296,2017/10/20,C00940,97087.38 ,2912.62 ,100000.00 ,作废发票
E124,06080046,2017/10/20,C01226,15377.73 ,2614.22 ,17991.95 ,作废发票
E124,07562323,2017/10/23,C01367,2524.27 ,75.73 ,2600.00 ,作废发票
E124,01515694,2017/10/23,C01017,68376.07 ,11623.93 ,80000.00 ,作废发票
E124,01425132,2017/10/24,C00262,15731.66 ,471.95 ,16203.61 ,作废发票
E124,01425133,2017/10/24,C00262,3609.22 ,108.28 ,3717.50 ,作废发票
E124,01425135,2017/10/24,C00262,3189.31 ,95.68 ,3284.99 ,作废发票
E124,05476787,2017/10/24,C01313,53220.82 ,9047.56 ,62268.38 ,作废发票
E124,07562324,2017/10/24,C01367,2524.27 ,75.73 ,2600.00 ,作废发票
E124,00351095,2017/10/24,C01084,57875.42 ,9838.82 ,67714.24 ,作废发票
E124,00302655,2017/10/24,C01028,99969.23 ,16994.77 ,116964.00 ,作废发票
E124,01830157,2017/10/25,C00305,19467.69 ,3309.51 ,22777.20 ,作废发票
E124,00373846,2017/10/25,C00893,44074.96 ,7492.74 ,51567.70 ,作废发票
E124,02973478,2017/10/25,C00305,68376.06 ,11623.94 ,80000.00 ,作废发票
E124,07367087,2017/10/26,C01189,99145.30 ,16854.70 ,116000.00 ,作废发票
E124,02050442,2017/10/26,C00893,6237.69 ,1060.41 ,7298.10 ,作废发票
E124,06732449,2017/10/26,C00466,47863.25 ,8136.75 ,56000.00 ,作废发票
E124,01425251,2017/10/26,C00262,3609.22 ,108.28 ,3717.50 ,作废发票
E124,01425252,2017/10/26,C00262,3189.31 ,95.68 ,3284.99 ,作废发票
E124,01425253,2017/10/26,C00262,15731.66 ,471.95 ,16203.61 ,作废发票
E124,06732450,2017/10/26,C00466,47863.25 ,8136.75 ,56000.00 ,作废发票
E124,00955209,2017/10/26,C00367,96600.00 ,0.00 ,96600.00 ,作废发票
E124,00955210,2017/10/26,C00367,98700.00 ,0.00 ,98700.00 ,作废发票
E124,00955211,2017/10/26,C00367,99120.00 ,0.00 ,99120.00 ,作废发票
E124,00955212,2017/10/26,C00367,96030.00 ,0.00 ,96030.00 ,作废发票
E124,00955213,2017/10/26,C00367,99480.00 ,0.00 ,99480.00 ,作废发票
E124,00955215,2017/10/26,C00367,71343.00 ,0.00 ,71343.00 ,作废发票
E124,00955217,2017/10/26,C00367,96600.00 ,0.00 ,96600.00 ,作废发票
E124,00716687,2017/10/26,C01000,42735.05 ,7264.95 ,50000.00 ,作废发票
E124,01515695,2017/10/26,C01017,68376.07 ,11623.93 ,80000.00 ,作废发票
E124,02527522,2017/10/30,C00524,434.56 ,73.88 ,508.44 ,作废发票
E124,02527523,2017/10/30,C00524,55.05 ,1.65 ,56.70 ,作废发票
E124,03176026,2017/11/2,C00622,8363.25 ,1421.75 ,9785.00 ,作废发票
E124,01232422,2017/11/3,C00866,28358.97 ,4821.03 ,33180.00 ,作废发票
E124,08389883,2017/11/7,C00305,57904.47 ,1737.13 ,59641.60 ,作废发票
E124,07425615,2017/11/8,C00935,932.04 ,27.96 ,960.00 ,作废发票
E124,01837630,2017/11/9,C00847,48543.69 ,1456.31 ,50000.00 ,作废发票
E124,02752866,2017/11/9,C00945,97281.55 ,2918.45 ,100200.00 ,作废发票
E124,02752867,2017/11/9,C00945,97281.55 ,2918.45 ,100200.00 ,作废发票
E124,02752868,2017/11/9,C00945,48155.34 ,1444.66 ,49600.00 ,作废发票
E124,02879541,2017/11/10,C01337,537495.14 ,16124.86 ,553620.00 ,作废发票
