企业代号,企业名称,进项价税合计,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比
E124,个体经营E124 ,844202797.2299992,1403,1397,147978465.74000016,493,17.52878173651492,35.138987883107625,-102422429.39998746,24,35175116.551249966,342,2.240566037735849,741780367.8300117,52,52,147978465.74000016,493,19.949094389339685,948.076923076923,24,30907515.32625049,41,3.7306642402183803
E125,个体经营E125 ,1001201808.6000003,1789,1781,176611420.48000017,642,17.639942213744032,35.88596981553941,-59990444.10998261,35,28605765.96000001,396,2.2277227722772275,941211364.4900177,63,63,176611420.48000017,642,18.76426774507707,1019.047619047619,35,26891753.271143362,42,3.0434782608695654
E126,个体经营E126 ,128818723.62999995,72,72,5187617.010000001,6,4.027067544078571,8.333333333333332,391872374.18999934,35,3680534.9608571413,3,0.5825242718446602,520691097.8199993,143,143,5187617.010000001,6,0.9962945461751178,4.195804195804196,35,14876888.509142837,32,2.5316455696202533
E127,个体经营E127 ,1765558.9399999995,297,297,89214.0,16,5.053017374769716,5.387205387205387,650172395.5899831,34,51928.204117647045,2,0.1404494382022472,651937954.5299832,25,25,89214.0,16,0.013684431068953354,64.0,35,18626798.700856663,4,0.10245901639344263
E128,个体经营E128 ,9360499.95000001,532,531,1427539.9300000002,53,15.250680387002177,9.962406015037594,233029651.8399956,30,312016.6650000003,15,0.4786215698787492,242390151.7899956,7,7,1427539.9300000002,53,0.5889430405723771,757.1428571428571,35,6925432.908285589,0,0.0
E129,个体经营E129 ,85577806.81999998,1368,1366,19235208.010000005,168,22.476864884441788,12.280701754385964,239228225.79999948,35,2445080.1948571424,29,0.4892037786774629,324806032.61999947,796,794,19235208.010000005,168,5.922059961399752,21.105527638190953,35,9280172.360571414,86,1.6599112140513417
E130,个体经营E130 ,77406976.12000005,517,515,8132960.88,75,10.506754413700245,14.506769825918761,32629696.760001183,30,2580232.537333335,18,0.5763688760806917,110036672.88000123,14,14,8132960.88,75,7.391136670289253,535.7142857142857,29,3794368.03034487,21,1.5897047691143074
E131,个体经营E131 ,125103670.24000013,906,905,13267406.129999999,182,10.605129413507752,20.08830022075055,83980361.54999956,35,3574390.578285718,130,1.9917266738164545,209084031.7899997,818,818,13267406.129999999,182,6.345489904903665,22.249388753056234,35,5973829.479714277,42,1.3561511139812723
E132,个体经营E132 ,70171887.7999999,682,681,4867132.4,55,6.936014624363588,8.064516129032258,133186374.05000347,30,2339062.926666663,10,0.19801980198019803,203358261.85000336,99,99,4867132.4,55,2.3933782457237895,55.55555555555556,33,6162371.571212223,8,0.48221820373719104
E133,个体经营E133 ,40659032.04,282,282,2394547.07,27,5.889336144658499,9.574468085106384,72995982.34000006,32,1270594.75125,2,0.12507817385866166,113655014.38000005,9,9,2394547.07,27,2.1068556306666304,300.0,35,3247286.125142859,3,2.142857142857143
E134,***工程咨询有限公司,4295229.390000001,581,580,149700.0,17,3.485262052558268,2.9259896729776247,118520240.59000133,36,119311.92750000002,7,0.4206730769230769,122815469.98000133,1672,1666,149700.0,17,0.12189018209544482,1.0167464114832536,36,3411540.832777815,58,2.0458553791887124
E135,***建设工程有限公司,26380957.440000005,364,364,1099170.93,28,4.166531607125778,7.6923076923076925,109156601.07999986,31,850998.6270967744,5,0.17562346329469616,135537558.51999986,73,72,1099170.93,28,0.8109714694601105,38.35616438356164,36,3764932.181111107,14,3.8147138964577656
E136,***机械有限责任公司,132110009.24999967,16,16,226460.58000000002,1,0.17141818495482436,6.25,-15457823.889999628,29,4555517.560344816,1,0.07776049766718507,116652185.36000004,4,4,226460.58000000002,1,0.1941331654448826,25.0,29,4022489.150344829,4,0.3115264797507788
E137,***建设工程有限公司,108301441.78,675,675,13310996.429999998,70,12.290691805414298,10.37037037037037,34962931.139999926,36,3008373.382777778,37,1.177968799745304,143264372.91999993,25,25,13310996.429999998,70,9.291211875427658,280.0,36,3979565.9144444424,6,2.5974025974025974
E138,个体经营E138 ,23875015.509999998,54,54,372625.0,7,1.560731970389409,12.962962962962962,83956725.51999989,35,682143.3002857142,25,4.8828125,107831741.0299999,118,118,372625.0,7,0.3455615168972667,5.932203389830509,35,3080906.8865714255,12,0.8339124391938846
E139,个体经营E139 ,1294008.9500000002,77,77,483633.76,5,37.3748388680001,6.493506493506493,186419518.4400017,35,36971.68428571429,2,0.437636761487965,187713527.39000168,167,166,483633.76,5,0.2576445963828604,2.9940119760479043,35,5363243.639714334,32,0.2621017282332705
E140,***建筑工程有限公司,7398424.690000006,561,559,601324.65,34,8.127739014668533,6.0606060606060606,175030608.3600002,35,211383.56257142875,17,0.8403361344537815,182429033.0500002,20,19,601324.65,34,0.32962113537881266,170.0,36,5067473.140277783,22,3.0303030303030303
E141,***食品有限公司,41048444.15999997,208,208,1901662.2099999997,27,4.632726645101672,12.980769230769232,118326524.04000014,35,1172812.6902857134,3,0.2210759027266028,159374968.2000001,1183,1182,1901662.2099999997,27,1.19320005611772,2.2823330515638207,34,4687499.064705886,144,3.2301480484522207
E142,***运业有限公司,55999811.830000035,96,96,2091648.74,11,3.735099586315876,11.458333333333332,41267867.809999384,36,1555550.3286111122,11,1.5625,97267679.63999942,66,65,2091648.74,11,2.1504046850315226,16.666666666666664,36,2701879.989999984,10,0.7320644216691069
E143,***电子科技有限公司,36308552.32999995,598,598,1958798.4,77,5.394867804689481,12.876254180602006,54131312.1099993,37,981312.2251351338,43,1.2014529198100028,90439864.43999925,76,76,1958798.4,77,2.165857293273068,101.3157894736842,37,2444320.66054052,21,1.910828025477707
