,企业代号,企业名称,进项价税合计,是否违约,信誉评级,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比,净利润,bussiness
0,E124,个体经营E124 ,844202797.2,否,B,1403,1397,147978465.7,493,17.52878174,35.13898788,24,35175116.55,342,2.2405660380000003,741780367.8,52,52,147978465.7,493,19.94909439,948.0769231,24,30907515.33,41,3.73066424,-102422429.4,6
1,E125,个体经营E125 ,1001201809.0,否,B,1789,1781,176611420.5,642,17.63994221,35.88596982,35,28605765.96,396,2.227722772,941211364.5,63,63,176611420.5,642,18.76426775,1019.0476189999999,35,26891753.27,42,3.043478261,-59990444.11,6
2,E126,个体经营E126 ,128818723.6,否,A,72,72,5187617.01,6,4.027067543999999,8.333333332999999,35,3680534.961,3,0.582524272,520691097.8,143,143,5187617.01,6,0.9962945459999999,4.195804196,35,14876888.51,32,2.53164557,391872374.2,6
3,E127,个体经营E127 ,1765558.94,否,C,297,297,89214.0,16,5.053017375,5.387205387000001,34,51928.20412,2,0.140449438,651937954.5,25,25,89214.0,16,0.013684431,64.0,35,18626798.7,4,0.102459016,650172395.6,6
4,E128,个体经营E128 ,9360499.95,否,B,532,531,1427539.93,53,15.25068039,9.962406015,30,312016.665,15,0.47862157,242390151.8,7,7,1427539.93,53,0.5889430410000001,757.1428571,35,6925432.908,0,0.0,233029651.8,6
5,E129,个体经营E129 ,85577806.82,否,A,1368,1366,19235208.01,168,22.47686488,12.28070175,35,2445080.195,29,0.489203779,324806032.6,796,794,19235208.01,168,5.922059961,21.10552764,35,9280172.361,86,1.659911214,239228225.8,6
6,E130,个体经营E130 ,77406976.12,否,B,517,515,8132960.88,75,10.50675441,14.50676983,30,2580232.537,18,0.576368876,110036672.9,14,14,8132960.88,75,7.39113667,535.7142857,29,3794368.03,21,1.5897047690000001,32629696.76,6
7,E131,个体经营E131 ,125103670.2,否,A,906,905,13267406.13,182,10.60512941,20.08830022,35,3574390.578,130,1.9917266740000001,209084031.8,818,818,13267406.13,182,6.345489905,22.24938875,35,5973829.48,42,1.356151114,83980361.55,6
8,E132,个体经营E132 ,70171887.8,否,B,682,681,4867132.4,55,6.936014623999999,8.064516129,30,2339062.9269999997,10,0.198019802,203358261.9,99,99,4867132.4,55,2.393378246,55.55555556,33,6162371.571,8,0.482218204,133186374.1,6
9,E133,个体经营E133 ,40659032.04,否,B,282,282,2394547.07,27,5.889336145,9.574468085,32,1270594.751,2,0.12507817400000001,113655014.4,9,9,2394547.07,27,2.1068556309999997,300.0,35,3247286.125,3,2.142857143,72995982.34,6
10,E134,***工程咨询有限公司,4295229.39,否,A,581,580,149700.0,17,3.485262053,2.925989673,36,119311.9275,7,0.420673077,122815470.0,1672,1666,149700.0,17,0.12189018199999999,1.016746411,36,3411540.833,58,2.0458553790000003,118520240.6,12
11,E135,***建设工程有限公司,26380957.44,否,A,364,364,1099170.93,28,4.166531607,7.692307692000001,31,850998.6271,5,0.175623463,135537558.5,73,72,1099170.93,28,0.8109714690000001,38.35616438,36,3764932.1810000003,14,3.814713896,109156601.1,5
12,E136,***机械有限责任公司,132110009.2,否,C,16,16,226460.58,1,0.171418185,6.25,29,4555517.56,1,0.077760498,116652185.4,4,4,226460.58,1,0.194133165,25.0,29,4022489.15,4,0.31152648,-15457823.89,4
13,E137,***建设工程有限公司,108301441.8,否,B,675,675,13310996.43,70,12.29069181,10.37037037,36,3008373.383,37,1.1779688,143264372.9,25,25,13310996.43,70,9.291211875,280.0,36,3979565.914,6,2.597402597,34962931.14,5
14,E138,个体经营E138 ,23875015.51,否,A,54,54,372625.0,7,1.56073197,12.96296296,35,682143.3003,25,4.8828125,107831741.0,118,118,372625.0,7,0.34556151700000004,5.93220339,35,3080906.887,12,0.833912439,83956725.52,6
15,E139,个体经营E139 ,1294008.95,否,B,77,77,483633.76,5,37.37483887,6.493506494,35,36971.68429,2,0.43763676100000004,187713527.4,167,166,483633.76,5,0.257644596,2.9940119760000004,35,5363243.64,32,0.26210172800000003,186419518.4,6
16,E140,***建筑工程有限公司,7398424.69,否,B,561,559,601324.65,34,8.127739015,6.0606060610000005,35,211383.5626,17,0.8403361340000001,182429033.1,20,19,601324.65,34,0.329621135,170.0,36,5067473.14,22,3.03030303,175030608.4,5
17,E141,***食品有限公司,41048444.16,否,A,208,208,1901662.21,27,4.632726645,12.98076923,35,1172812.69,3,0.22107590300000002,159374968.2,1183,1182,1901662.21,27,1.193200056,2.282333052,34,4687499.065,144,3.230148048,118326524.0,9
18,E142,***运业有限公司,55999811.83,否,A,96,96,2091648.74,11,3.735099586,11.45833333,36,1555550.3290000001,11,1.5625,97267679.64,66,65,2091648.74,11,2.150404685,16.66666667,36,2701879.99,10,0.732064422,41267867.81,7
19,E143,***电子科技有限公司,36308552.33,否,A,598,598,1958798.4,77,5.394867805,12.87625418,37,981312.2251,43,1.20145292,90439864.44,76,76,1958798.4,77,2.165857293,101.31578950000001,37,2444320.661,21,1.910828025,53624655.11,2
20,E144,***劳务有限公司,9341618.74,否,C,671,668,230918.4,33,2.471931326,4.918032787,29,322124.7841,11,0.451930978,104168305.7,28,27,230918.4,33,0.221678176,117.8571429,29,3592010.543,58,4.658634538,94826687.0,12
