企业代号,企业名称,信誉评级,是否违约,进项价税合计,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比,行业
E1,***电器销售有限公司,A,否,6637942028,436,435,254751813.7,39,3.837813175,8.944954128,-2572098727,31,214127162.2,71,2.185287781,4065843302,352,351,254751813.7,39,6.265657449,11.07954545,29,140201493.2,228,2.891199594,批发零售业
E2,***技术有限责任公司,A,否,162487956.6,3625,3623,9248509.23,386,5.691812133,10.64827586,428353756.2,37,4391566.395,156,0.496262128,590841712.8,1579,1567,9248509.23,386,1.565310815,24.4458518,36,16412269.8,358,3.069009859,科学研究、技术服务和地质勘查业
E3,***电子(中国)有限公司***分公司,C,否,54179352.52,571,570,3341485.81,84,6.16745246,14.71103327,515998642.8,37,1464306.825,26,0.595374399,570177995.3,135,135,3341485.81,84,0.586042576,62.22222222,37,15410216.09,4406,18.60013509,信息传输、计算机服务和软件业
E4,***发展有限责任公司,C,否,254584214.6,131,131,125823233.7,17,49.42303036,12.97709924,1585385475,37,6880654.449,4,0.767754319,1839969690,26,26,125823233.7,17,6.838331869,65.38461538,35,52570562.57,9,0.440960314,服务业
E5,***供应链管理有限公司,B,否,227331979,393,390,4718234.76,32,2.075482201,8.142493639,-24699690.1,36,6314777.194,16,0.767754319,202632288.9,33,33,4718234.76,32,2.328471334,96.96969697,36,5628674.691,10,0.995024876,服务业
E6,***装饰设计工程有限公司,A,否,321178563.5,1515,1512,19958292.05,177,6.214079742,11.68316832,45260724.8,36,8921626.764,78,0.72128722,366439288.3,142,142,19958292.05,177,5.446548088,124.6478873,36,10178869.12,23,2.519167579,服务业
E7,***家电有限公司***分公司,A,否,63491942.06,1572,1564,3161654.72,234,4.979615708,14.88549618,449458684.4,37,1715998.434,450,3.559281816,512950626.5,1211,1198,3161654.72,234,0.616366285,19.32287366,37,13863530.45,1899,23.64292829,制造业
E8,***科学研究院有限公司,A,否,170418693.9,2598,2598,10648813.23,311,6.248618026,11.97074673,188470138.9,37,4605910.647,77,0.353584057,358888832.8,2679,2659,10648813.23,311,2.967162045,11.60880926,37,9699698.184,245,2.930972604,科学研究、技术服务和地质勘查业
E9,***生活用品服务有限公司***分公司,A,否,26333514.09,738,738,368856.04,71,1.400709525,9.620596206,293258621.3,37,711716.597,26,0.619195046,319592135.4,123,123,368856.04,71,0.115414617,57.72357724,37,8637625.28,122,2.118055556,批发零售业
E10,***建筑劳务有限公司,B,否,5417961.64,881,877,1060648.91,111,19.57653045,12.59931896,335413622.8,34,159351.8129,34,0.880829016,340831584.5,26,26,1060648.91,111,0.311194431,426.9230769,36,9467544.013,2,0.387596899,服务业
