所在地区,用户数量,经纬度
甘肃,103,"103.826308,36.059421"
辽宁,562,"123.42944,41.835441"
河南,810,"113.753602,34.765515"
安徽滁州,13,"118.317106,32.301556"
上海徐汇区,70,"121.437866,31.19919"
重庆,1332,"106.551556,29.563009"
北京,2795,"116.407526,39.90403"
湖南岳阳,58,"113.128958,29.357104"
江苏无锡,149,"120.31191,31.491169"
海外,931,"104.012093,26.80443"
湖北,654,"114.341861,30.546498"
广东,1595,"113.26653,23.132191"
广东梅州,45,"116.122238,24.288615"
江苏常州,105,"119.973987,31.810689"
吉林,258,"125.32599,43.896536"
上海,1228,"121.473701,31.230416"
广东深圳,492,"114.057868,22.543099"
四川成都,474,"104.066541,30.572269"
云南,167,"102.710002,25.045806"
山东,762,"117.020359,36.66853"
陕西西安,233,"108.940174,34.341568"
台湾,223,"121.508903,25.044319"
浙江丽水,24,"119.922796,28.46763"
吉林长春,92,"125.323544,43.817071"
广东佛山,101,"113.121416,23.021548"
重庆南岸区,48,"106.644428,29.500297"
天津武清区,13,"117.044388,39.384119"
黑龙江,349,"126.661669,45.742347"
天津,326,"117.200983,39.084158"
江苏,1346,"118.763232,32.061707"
浙江杭州,416,"120.209947,30.245853"
福建,510,"119.295144,26.100779"
香港,148,"114.163825,22.276284"
贵州遵义,30,"106.927389,27.725654"
浙江,992,"120.152791,30.267446"
江西南昌,106,"115.858197,28.682892"
湖南,655,"112.98381,28.112444"
天津和平区,89,"117.208125,39.118897"
广西南宁,119,"108.366543,22.817002"
贵州贵阳,53,"106.630153,26.647661"
陕西,367,"108.954239,34.265472"
湖北武汉,286,"114.305392,30.593098"
黑龙江哈尔滨,147,"126.534967,45.803775"
浙江宁波,101,"121.550357,29.874556"
广西,377,"108.327546,22.815478"
重庆巴南区,158,"106.53384,29.375528"
四川,934,"104.075931,30.651651"
江西赣州,58,"114.935029,25.831829"
山东济南,141,"117.119999,36.651216"
山西长治,12,"113.116255,36.195386"
北京东城区,326,"116.416357,39.928353"
湖南长沙,295,"112.938814,28.228209"
重庆永川区,20,"105.927376,29.356117"
西藏,29,"91.117212,29.646922"
天津西青区,7,"117.013949,39.141591"
安徽合肥,151,"117.227239,31.820586"
贵州,149,"106.70741,26.598194"
河南郑州,213,"113.625368,34.746599"
江苏苏州,316,"120.585315,31.298886"
吉林吉林,49,"126.549576,43.837883"
新疆,92,"87.627704,43.793026"
浙江金华,75,"119.647444,29.079059"
浙江台州,103,"121.420757,28.656386"
山东威海,31,"122.120419,37.513068"
湖北宜昌,41,"111.286471,30.691967"
山东滨州,9,"117.970703,37.38199"
辽宁大连,107,"121.614682,38.914003"
云南丽江,16,"100.22775,26.855047"
河北石家庄,135,"114.514859,38.042306"
贵州六盘水,40,"104.830359,26.592666"
云南昭通,5,"103.717465,27.338257"
江西,439,"115.909228,28.675696"
江苏南京,397,"118.796877,32.060255"
