上映时间,评分,评价人数,一句话总结
1994,9.7,2236564,希望让人自由。
1993,9.6,1660505,风华绝代。
1994,9.5,1684747,一部美国近现代史。
1994,9.4,1869370,怪蜀黍和小萝莉不得不说的故事。
1997,9.4,1643405,失去的才是永恒的。 
1997,9.5,1041520,最美的谎言。
2001,9.4,1759752,最好的宫崎骏，最好的久石让。 
1993,9.5,859547,拯救一个人，就是拯救整个世界。
2010,9.3,1635999,诺兰给了我们一场无法盗取的梦。
2009,9.4,1118721,永远都不能忘记你所爱的人。
2014,9.3,1307791,爱是一种力量，让我们超越时空感知它的存在。
1998,9.3,1331795,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
1998,9.3,1219826,如果再也不能见到你，祝你早安，午安，晚安。
2009,9.2,1490541,英俊版憨豆，高情商版谢耳朵。
2008,9.3,1051660,小瓦力，大人生。
2004,9.3,1033840,天籁一般的童声，是最接近上帝的存在。 
1995,9.2,1196289,一生所爱。
2016,9.2,1444765,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
2011,9.3,731555,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
2002,9.2,985878,香港电影史上永不过时的杰作。
1972,9.3,731007,千万不要记恨你的对手，这样会让你失去理智。
2006,9.1,1199120,平民励志片。 
1988,9.2,997821,人人心中都有个龙猫，童年就永远不会消失。
2010,9.1,1404042,真正的幸福是来自内心深处。
2011,9.2,777000,满满温情的高雅喜剧。
1957,9.6,335043,比利·怀德满分作品。
2008,9.2,814047,无尽的黑暗。
1994,9.3,632464,张艺谋最好的电影。
1987,9.3,607978,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
2017,9.1,1220720,死亡不是真的逝去，遗忘才是永恒的消亡。
1939,9.3,536818,Tomorrow is another day.
2018,9.1,769761,凝视卑弱生命，用电影改变命运。
2003,9.2,592150,史诗的终章。
2016,9.0,1231029,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
2009,9.0,1044691,最后那些最无聊的事情，才是最值得怀念的。 
2001,9.1,813385,童话世界的开端。
2012,9.1,1102757,瑰丽壮观、无人能及的冒险之旅。
2013,9.3,506627,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
1957,9.4,358852,1957年的理想主义。 
2004,9.1,771706,带着心爱的人在天空飞翔。
2000,9.3,482158,对敌人的仁慈，就是对自己残忍。
1986,9.1,658183,对天空的追逐，永不停止。 
1995,9.0,953204,旷古烁今。
2018,9.0,1638078,对我们国家而言，这样的电影多一部是一部。
1992,9.1,665910,史上最美的探戈。
1953,9.0,760069,爱情哪怕只有一天。
1988,9.2,505241,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
2013,9.2,476935,电影的现实意义大过电影本身。
2002,9.0,668343,骗子大师和执著警探的你追我跑故事。 
1999,9.0,675721,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
1961,9.4,315941,经典之作，历久弥新。
1974,9.2,408627,优雅的孤独。
1994,9.0,640042,动物版《哈姆雷特》。
2002,9.1,540119,承前启后的史诗篇章。
1989,9.1,540822,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
2002,9.2,420475,音乐能化解仇恨。
1999,9.0,618714,视觉革命。
2001,9.0,606423,传说的开始。
2006,9.1,440769,别样人生。
1994,9.1,452243,人生不能像做菜，把所有的料都准备好了才下锅。
2001,9.0,590385,爱是一切逻辑和原由。
