整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
整租 | 江桥老街附近，精装二室一厅一卫，民用水电燃气做饭,江桥佳苑,4300,https://sh.58.com/zufang/44734786406807x.shtml
整租 | 宝龙广场 太湖世家 远香湖公园 看房方便 一室通燃气,光明D9空间,2700,https://sh.58.com/zufang/44700534709253x.shtml
整租 | 迎园路351弄小区 2室1厅1卫,迎园路351弄小区,2500,https://sh.58.com/zufang/33168540983999x.shtml
整租 | 目前手里多套一居 嘉龙大厦 1号公馆门口 精装复式,嘉龙大厦,3000,https://sh.58.com/zufang/44570324080792x.shtml
单间 | 无中介嘉定北地铁站日月光鼎固君庭民用电,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44665956256658x.shtml
整租 | 豪华装修，价格真实，近南翔地铁站500米,绿地新翔家园,3400,https://sh.58.com/zufang/44700936957717x.shtml
单间 | 花园新村 2室1厅1卫 次卧 南,花园新村,1100,https://sh.58.com/hezu/44745824675364x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
整租 | 翔和雅苑(三区) 3室1厅1卫,翔和雅苑(三区),4200,https://sh.58.com/zufang/42386561831189x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
