<<<<<<< HEAD
<<<<<<< HEAD
﻿整租 | 租房 龙华清湖双地铁 ，全新家具拎包入住，有全新公共,弓村二区,3060,https://sz.58.com/zufang/45364952983707x.shtml,经度,纬度
整租 | 观澜四号线地铁口长湖站，观澜二小，华盛观荟一房一厅齐,华盛观荟(商住楼),2800,https://sz.58.com/zufang/45332071917236x.shtml,114.040983,22.711520
整租 | 鑫海公寓招租，只剩一套,鑫海公寓(龙华),2500,https://sz.58.com/zufang/45454191128084x.shtml,114.037602,22.655805
整租 | 四号线地铁站附近直租大两房一厅将装修拎包入住,弓村,2400,https://sz.58.com/zufang/45340538981774x.shtml,114.028739,22.661847
整租 | 龙华中心区域 商圈中心位置  一房整租 民水民电精装,创业花园,2299,https://sz.58.com/zufang/45419553130527x.shtml,114.024723,22.616537
整租 | 管理费6折！4号线红山地铁站拎包入住民水民电一房24,创业花园,2199,https://sz.58.com/zufang/45043442555556x.shtml,114.024723,22.616537
整租 | 老铁 租房看这里 带娃养老两不误 茜坑地铁站附近 小,美佳华首誉,3800,https://sz.58.com/zufang/45506088311817x.shtml,114.041266,22.693094
整租 | 急租龙华港铁四号线清湖北站口金凤凰大三房可当宿舍随时,金凤凰豪苑,3999,https://sz.58.com/zufang/45353903397257x.shtml,114.038845,22.670427
整租 | 房子总是要住的 为什么不挑自己喜欢的呢 选我 保证让,润达圆庭,2299,https://sz.58.com/zufang/45457155855905x.shtml,114.022505,22.625885
整租 | 花园电梯房 龙华ICO商场 松和小学旁边 龙华公寓精,警备区龙华公寓,2800,https://sz.58.com/zufang/43946545912999x.shtml,114.043015,22.648502
整租 | 华盛观荟，四号线长湖地铁口，龙华中心医院附近，小三房,华盛观荟,3300,https://sz.58.com/zufang/45340956885508x.shtml,114.040983,22.711520
整租 | 奥宸观壹城 2室1厅1卫 3000元月 电梯房 家电,奥宸观壹城,3000,https://sz.58.com/zufang/45318067231749x.shtml,114.068607,22.715942
整租 | 民治地铁站 直租 公寓精装修 家私家电齐全拎包入住,沙元埔村,2000,https://sz.58.com/zufang/45529763154060x.shtml,114.042625,22.619706
整租 | 深圳北站，民治地铁站附近，1房1厅，全家私家电，精装,民康花园,2200,https://sz.58.com/zufang/44701772709399x.shtml,114.041039,22.612792
整租 | 红山居家舒适一房 ，大阳台，通风舒适,金地上塘道(一期),4000,https://sz.58.com/zufang/45331513068817x.shtml,114.022166,22.632859
整租 | 龙华地铁口，富通天骏，居家温馨三房，业主诚心出租,富通天骏,4000,https://sz.58.com/zufang/45429400746765x.shtml,114.022604,22.650977
整租 | 近龙胜元芬地铁，物业直租，来电即可看房，家私家电齐全,龙胜新村,2000,https://sz.58.com/zufang/45484110121360x.shtml,114.015684,22.653986
整租 | 龙胜地铁站，羊台山脚下，精装大2房,龙军花园,3400,https://sz.58.com/zufang/45420196782120x.shtml,114.001919,22.640005
整租 | 近地铁，空中花园，自带大型商超，采光通风上好，拎包入,华盛观荟,4000,https://sz.58.com/zufang/45472651892919x.shtml,114.040983,22.711520
=======
=======
>>>>>>> 286c01981047c181c0c2e16ef7c08630ff07151e
﻿整租 | 黄渡镇中心  精装1房  空租了 电梯 随时可看 拎,大众春盛苑(公寓住宅),2400,https://sh.58.com/zufang/44691862892036x.shtml,经度,纬度
整租 | 水岸金桥苑位于鹤霞路555弄一房一厅一卫月租3900,水岸金桥苑,3900,https://sh.58.com/zufang/44493278187146x.shtml,121.473701,31.230416
整租 | 嘉海雅苑精装全配小三房拎包入住,嘉海雅苑(西区),3900,https://sh.58.com/zufang/44602846557190x.shtml,121.473701,31.230416
单间 | 富友嘉园(北区) 2室2厅1卫 次卧 北,富友嘉园(北区),1150,https://sh.58.com/hezu/44566113916446x.shtml,121.473701,31.230416
整租 | 嘉海雅苑小两房出租拎包入住,嘉海雅苑(北区),3100,https://sh.58.com/zufang/44589985242916x.shtml,121.473701,31.230416
整租 | 翔瑞新苑(东区)，精装整租，1房2厅，家具家电齐全，,翔瑞新苑(东区),3500,https://sh.58.com/zufang/44300547762186x.shtml,121.473701,31.230416
整租 | 精致小两房 楼层好 采光足 南北通透 家具家电齐全,嘉利坊,3600,https://sh.58.com/zufang/44636188681885x.shtml,121.473701,31.230416
单间 | 增建村自建房 1室0厅1卫 主卧 南,增建村自建房,1200,https://sh.58.com/hezu/44647822706824x.shtml,121.473701,31.230416
整租 | 简约风格 干净整洁 房型正气 交通便捷 家电齐全 拎,真新新村嘉德坊,3000,https://sh.58.com/zufang/44569763485448x.shtml,121.473701,31.230416
整租 | 雅居白领公寓精装一室一厅，复试结构价格全网超低，短租,金桂新村,1200,https://sh.58.com/zufang/44543462808197x.shtml,121.473701,31.230416
整租 | 兰棠佳苑 2室2厅1卫 2300元月 电梯房 配套齐,兰棠佳苑,2300,https://sh.58.com/zufang/44733454742312x.shtml,121.473701,31.230416
整租 | 外冈新苑(南区) 2室1厅1卫,外冈新苑(南区),2100,https://sh.58.com/zufang/44666735276822x.shtml,121.473701,31.230416
整租 | 近地铁，邻梅川步行街，居家之选，素质小区，交通便捷，,真新新村嘉德坊,5500,https://sh.58.com/zufang/44521963568039x.shtml,121.473701,31.230416
整租 | 13号线金沙江西路 精装公寓房 独门独户 独立卫浴,瑞尔大厦,2565,https://sh.58.com/zufang/44524220895777x.shtml,121.473701,31.230416
整租 | 城杰苑，位于鹤霞路600弄，53个平方，月租3600,金鹤新城城杰苑,3800,https://sh.58.com/zufang/44480629411995x.shtml,121.473701,31.230416
整租 | 胜悦嘉苑(西苑) 2室1厅1卫,胜悦嘉苑(西苑),2880,https://sh.58.com/zufang/44723089159693x.shtml,121.473701,31.230416
整租 | 丰庄十二街坊，本人实勘， 精装一房， 配套齐全，随时,丰庄十二街坊,3600,https://sh.58.com/zufang/44536856886280x.shtml,121.473701,31.230416
整租 | 金运路地铁口，整租一室户，近万达广场，华泰中心，北虹,泰宸沙河茗苑,2650,https://sh.58.com/zufang/44732804337569x.shtml,121.473701,31.230416
整租 | 丰庄十四街坊，新上好房，精装全配，交通便利，生活便捷,丰庄十四街坊,3600,https://sh.58.com/zufang/44599134634139x.shtml,121.473701,31.230416
单间 | 丽江佳苑 3室2厅2卫 次卧 朝北,丽江佳苑,1400,https://sh.58.com/hezu/44743881337746x.shtml,121.473701,31.230416
整租 | 风荷丽景 精装两房 南北通透 近宝龙城市广场 拎包入,风荷丽景尚城(西区),4000,https://sh.58.com/zufang/44714387724430x.shtml,121.473701,31.230416
整租 | 绿洲香润苑 4室1厅1卫 3200元月 电梯房 配套,绿洲香润苑,3200,https://sh.58.com/zufang/44678236683534x.shtml,121.473701,31.230416
整租 | 居家欧式风格装修，商圈成熟安亭繁华地段客卧分开，随时,V6时代,1600,https://sh.58.com/zufang/44543646820766x.shtml,121.473701,31.230416
单间 | 金桂新村 3室1厅2卫 次卧 北,金桂新村,1000,https://sh.58.com/hezu/44743865857410x.shtml,121.473701,31.230416
整租 | 安亭大众厂附近 整租一室 精装全配 押一付一 独立厨,龙安佳苑,1300,https://sh.58.com/zufang/44709765135745x.shtml,121.473701,31.230416
整租 | 房源真实 价格优惠 近地铁 精装修 拎包入住 品质小,嘉善坊,3600,https://sh.58.com/zufang/44643389777828x.shtml,121.473701,31.230416
整租 | 嘉定11号线地铁沿线 各个站点都有房源 精装修领包入,金桂新村,1200,https://sh.58.com/zufang/44710175726367x.shtml,121.473701,31.230416
整租 | 大名城名郡 1室1厅1卫,大名城名郡,1300,https://sh.58.com/zufang/44678192757377x.shtml,121.473701,31.230416
整租 | 白金涟庭，别墅精装修，上三层地下一层，近陈翔地铁口，,白金涟庭,13000,https://sh.58.com/zufang/44702515075457x.shtml,121.473701,31.230416
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,V6时代,1400,https://sh.58.com/zufang/44715941578652x.shtml,121.473701,31.230416
整租 | 可短租 精装修 可养宠 1室1厅1卫 1599元月,胜辛南路800号办公楼,1599,https://sh.58.com/zufang/44613650617618x.shtml,121.473701,31.230416
单间 | 嘉城幸福港 3室2厅2卫 主卧 南,嘉城幸福港,2350,https://sh.58.com/hezu/44724531901988x.shtml,121.473701,31.230416
单间 | 11号线南翔地铁口 曙光苑 全新装修 独厨独卫 拎包,曙光苑(嘉定),2300,https://sh.58.com/hezu/44724305214629x.shtml,121.473701,31.230416
整租 | 初次出租 家电全新 交通便利 居家装修 适合年轻人,嘉尚坊,3150,https://sh.58.com/zufang/44732140746516x.shtml,121.473701,31.230416
整租 | 风荷丽景尚城(东区公寓住宅) 3室1厅2卫,风荷丽景尚城(东区公寓住...,3600,https://sh.58.com/zufang/44743803779458x.shtml,121.473701,31.230416
﻿整租 | 绿洲香润苑 4室1厅1卫 3200元月 电梯房 配套,绿洲香润苑,3200,https://sh.58.com/zufang/44678236683534x.shtml,121.473701,31.230416
整租 | 安亭大众厂附近 整租一室 精装全配 押一付一 独立厨,龙安佳苑,1300,https://sh.58.com/zufang/44709765135745x.shtml,121.473701,31.230416
整租 | 嘉定11号线地铁沿线 各个站点都有房源 精装修领包入,金桂新村,1200,https://sh.58.com/zufang/44710175726367x.shtml,121.473701,31.230416
单间 | 绿地新江桥城(西区) 2室2厅1卫 次卧 南,绿地新江桥城(西区),1500,https://sh.58.com/hezu/43166642397707x.shtml,121.473701,31.230416
整租 | 白金涟庭，别墅精装修，上三层地下一层，近陈翔地铁口，,白金涟庭,13000,https://sh.58.com/zufang/44702515075457x.shtml,121.473701,31.230416
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,V6时代,1400,https://sh.58.com/zufang/44715941578652x.shtml,121.473701,31.230416
单间 | 11号线南翔地铁口 曙光苑 全新装修 独厨独卫 拎包,曙光苑(嘉定),2300,https://sh.58.com/hezu/44724305214629x.shtml,121.473701,31.230416
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1780,https://sh.58.com/hezu/44745799179420x.shtml,121.473701,31.230416
整租 | 初次出租 家电全新 交通便利 居家装修 适合年轻人,嘉尚坊,3150,https://sh.58.com/zufang/44732140746516x.shtml,121.473701,31.230416
整租 | 大宅风范城，俩室一厅，近万达广场，华泰中心，绿地集团,大宅风范城,4200,https://sh.58.com/zufang/44732718554641x.shtml,121.473701,31.230416
整租 | 精装一楼两房一厅，楼层低，装修好，家电齐，拎包入住，,真新新村嘉秀坊,3900,https://sh.58.com/zufang/44656484718726x.shtml,121.473701,31.230416
整租 | 金鹤新城中房公寓 3室2厅1卫,金鹤新城中房公寓,4500,https://sh.58.com/zufang/44745754907534x.shtml,121.473701,31.230416
整租 | 印象城800米 湖畔天下 湖景三房 5200元月 电,湖畔天下(公寓住宅),5200,https://sh.58.com/zufang/43519854367782x.shtml,121.473701,31.230416
整租 | 紧邻万达及13号线，小区安静 环境优美 装修两室 可,绿地新江桥城(南区),3500,https://sh.58.com/zufang/44669104469415x.shtml,121.473701,31.230416
整租 | 刚退租房源，近轻纺市场丰庄茶城精装两房居家装修，价格,嘉美坊,4200,https://sh.58.com/zufang/44732991750824x.shtml,121.473701,31.230416
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1780,https://sh.58.com/hezu/44745767384850x.shtml,121.473701,31.230416
整租 | 近地铁，精装联排别墅，周边设备齐全，居家的不二选择，,白金果岭(别墅),18800,https://sh.58.com/zufang/44734358753556x.shtml,121.473701,31.230416
整租 | 我是房东 独立厨卫可以烧饭，家具家电全配 1个月短租,北虹桥协通科技大厦,1344,https://sh.58.com/zufang/44702146727431x.shtml,121.473701,31.230416
整租 | 丰华苑，三室一厅，手机实拍视频，不做虚假房源，精装拎,丰华苑,5000,https://sh.58.com/zufang/44737719222412x.shtml,121.473701,31.230416
整租 | 花园新村 3室1厅1卫,花园新村,3000,https://sh.58.com/zufang/44745623136005x.shtml,121.473701,31.230416
整租 | 南翔地铁口精装公寓，5.7米复式商 住两用，可办公可,中冶祥腾城市广场,8000,https://sh.58.com/zufang/44687269717124x.shtml,121.473701,31.230416
整租 | 独栋别墅 南北通透 适合居住加办公 车位充足 出行便,包桥小区,7500,https://sh.58.com/zufang/44747200428056x.shtml,121.473701,31.230416
单间 | 出租放心，求租安心 省时省力又放心 绝无虚假 真实价,日月光伯爵天地城市华庭,1200,https://sh.58.com/hezu/44566314597671x.shtml,121.473701,31.230416
整租 | 泰翔嘉苑 3室2厅2卫,泰翔嘉苑,5800,https://sh.58.com/zufang/44699270056072x.shtml,121.473701,31.230416
整租 | 丰庄四村，精装一房，拎包入住，配套齐全，随时看房，价,丰庄四村,3500,https://sh.58.com/zufang/44632199107621x.shtml,121.473701,31.230416
