﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
中国医学史  黑龙江中医药大学   常存库,23:55:47,7795,154,突破口124,2019-05-03,https://www.bilibili.com/video/BV1x441147w1?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=51319055&sort=1
浅谈中国古代医学史,08:26,466,2,鹅不食-草,2020-04-23,https://www.bilibili.com/video/BV1Za4y1v7e3?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=667989470&sort=1
《中国医学史》第1次：绪论,01:09:45,462,0,李董男,2020-07-02,https://www.bilibili.com/video/BV1dp4y1U7y8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968700752&sort=1
《中国医学史》第11次：第六章 （上）,01:36:49,189,0,李董男,2020-09-09,https://www.bilibili.com/video/BV18p4y1e7dk?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=969590714&sort=1
《中国医学史》第10次：李东垣与宋慈,01:34:15,235,0,李董男,2020-09-03,https://www.bilibili.com/video/BV19f4y1Q7o8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=286897016&sort=1
《中国医学史》第12次：第六章（下）,02:05:43,192,0,李董男,2020-09-11,https://www.bilibili.com/video/BV1yt4y1i7Az?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=627098035&sort=1
《中国医学史》第9次：第五章（下）,01:27:20,140,0,李董男,2020-08-26,https://www.bilibili.com/video/BV1Si4y1M7tc?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=541955700&sort=1
《中国医学史》第2次：第一章 远古-夏,01:31:23,226,0,李董男,2020-07-08,https://www.bilibili.com/video/BV1BV41167Js?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=413771097&sort=1
《中国医学史》第3次：第二章 夏商周,01:35:06,131,0,李董男,2020-07-16,https://www.bilibili.com/video/BV1Jp4y1S7xH?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968811888&sort=1
《中国医学史》第4次：第三章 战国-三国（上）,01:45:27,226,12,李董男,2020-07-23,https://www.bilibili.com/video/BV1Gi4y137vC?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=541375757&sort=1
《中国医学史》第8次：第四章（下）第五章（上）,01:15:12,100,0,李董男,2020-08-20,https://www.bilibili.com/video/BV1iD4y1273S?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=711755721&sort=1
《中国医学史》第5次：第三章 战国-三国（下）,01:39:45,126,0,李董男,2020-07-30,https://www.bilibili.com/video/BV1KA411Y7ij?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=329052381&sort=1
"【补充】“伊其相谑, 赠之以芍药”，中国医学史年表超燃影视化混剪！一刻钟带你见证从神农尝百草到科学战“疫”。",15:01,1425,0,有发发,2020-03-29,https://www.bilibili.com/video/BV1D541147uX?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=455094986&sort=1
"史诗！“伊其相谑, 赠之以芍药”，中国医学史年表超燃影视化混剪！一刻钟带你见证从神农尝百草到科学战“疫”。",13:25,5155,45,有发发,2020-03-29,https://www.bilibili.com/video/BV1Za4y1477P?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=667510981&sort=1
张文宏：我们控制疫情的速度在医学史上未曾有过,00:33,937,0,话不多姑娘,2020-04-03,https://www.bilibili.com/video/BV1jA411h7Rc?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=327615480&sort=1
【高中】解密未来的清洁能源、“高原医学史上的奇迹”与中国铁建盾构产业化,44:52,256,0,学而思网校教师集结号,2020-02-07,https://www.bilibili.com/video/BV17741187j7?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=87399542&sort=1
[2019年读书总结]万历十五年 黄河青山 香奈儿 荒诞医学史 半小时中国史世界史 乌合之众 盗梦工厂 时间管理,08:57,161,0,PinkSoul52HZ,2020-01-01,https://www.bilibili.com/video/BV1AJ4118727?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=81671612&sort=1
张文宏：我们疫情控制的速度在医学史上不曾有过,00:33,125,0,琴院青年,2020-04-03,https://www.bilibili.com/video/BV1sp4y117Xe?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=967525492&sort=1
【九九八十医|一】进来学习华夏医学史,05:10,2302,13,沉银腐录,2020-02-05,https://www.bilibili.com/video/BV1v7411H74n?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=86945219&sort=1
张文宏：我们疫情控制速度在医学史上不曾有过,00:14,291,1,人民日报数字福建,2020-04-03,https://www.bilibili.com/video/BV1bV411f7QG?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=412573139&sort=1
张文宏：我们疫情控制速度在医学史上不曾有过,00:14,291,1,人民日报数字福建,2020-04-03,https://www.bilibili.com/video/BV1bV411f7QG?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=412573139&sort=1
《中国医史》第6次：华佗、孙思邈,01:50:11,192,2,李董男,2020-08-06,https://www.bilibili.com/video/BV1654y1i7Pk?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=841728926&sort=1
中国古代历史文献研究讲座20：李中梓,01:47:37,216,2,李董男,2020-06-13,https://www.bilibili.com/video/BV1EV411k79y?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=413575016&sort=1
中国古代历史文献研究讲座11：张介宾（二）,02:08:23,206,1,李董男,2020-04-24,https://www.bilibili.com/video/BV1sf4y1S7U6?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=285398342&sort=1
中国古代历史文献研究讲座10：张介宾（一）,47:48,212,1,李董男,2020-04-23,https://www.bilibili.com/video/BV1154y1Q7xp?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=840446683&sort=1
中国古代历史文献研究讲座19：吴有性,01:27:47,143,2,李董男,2020-06-01,https://www.bilibili.com/video/BV1nv411671v?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=243470073&sort=1
解密黄帝内经,02:28:53,4.0万,634,李德体,2017-07-18,https://www.bilibili.com/video/BV1Px411i7cL?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=12331834&sort=1
[科普冷门科学家]+古有伍连德今有钟南山+[我们最好不要忘记的人]纪念那些默默奉献的科学家,02:54,390,0,小鲍小鲍左拥右抱,2020-03-01,https://www.bilibili.com/video/BV17E411n7tZ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=92796961&sort=1
中国四大女名医之一鲍姑，原来她与红脚艾有着如此深的渊源。,00:46,24,0,暨晴生物,2020-10-27,https://www.bilibili.com/video/BV1fr4y1c7xh?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=755013135&sort=1
