B站id,昵称,性别,回复内容
思政很有必要，真的有必要，道理我都懂，什么马原毛概思修近代史都有所了解，可一般思政老师都感觉在混日子似的，（不排除有讲得好的），讲得贼烂，心里还没有一点B数。,43966584,道之秋水,保密
心疼湖南医院那个医生,99622990,love妮可逗,保密
南方科技大学，当时想去，全家反对,458082,白色天空A无声,男
主动发起自卫反击战。。。。还行,23115753,Lanther-Kaslana,男
老师讲段子的时候，底下有个女孩笑的好可爱( ｰ̀εｰ́ ),313856051,账号已注销,保密
。。。这个是自己录的吗？老师允许吗,49696286,RicardoWxiao,男
对越反击战打的很辛苦，山地战，**刚过去，越南全民皆兵，解放军新兵死伤惨重………………,393272856,世间再无侠客行,保密
我一直疑起他是湖南人呢！,219607954,下雨的时候雨不会停,女
打的比较难，猴子善于在山林里作战，老阴比伏地魔,256463603,曾梦想仗剑走天涯Y,保密
主要是越南烦人  你不管他  他就在你边境线蹭  骚扰边境地区  然后我们百姓后撤他就 占领  就这样  慢慢的。。。就是在侵占我们领土  。。。这只能打回去了,20758990,无敌书生,女
我高中同学650+去的南科大，17级湖南理科( ´_ゝ｀),153755089,尘世孤行_,女
我们学校军事理论讲的也很好，可惜只有四节课，一节课换一位老师，各有风格，特别有意思。,349248434,反角度,保密
南方科技大学的思想政治理论课真是数一数二的。,24051750,Lynn_Huang1999,女
真的，这才是我想上的思政课和形势政策课啊！,7440010,大家叫我蟹老板,男
能不能发一下他对大湾区内容(=・ω・=),41147255,轻舟一叶过千山,保密
新时代是我们赶上了一个平等的，实现自己理想的时代！,105403016,hashade,保密
气魄足，看上去就40岁,10249741,魔女控,保密
我们也牺牲了很多战士啊。这是一场艰难的战争,385718979,KK王大人,保密
79年自卫反击战之后还和越南打过海战，黄水战列舰了解一下,6285820,stardust92,保密
来找找灵感😂,379453049,木沐澧澧,保密
我海东dwj,34772519,吃人的眼镜宅,保密
来找灵感,506302024,哇你咬我啊,保密
蹭个热度,176733023,仕奉Yu,保密
两帅锅[微笑],432718281,66928763624_bili,保密
哈哈哈，我来啦，up讲的超好的[支持],479286190,naul-,保密
一键三连了，up主这可以借鉴一下吗[锦鲤],314098597,唉哎哎啊啊,保密
请问一下背景音乐是什么,593516638,DS丶LS,保密
好厉害，想问问up这个视频的稿子写了大概多少字啊。,26652434,小景喧喧,保密
up主可以借鉴一下吗，会标注出处的,434919033,啊啊啊阿啊啊嚏,保密
这个ppt模板是在哪找的[星星眼],204946826,Shuai尧,保密
能给文稿分享下吗？谢谢,485313401,陌城-kaidy,保密
up主，孩子想要片头[跪了],319218851,可爱的小欣欣啦啦啦,保密
我想要片头,39106047,老勾三七,保密
李老师[doge],511453984,持光明剑者,男
up想问下片头怎么做的啊,22131662,左手729_右手梅溪湖,保密
up，up，这个可以借用这个片头吗[打call][打call],20704414,深水搁浅的猫猫,女
我可以用你的片头吗 回标注你的名字,37757088,我又想吃东西辽,女
会,37757088,我又想吃东西辽,女
