﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
这才是我想上的思政课啊！！（南方科技大学形势与政策课）,20:49,11.7万,347,Def李,2019-04-08,https://www.bilibili.com/video/BV1Wb411u742?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=48646830&sort=1
我心中的思政课——骄傲的少年,05:29,7656,11,海东DWJ,2018-11-14,https://www.bilibili.com/video/BV1st41127xe?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=35970872&sort=1
大学生讲思政课参赛视频,12:04,6210,1,bili_57101032364,2020-05-10,https://www.bilibili.com/video/BV1Qa4y1v7G1?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=668002647&sort=1
思政课比赛视频,14:04,2765,0,尬光迪,2020-05-17,https://www.bilibili.com/video/BV1YK4y187uD?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=883139544&sort=1
【讲课大赛】青年大学生讲思政课大赛(字幕),14:10,1.5万,6,BenjaminHsieh,2020-03-01,https://www.bilibili.com/video/BV1SE41177A5?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=92804255&sort=1
《我心中的思政课—分岔路》,10:35,18,0,帕赛烤拉,2021-01-04,https://www.bilibili.com/video/BV1sy4y1v7u3?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=801056526&sort=1
【我心中的思政课】第一次使用Pr · 摸索与尝试,08:05,2151,1,Wisecity_1016,2019-11-10,https://www.bilibili.com/video/BV1XE411v76y?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=75196486&sort=1
【超精彩的思政课】～唐忠宝老师～解读虚无主义、信仰世俗化,10:06,4032,17,捡拾月光,2020-04-07,https://www.bilibili.com/video/BV1qt4y1U7vV?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=625196770&sort=1
毛概课微电影——我心中的思政课,09:53,7459,1,未来夢,2019-11-03,https://www.bilibili.com/video/BV1VE411b7Di?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=74390090&sort=1
我心中的思政课——人生观篇,07:18,7609,2,西伯利亚的熊a,2019-05-13,https://www.bilibili.com/video/BV1S4411a7xP?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=52379453&sort=1
我心中的思政课《蜕变》,04:53,242,0,孤独孤狼宋,2020-11-30,https://www.bilibili.com/video/BV1NK4y177dC?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=885428313&sort=1
【思政课大赛】 大学生 演讲 疫情 战疫 人类命运共同体 内蒙古医科大学 陈曦作品 听我来讲思政课,11:47,5864,1,学口腔的西瓜陈,2020-08-03,https://www.bilibili.com/video/BV1Bk4y1m7xP?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=754071257&sort=1
