B站id,昵称,性别,回复内容
没有文化自信就会被无情的渗透，网络上这么多日杂就是这样来的,310338463,账号已注销,保密
简单说一下，强国，军事锻炼的是肌肉，文化颐养的是筋骨，仅仅像个大汉，但骨头是软的，就会想以前，被外人欺负，但不敢还击,37544042,岛田-爱里寿,男
中华民族伟大复兴,286940825,暗月骑士帅ks,保密
崖山之后无中华不就日本人最先搞出来的，近代日本还以继承中华正统文化自居，看唐代建筑要去日本。目的都是打击中国人文化自信。甲午战争日本文化届称是文野之战，文明日本战胜野蛮支 那,21949128,wqs1900,男
中国已经有相当一部分人被外来文化洗脑的人，出国潮移民潮，媚日媚美，国家应该重视,18005727,君麒彧麟,男
(´；ω；`)这特么、是今年安徽省考申论的大作文啊，早点看到这个视频，没准我就上岸了！！,1979019,父爱如山鬼麒主,女
说起文化自信，在b站曾带给我最大震撼的唯有《万神纪》，看一次热泪盈眶一次。即使最初的震撼感逐渐消减，其中所包含的历史和文化所遗留下的精神力量依然鼓舞着我。我就是不明白，中华民族历经五千年的沧桑造就出来风骨和脊梁，怎么有些人说断就断了啊？！,32276600,雾山无鸽,男
文化不的形式有很多种，中国上下五千年的顶尖的技术多了去了，流行的不一定就是文化，沉淀下来的才是。思想不是只有现代的才是，中国那么多祖宗传下来的做人的道理，为人处世的方法同样都是文化，有些人不要把文化狭义了。中国上下五千年的文化一辈子也未必能参透，而且受用终生。中国也是靠这些文化才能从不间断的流淌下去，有些人以为自己看到的就是全部其实就是个井底之蛙无比可笑，不去看就说没有，没有看就没资格说话,48694348,彼墨莲仪,保密
文化这种东西，这个世界真的正儿八经有的，根本就没几个，华夏是这个世界里面仅有的洞悉宇宙的通天巨人。现代人讲的泛泛的、什么都可以算进去的“文化”，实在是不值一名。讲“文化自信”，是极端重要的事情，我们现在跟美国在金融上面决战，很有可能我们就会取得最终的胜利，随后就应该是我们找回自己文化道统记忆，回归大宝了。在此之前，先秦正统原典的学习十分关键。我个人很推荐阅读有个叫至道学宫的公众号，他讲解传统文化和当代政局都相当深刻犀利。希望这可以帮助大家，一起找到华夏文化自先人开天以来贯通万年的自信！,14661280,十万方糖,保密
等到把一等洋特权取消，不再整天叨叨友邦惊咤的时候，自然就自信了,689177,南塘将军,男
"做个简单的科普（应该说解释）
什么是文化？
至今为止，没人精确严格的定义文化。也就是说没有一个专家教授定于出一个让人无话可说的精确定义。
笼统地说，文化是一种社会现象，是人们长期创造形成的产物，同时又是一种历史现象，是社会历史的积淀物。确切地说，文化是凝结在物质之中又游离于物质之外的，能够被传承的国家或民族的历史、地理、风土人情、传统习俗、生活方式、文学艺术、行为规范、思维方式、价值观念等，是人类之间进行交流的普遍认可的一种能够传承的意识形态。（复制于搜狗百科）
简单来说就是，你爸妈交给你的一些东西，还有学校学到的东西，都是文化的一部分。也就是说只要你能看懂30个左右的成语，能理解这些成语是个什么意思，你就已经懂了中国传统文化的很多东西。中华文化就已经在你骨血里了。
最后，想敬告一些崇尚这外国流行文化的朋友们，喜欢可以，但是别说什么传统土得掉渣或者说什么这东西中国就没有过的话。中国五千年的底蕴不是白瞎的，遇上不懂可能还能炫耀一番，遇上懂得你脸会肿。（我会告诉你我曾经就被打脸到找不着北吗？）←_←",67226062,水木相生,女
学伴+3 龟奴+25 奖学金+47 用电+20    告辞╮(￣▽￣)╭,20635426,bili_20635426,男
例如美国日本，软文化输出就是个例子，那些电影动漫输出本国的价值观可以给其他国家的青少年极大的影响，中国的软文化实力不够，毕竟一个孙悟空比不上人家的糖衣炮弹[小电视_嘟嘴],22864537,凋零的樱花香,男
"看到那艘致远舰没有？
那可是我信仰啊！(｀・ω・´)",230410147,埃罗芒姬月,男
中国从来就不缺伟大的传统文化著作，不是没有只是你不想看而已🙂️,13436555,一堆屁话就来了,男
有罪一发东西，就有很多找事唱反调的,7499033,不弋样的小鱼干,女
中华文明就是我的信仰！,252622681,剑笙居士,男
几千年的强国不是白日梦做出来的，中国文化大有文章，只是许多人不愿意切入分析自己的文化了。,223713152,你明白_我宠你嘛,男
我国物质上强大了，文化却弱小了，***如果不那么敏感的话，我国在这方面又会怎么输给日本美国，见到流血就封杀，见到暴力就否定，见到露肉就**，我们心灵就这么脆弱吗，这三个要素有时就是为了提现剧情给人的冲击力啊，不是我看不起，是***限制了我国的灵感啊(╯°口°)╯(┴—┴,5814672,DIO堡了,保密
笑出声,38653310,这里是福利院吗,保密
中华文化的一大载体就是汉语和汉字，想想我们小学学的四字词语，有多少是行为准则，做人道理。中国网络语言和表情包这么火，也是根基于我们的汉语，传统文化与现代文化有冲突，但更多的是联系和融合。指不定哪个网络流行语就是古人说的一句话呢,8973736,四次元的穿行者,男
"当中国人不再谈文化自信的时候，就是文化自信了。
重要的是着眼未来，过去的事无法改变，就只能改变未来",2072247,dilidiliu,男
哈哈哈，还没火就过气的小光头，视频这么好怎么就不火呢，为什么呢？为什么呢？我想了三天觉得有三点问题……第一:up主头不够亮，赶紧回去刮光打蜡啦。第二点和第三点:略。@“奇葩秃头”的世界观,13498524,老孙探长,男
文化自信，就是老外欺负你时你喊一句 CAO NI MA，而不是fuck you,1731562,旺旺雪宝,男
等评论圈什么时候夸美国日本不会被骂的时候就是了.....,43379798,真的有毒xxxx,男
真的热爱、发扬祖国文化的人，无论高低贵贱，他的深情早就体现在了一言一行中，自不必叫嚣什么，散发的是区别于其他的正气，可以让人感动到落泪。,8154547,istldr,女
"日本对中国历史一直都是四千年的说法。美国也是。
而我们都是说上下五千年。
那么，如果日本人美国人说你错了，你听了，也许不会和别人争，但心底毫不动摇，对五千年的说法坚信不疑。
这，就是自信。",138890971,难过的飞舞,保密
最近被国漫吸引，看到好多负面的言论，真正明白了什么叫自卑啊。,1630748,蓝纳,保密
文化自信就是美国副总统演讲背景挂的中国画,6447920,草莓牛奶星系,保密
文化自信就是我们当谈起西方文化不会肆意抬高或者肆意贬低，因为who care,14154362,青婴居士,男
快把up的话抄好，妈妈不用担心我不会写作文啦(°∀°)ﾉ,14065896,终于想好的名字叫席一,男
当我们不再因为别人说一两句不好就气得骂娘时，我们就真的自信。,23438180,香江鱼,男
自信？批信!,499790667,白昼飞行三日,保密
文化自信还是经常说说得好，从清朝没落以后，那帮文人就开始对我们的文字，文化，生活方式开始批判，弄得我们吃饭不知怎么拿筷子，走路不知该迈哪只脚，结合亮亮的有一期（不要怪我太坦白，70后80后，要比90后更崇洋媚外），说明我们从建国开始，一个新的古老的文明国家焕发了生机，再想想，日本和韩国是发达国家，他们改变了欧美歧视亚裔人的现象了吗，没有，要想真正改变亚裔人在世界的形象，必须有一个独立自主的大国来引导，日韩没有完全的国家主权，也就注定了不可能做引领亚洲的事务，也就不可能说什么有分量的话做有分量的事，从而决定了中国是亚洲的代言人，例子美联航事件,27829964,飞纵青云间,保密
让我们猜猜，这个up主多久回火起来ʘᴗʘ,17505473,花隆罗,保密
身为一个目光浅显的游戏党，我只希望文化自信不是“把np强行翻译成宝具值”这种一看就让人觉得文化很不自信的行为,442296154,3K至上,保密
中国人失去自信力了吗     没有！,22598620,雨鱼与余,保密
文化自信是好事，自信过头就成了自大，几年来天朝上国的名词又回到国人生活中了,352472365,来给我铭,男
看到文化自信和文化自觉就想到了政治书2333,12813019,木苍木苍木苍苍,女
等到哪天你不提公众号了 我就关注一波(｀・ω・´),3379437,chengzihao1121,男
自信地开放了评论区~（￣▽￣）,15957733,荣枯之心,保密
政治课上老师放的，回来就来搜了,36721612,Hugo-KT,女
这就是“中国”！，This is China！中华的民族之魂永不熄灭  星星之火可以燎原,22393210,望月思鄉唯有淚千行,男
这个动画真的好啊，文化传承和发扬。,939544,RL清彻,女
"“我们的自信”共计四篇

理论篇 av15373557
道路篇 av15341352
文化篇 av15444074
制度篇 av15411608

视频推荐里没有其他三个的视频推荐了，为了方便，发个av链接[那兔_恶代官]",15079735,木炉,保密
今天政治老师给当了。给我燃的眼泪出来了(´；ω；`),3019464,阿阿阿阿阿阿阿克曼,女
开放评论与弹幕，就是那么自信[小电视_赞],431304,卍明心卍,保密
想知道bgm,37251598,砯壑松,男
居然可以评论！啊！感谢党！感谢政府！感谢国家！感激涕零！,26987830,奔如狂风,男
从历史的角度来看，任何一个民族都有其辉煌，低迷的时候，清楚的认识这一点，第一不会自卑，第二不会带着有色眼镜看待别人，第三不会盲目自大。我理解的自信就是，我们一分耕耘一分收获，别人会的，我们有自信也做到，做强。科技文化成果属于全人类，我们的自信是因为自己的行为，事业，以及能力。,14063429,冷饭团儿,男
堂堂中华绵延五千年文明，从未断绝，曾经引领世界过千年，只是近代才落后无人，人有低谷和巅峰，跌倒了，站起来即可，为何要否定自己？为何不能自信？中国人，只要振奋精神，照样可以重返巅峰再领世界一千年！,27314669,hycd02,男
思修上看这个视频被燃起来了，于是立刻来B站找视频,23066824,奇幻风之旅,男
已经习惯性禁止评论了，就算你开放评论咱也是不敢说什么的。,206116010,糞芸無,保密
我爱你们，我的同胞们，即使你们有时候喜好空谈而又互相攻击，我还是希望你们能自信地立于世界民族之林[狐妖_吃我安利],13884867,不万能青年碘盐p,保密
居然开放的评论区，我都不知道该说什么好。,25927645,繁杂味道,保密
乡贤这种传统文化都回来了，简直太自信啦,26522,葬爱诳燒,保密
所以说，我们不需要用&#39;震惊老外，征服老外&#39;这种获得外国友人承认的方式来获得自信心。我种花家的斤两，每个种花儿女心中都是有A数的！,31662926,叽里咕凉,保密
哪位大神知道背景音乐是什么啊？,51172951,94pirate,保密
夏目漱石：你说我们整天喊着的大和魂到底是个什么东西(=・ω・=),22182953,荀公瑾,保密
中华之魂,35140092,企鹅大娘,保密
没有评论正是我想看见的，我是理科生，世界在概率中，我精妙的去算，去想别人不曾想的，然后找到别人找不到的，而我拿到的，只要对方没有，那么胜负就分出来了,74448792,无头像是一种信仰,保密
"从审核入手，审核
刘严重不自信",27186778,均。。,男
"文化自信需要从法律，教育，媒体等各方面
着手。",42003021,anlyk,保密
中国文化真的超赞啊，超级爱这些手工艺，刻字，旗袍等等好多的有趣的东西[星星眼],519871928,公子太白li,保密
独特的就是文化，没什么高低贵贱,610762474,LS烈焰,保密
又一篇满分作文,11385774,BubbleDaily,女
这些内容上次不讲过么。。。,49555231,大空呆鸡,保密
兄啊，我们的文化自信来源于我们当下正在做的事情,2159010,Timesplitters,保密
中国当了9个世纪的老大只是累了小歇一会,94519760,阎罗王MC,男
“若道中华国果亡，除非湖南人尽死。”,388773088,爱吃辣椒的乖离,保密
