﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
动画说:文化自信为何关乎民族复兴,03:24,1.4万,36,铭记历史砥砺前行,2018-04-07,https://www.bilibili.com/video/BV1TW411K7jU?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=21802736&sort=1
【文化自信】文化自信的文化，到底是个啥？怎样才算自信。。【奇葩的世界观】,03:07,5.7万,241,我是章小亮,2017-04-18,https://www.bilibili.com/video/BV1xx411D7WL?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=9921498&sort=1
“我们的自信”文化篇——中华之魂,03:49,4.2万,182,哔哩小红旗,2017-10-16,https://www.bilibili.com/video/BV1kx411g7H3?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=15444074&sort=1
李子柒爆红背后：中国人缺的不是文化，而是文化自信,06:15,4686,2,淇淇潼潼,2020-01-04,https://www.bilibili.com/video/BV13J41177n3?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=82013740&sort=1
超燃！我们的文化自信究竟来源于哪？来世还生种花家！,04:42,6636,15,怪口历史,2019-09-21,https://www.bilibili.com/video/BV16J411u7S9?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=68453619&sort=1
北大思政课：中国文化为什么值得自信？,49:18,1.0万,27,北京大学,2019-12-27,https://www.bilibili.com/video/BV1iJ411Y75S?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=80824739&sort=1
【CGTN】Why China 中国的文化自信从哪来,12:08,1.9万,33,蛋挞菠萝派,2019-05-22,https://www.bilibili.com/video/BV1Y441157zt?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=53232860&sort=1
中国人不缺文化，缺的是文化自信【思维+】,08:58,56.4万,4201,思维实验室,2020-08-25,https://www.bilibili.com/video/BV1hD4y1m7Av?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=711970163&sort=1
这TM才是国漫该有的样子，浅谈中国人该有的文化自信,04:28,174.7万,5407,不正经老丝,2018-12-12,https://www.bilibili.com/video/BV1Dt411q7Rm?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=37968831&sort=1
艾跃进教授：文化自信,02:50,5.0万,249,新青年思想火炬,2020-04-02,https://www.bilibili.com/video/BV1m541147ZT?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=455093700&sort=1
