昵称,性别,回复内容,B站id
湖中大的看了不留个痕迹吗,382543638,墨肀,男
湖中大前来学习[偷笑],269321704,某某ZAI,保密
各位寒假网课自学的朋友们注意弹幕礼仪，专心看课，莫让后来的伙伴对湖中大的学生有不好的印象呀,149205923,麋鹿Nika,保密
湖中大前来报道,343070963,串小川,保密
好好上课，好好做人,7426970,まっちゃice,女
视频有些日子了，常老师教我们的时候头发都白了，日常看见常老师牵着家里的萨摩耶在学校飘过,2840514,白日梦同学,保密
音质感人[热词系列_知识增加],8483728,小和味甜饼,女
更新完啦,14254278,突破口124,男
共38p，有空会更新,14254278,突破口124,男
唉，不是老师讲不清，是我们听清不知道是什么，有些也不一定百度的到，比如咒禁科，恙虫病等等,255645430,留白一处,保密
绪论第一节，唐代太医署分科针科，按摩科，医科和什么？听不清[大哭],255645430,留白一处,保密
第8节第9节没声音[加油武汉],490577354,波波不吃桃,保密
有的不能听,48587344,徯水成邕,保密
我们玄音琴社的字是常教授提的(⌒▽⌒),168752465,音子衿,保密
常存库教授,323740121,卜奎皛某,保密
投影好白看不清[tv_流泪],13052357,lil_MingXD,男
母校，以前给我们上课的老师，潇洒。泪目了,404067500,永琴琴,保密
请问在哪能找到老师课件吗,327054752,乘彼高冈,保密
因医史以为纲，旁及经史、哲学、文学、艺术、民俗，可谓博雅！,327054752,乘彼高冈,保密
p16也看不了,255645430,留白一处,保密
P8，P9听不了,255645430,留白一处,保密
终于在小破站上找到一个医学史的视频了,96021372,眺望远色,保密
感谢分享，已投币,12194171,姜书夏,女
提前准备考试,8104813,千沨,保密
