职位名称,公司名称,薪资水平,职位要求,发布时间,工作待遇,员工数目,公司领域,公司性质
金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,21世纪报系,1-2万/月,"['上海-徐汇区', '1年经验', '本科', '招2人']",01-06,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 带薪年假 周末双休,500-1000人,文字媒体/出版,国企
NLP算法工程师,唯品会（中国）有限公司,,"['广州-荔湾区', '3-4年经验', '本科', '招若干人']",01-06,带薪年假 五险一金 包三餐 免费班车 绩效奖金 交通补贴 节日福利 补充医疗保险 年终奖金 股票期权,10000人以上,互联网/电子商务,上市公司
NLP算法工程师,唯品会（中国）有限公司,,"['广州-荔湾区', '3-4年经验', '本科', '招若干人']",01-06,带薪年假 五险一金 包三餐 免费班车 绩效奖金 交通补贴 节日福利 补充医疗保险 年终奖金 股票期权,10000人以上,互联网/电子商务,上市公司
NLP算法工程师,唯品会（中国）有限公司,,"['广州-荔湾区', '3-4年经验', '本科', '招若干人']",01-06,带薪年假 五险一金 包三餐 免费班车 绩效奖金 交通补贴 节日福利 补充医疗保险 年终奖金 股票期权,10000人以上,互联网/电子商务,上市公司
NLP算法工程师,唯品会（中国）有限公司,,"['广州-荔湾区', '3-4年经验', '本科', '招若干人']",01-06,带薪年假 五险一金 包三餐 免费班车 绩效奖金 交通补贴 节日福利 补充医疗保险 年终奖金 股票期权,10000人以上,互联网/电子商务,上市公司
NLP算法工程师,唯品会（中国）有限公司,,"['广州-荔湾区', '3-4年经验', '本科', '招若干人']",01-06,带薪年假 五险一金 包三餐 免费班车 绩效奖金 交通补贴 节日福利 补充医疗保险 年终奖金 股票期权,10000人以上,互联网/电子商务,上市公司
