名称,网址
面条(均值),https://yingyang.bmcx.com//miantiao_junzhi___yingyangshow/
馒头(均值),https://yingyang.bmcx.com//mantou_junzhi___yingyangshow/
油饼,https://yingyang.bmcx.com//youbing__yingyangshow/
稻米(均值),https://yingyang.bmcx.com//daomi_junzhi___yingyangshow/
糯米[江米](均值),https://yingyang.bmcx.com//nuomi_jiangmi__junzhi___yingyangshow/
玉米(鲜),https://yingyang.bmcx.com//yumi_xian___yingyangshow/
小米,https://yingyang.bmcx.com//xiaomi__yingyangshow/
马铃薯[土豆，洋芋],https://yingyang.bmcx.com//malingshu_tudou_yangyu___yingyangshow/
甘薯(红心)[山芋，红薯],https://yingyang.bmcx.com//ganshu_hongxin__shanyu_hongshu___yingyangshow/
粉丝,https://yingyang.bmcx.com//fensi__yingyangshow/
黄豆[大豆],https://yingyang.bmcx.com//huangdou_dadou___yingyangshow/
豆腐花[豆腐粉],https://yingyang.bmcx.com//doufuhua_doufufen___yingyangshow/
豆浆粉,https://yingyang.bmcx.com//doujiangfen__yingyangshow/
腐竹,https://yingyang.bmcx.com//fuzhu__yingyangshow/
豆腐干(均值),https://yingyang.bmcx.com//doufugan_junzhi___yingyangshow/
素什锦,https://yingyang.bmcx.com//sushijin__yingyangshow/
豆沙,https://yingyang.bmcx.com//dousha__yingyangshow/
蚕豆淀粉,https://yingyang.bmcx.com//candoudianfen__yingyangshow/
核桃(鲜),https://yingyang.bmcx.com//hetao_xian___yingyangshow/
栗子(鲜)[板栗],https://yingyang.bmcx.com//lizi_xian__banli___yingyangshow/
葵花子(生),https://yingyang.bmcx.com//kuihuazi_sheng___yingyangshow/
西瓜子(炒),https://yingyang.bmcx.com//xiguazi_chao___yingyangshow/
白萝卜[莱菔],https://yingyang.bmcx.com//bailuobu_laifu___yingyangshow/
胡萝卜(红)[金笋，丁香萝卜],https://yingyang.bmcx.com//huluobu_hong__jinsun_dingxiangluobu__yingyangshow/
黄豆芽,https://yingyang.bmcx.com//huangdouya__yingyangshow/
绿豆芽,https://yingyang.bmcx.com//lvdouya__yingyangshow/
茄子(均值),https://yingyang.bmcx.com//qiezi_junzhi___yingyangshow/
番茄[西红柿],https://yingyang.bmcx.com//fanqie_xihongshi___yingyangshow/
辣椒(红，尖，干),https://yingyang.bmcx.com//lajiao_hong_jian_gan___yingyangshow/
甜椒[灯笼椒，柿子椒],https://yingyang.bmcx.com//tianjiao_denglongjiao_shizijiao___yingyangshow/
冬瓜,https://yingyang.bmcx.com//donggua__yingyangshow/
黄瓜[胡瓜],https://yingyang.bmcx.com//huanggua_hugua___yingyangshow/
苦瓜[凉瓜，癞瓜],https://yingyang.bmcx.com//kugua_lianggua_laigua___yingyangshow/
南瓜[倭瓜，番瓜],https://yingyang.bmcx.com//nangua_weigua_fangua___yingyangshow/
金丝瓜[裸瓣瓜],https://yingyang.bmcx.com//jinsigua_luobangua___yingyangshow/
西葫芦,https://yingyang.bmcx.com//xihulu__yingyangshow/
大蒜[蒜头],https://yingyang.bmcx.com//dasuan_suantou___yingyangshow/
洋葱[葱头],https://yingyang.bmcx.com//yangcong_congtou___yingyangshow/
韭菜,https://yingyang.bmcx.com//jiucai__yingyangshow/
大白菜(均值),https://yingyang.bmcx.com//dabaicai_junzhi___yingyangshow/
小白菜,https://yingyang.bmcx.com//xiaobaicai__yingyangshow/
菜花[花椰菜],https://yingyang.bmcx.com//caihua_huayecai___yingyangshow/
菠菜[赤根菜],https://yingyang.bmcx.com//bocai_chigencai___yingyangshow/
芹菜茎,https://yingyang.bmcx.com//qincaijing__yingyangshow/
香菜[芫荽],https://yingyang.bmcx.com//xiangcai_yanlei___yingyangshow/
藕粉,https://yingyang.bmcx.com//oufen__yingyangshow/
芋头[芋艿，毛芋],https://yingyang.bmcx.com//yutou_yunai_maoyu___yingyangshow/
姜[黄姜],https://yingyang.bmcx.com//jiang_huangjiang___yingyangshow/
草菇[大黑头细花草],https://yingyang.bmcx.com//caogu_daheitouxihuacao___yingyangshow/
金针菇[智力菇],https://yingyang.bmcx.com//jinzhengu_zhiligu___yingyangshow/
平菇[糙皮侧耳，青蘑],https://yingyang.bmcx.com//pinggu_caopiceer_qingmo___yingyangshow/
落葵[木耳菜，软浆菜],https://yingyang.bmcx.com//luokui_muercai_ruanjiangcai___yingyangshow/
香菇[香蕈，冬菇],https://yingyang.bmcx.com//xianggu_xiangtan_donggu___yingyangshow/
海带[江白菜],https://yingyang.bmcx.com//haidai_jiangbaicai___yingyangshow/
羊肉(肥瘦)(均值),https://yingyang.bmcx.com//yangrou_feishou__junzhi___yingyangshow/
素鸡,https://yingyang.bmcx.com//suji__yingyangshow/
鸭跖草[竹叶菜，淡竹叶],https://yingyang.bmcx.com//yazhicao_zhuyecai_danzhuye___yingyangshow/
蕨麻[鹅绒委陵菜],https://yingyang.bmcx.com//juema_erongweilingcai___yingyangshow/
牛乳(均值),https://yingyang.bmcx.com//niuru_junzhi___yingyangshow/
酸奶(均值),https://yingyang.bmcx.com//suannai_junzhi___yingyangshow/
奶油,https://yingyang.bmcx.com//naiyou__yingyangshow/
鸡蛋(均值),https://yingyang.bmcx.com//jidan_junzhi___yingyangshow/
鸭蛋,https://yingyang.bmcx.com//yadan__yingyangshow/
松花蛋(鸭蛋)[皮蛋],https://yingyang.bmcx.com//songhuadan_yadan__pidan___yingyangshow/
咸鸭蛋,https://yingyang.bmcx.com//xianyadan__yingyangshow/
鹌鹑蛋,https://yingyang.bmcx.com//anchundan__yingyangshow/
草鱼[白鲩，草包鱼],https://yingyang.bmcx.com//caoyu_baihuan_caobaoyu___yingyangshow/
黄鳝[鳝鱼],https://yingyang.bmcx.com//huangshan_shanyu___yingyangshow/
鲤鱼[鲤拐子],https://yingyang.bmcx.com//liyu_liguaizi___yingyangshow/
罗非鱼(莫桑比克)[非洲黑鲫鱼],https://yingyang.bmcx.com//luofeiyu_mosangbike__feizhouheijiyu__yingyangshow/
带鱼[白带鱼，刀鱼],https://yingyang.bmcx.com//daiyu_baidaiyu_daoyu___yingyangshow/
斑节对虾[草虾],https://yingyang.bmcx.com//banjieduixia_caoxia___yingyangshow/
河蟹,https://yingyang.bmcx.com//hexie__yingyangshow/
鲍鱼[杂色鲍],https://yingyang.bmcx.com//baoyu_zasebao___yingyangshow/
螺(均值),https://yingyang.bmcx.com//luo_junzhi___yingyangshow/
乌贼(鲜)[鱿鱼，台湾枪乌贼，枪乌贼],https://yingyang.bmcx.com//wuzei_xian__youyu_taiwanqiangwuzei___yingyangshow/
菜籽油[青油],https://yingyang.bmcx.com//caiziyou_qingyou___yingyangshow/
豆油,https://yingyang.bmcx.com//douyou__yingyangshow/
花生油,https://yingyang.bmcx.com//huashengyou__yingyangshow/
色拉油,https://yingyang.bmcx.com//selayou__yingyangshow/
