职位名称,公司全称,公司人数,发布时间,工作城市,薪资待遇,工作经验,学历要求,职位优势
会计,南京贝湾信息科技有限公司,150-500人,2020-12-31 10:52,南京,4k-6k,不限,本科,"团队棒,个人成长快"
财务会计,西安四叶草信息技术有限公司,50-150人,2021-1-1 3:00,西安,3k-5k,不限,本科,五险一金
会计,株洲市聚讯信息技术有限公司,15-50人,2020-12-31 18:43,深圳,6k-8k,在校/应届,大专,五险、下午茶、节日福利，年假多，晋升快
会计助理,中国平安人寿保险股份有限公司成都电话销售中心武侯分部,2000人以上,2020-12-30 10:20,成都,4k-5k,不限,本科,周末双休，入职即购买五险一金，带薪年假，
会计,八橙科技（广州）有限公司,50-150人,2020-12-31 14:04,广州,4k-6k,1年以下,本科,下午茶、绩效奖金、年终奖！
会计,郴州吉天贸易有限公司,15-50人,2020-12-31 14:21,郴州,3k-6k,不限,本科,突破自我
会计,广东芃盛教育文化传播有限公司,少于15人,2020-12-31 10:28,广州,4k-6k,不限,大专,五险
会计助理,上海章武电子技术有限公司,少于15人,2020-12-31 13:06,上海,6k-8k,不限,不限,14薪、工作环境好、提供住宿
财务会计,深圳市金源广科技发展有限公司,少于15人,2020-12-31 7:40,深圳,3k-5k,在校/应届,不限,行业较好，公司初创阶段，发展前景较好
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
财务会计专员,创而新（北京）教育科技有限公司,150-500人,2020-12-31 18:20,北京,5k-10k,不限,本科,五险一金 绩效激励 餐补
行政会计,北京万视天象网络技术有限公司,少于15人,2021-1-1 12:52,北京,5k-6k,不限,不限,轻松稳定
会计英文编辑,成都牧思宝贝教育咨询有限公司,50-150人,2021-1-2 14:59,北京,5k-8k,在校/应届,本科,英文翻译
会计,深圳易可达科技有限公司,2000人以上,2020-12-30 10:03,深圳,5k-7k,不限,不限,团队实力强，海外背景，全球业务
财务会计,上海卫瓴信息科技有限公司,15-50人,2021-1-4 0:01,上海,8k-12k,3-5年,本科,创业企业 发展无限
会计,深圳唐牛科技有限公司,150-500人,2021-1-3 23:17,深圳,7k-8k,1-3年,本科,团队大牛多 工作氛围融洽
总账会计,上海穆明信息科技有限公司,15-50人,2021-1-3 22:46,上海,8k-13k,5-10年,本科,扁平化管理，晋升空间大
财务会计,北京特比昂科技有限公司,15-50人,2021-1-3 21:52,西安,4k-5k,1-3年,本科,双休、五险一金、节假日福利、
财务会计,武汉零壹商业管理有限公司,少于15人,2021-1-3 19:23,武汉,5k-10k,1-3年,本科,极具有上升机会和拓展技能的工作环境
会计,四川苍狼白鹿科技有限公司,15-50人,2021-1-3 22:00,成都,8k-10k,5-10年,本科,与上市公司持续合作，五险一金、双休
财务会计,上海商涌科技有限公司,50-150人,2021-1-3 16:17,上海,6k-8k,1-3年,本科,"学习成长快,团队氛围好,发展空间大"
销售会计,成都书声科技有限公司,2000人以上,2021-1-3 23:45,成都,5k-7k,3-5年,本科,五险一金 成长发展 周末双休 优质项目
成本会计,成都书声科技有限公司,2000人以上,2021-1-3 23:45,成都,4k-6k,1-3年,本科,五险一金 良好氛围 周末双休 优质项目
财务会计,合时（北京）有限公司,15-50人,2021-1-3 15:22,北京,5k-10k,5-10年,本科,时尚新零售管理专家
高级核算会计,北京果壳互动科技传媒有限公司,150-500人,2021-1-3 23:32,北京,9k-15k,3-5年,本科,七险一金，免费三餐，弹性上班，带薪假期
核算会计,北京果壳互动科技传媒有限公司,150-500人,2021-1-3 23:32,北京,9k-13k,1-3年,本科,七险一金，免费三餐，弹性上班，带薪假期
收入会计,北京拉勾网络技术有限公司,500-2000人,2020-12-31 19:07,北京,8k-10k,3-5年,本科,六险一金；弹性工作；领导nice
会计,宁波美业云互联网科技有限公司,少于15人,2021-1-3 14:31,宁波,8k-10k,5-10年,本科,核心岗位虚位以待！期待能一起共同成长～
成本会计,上海寸心创意科技有限公司,150-500人,2021-1-3 23:15,上海,6k-8k,1-3年,本科,垂直电商 互联+制造业 精英团队
总账会计,好多素教（浙江）网络科技有限公司,50-150人,2021-1-3 14:01,杭州,12k-20k,1-3年,本科,知名创始团队 扁平管理 发展空间大
1231K6-财务中心业务会计岗,深圳平安综合金融服务有限公司,2000人以上,2021-1-4 0:00,深圳,4k-8k,1-3年,本科,"带薪年假,定期体检,节日福利"
12313G-会计核算岗,深圳平安综合金融服务有限公司,2000人以上,2021-1-4 0:00,上海,7k-8k,3-5年,本科,"五险一金,绩效奖金,带薪年假,定期体检"
财务会计实习生,杭州陆港科技有限公司,15-50人,2021-1-3 18:03,杭州,1k-2k,在校/应届,不限,"双休,带薪假,五险一金,定期旅游"
会计/出纳,北京叁农夫科技发展有限公司,15-50人,2021-1-3 15:11,北京,4k-6k,1-3年,本科,有你的加入会让我们离成功更近
资产会计（固定资产）,闪电快车软件（北京）有限公司,150-500人,2021-1-3 12:33,北京,8k-12k,3-5年,大专,福利待遇好
核算会计,深圳海伦司企业管理有限公司,2000人以上,2021-1-3 11:13,武汉,4k-6k,1-3年,大专,包食宿，别墅办公，五险一金，升职空间大
