国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
印度,India,231036,10356844,9975958,149850
伊朗,Iran (Islamic Republic of),170844,1255620,1029028,55748
印度尼西亚,Indonesia,110693,779548,645746,23109
土耳其,Turkey,92884,2270101,2155338,21879
哈萨克斯坦,Kazakhstan,78784,202880,121347,2749
以色列,Israel,56223,451044,391373,3448
黎巴嫩,Lebanon,54970,189278,132768,1540
孟加拉国,Bangladesh,47791,517920,462459,7670
日本,Japan,40884,247960,203421,3655
伊拉克,Iraq,38813,599126,547457,12856
巴基斯坦,Pakistan,35707,490476,444360,10409
巴勒斯坦,occupied Palestinian territory,32297,65802,32944,561
马来西亚,Malaysia,22887,122845,99449,509
阿联酋,United Arab Emirates,22595,214732,191455,682
塞浦路斯,Cyprus,22449,24639,2057,133
菲律宾,Philippines,21997,479693,448375,9321
阿塞拜疆,Azerbaijan,19396,221401,199213,2792
约旦,Jordan,17820,298208,276485,3903
韩国,Republic of Korea,17796,65818,46995,1027
缅甸,Myanmar,14013,127584,110805,2766
亚美尼亚,Armenia,12525,160220,144831,2864
阿富汗,Afghanistan,8313,52709,42175,2221
斯里兰卡,Sri Lanka,7247,45726,38262,217
格鲁吉亚,Georgia,6646,232079,222787,2646
阿曼,Oman,5637,129404,122266,1501
叙利亚,Syrian ArabRepublic,5435,11710,5546,729
尼泊尔,Nepal,5225,262784,255666,1893
泰国,Thailand,4504,8966,4397,65
吉尔吉斯斯坦,Kyrgyzstan,3383,81305,76563,1359
科威特,Kuwait,3305,152027,147784,938
卡塔尔,Qatar,2551,144852,142056,245
巴林,Bahrain,2440,93478,90686,352
沙特阿拉伯,Saudi Arabia,2290,363155,354609,6256
中国,China,1325,97127,91008,4794
乌兹别克斯坦,Uzbekstan,1259,77231,75358,614
也门共和国,The Republic of Yemen,1144,2105,350,611
马尔代夫,Maldives,641,13893,13204,48
蒙古,Mongolia,411,1242,830,1
不丹,Bhutan,281,734,453,0
塔吉克斯坦,Tajikistan,230,13300,12980,90
新加坡,Singapore,157,58662,58476,29
越南,Vietnam,130,1504,1339,35
柬埔寨,Cambodia,20,382,362,0
东帝汶,Tinor-Leste,14,44,30,0
文莱,Brunei Darussalam,4,152,145,3
老挝,Laos,1,41,40,0
