国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
美国,United States of America,11136699,21044020,9550165,357156
墨西哥,Mexico,221628,1455219,1105834,127757
加拿大,Canada,78849,618646,523564,16233
波多黎各,Puerto Rico,76406,77932,0,1526
洪都拉斯,Honduras,62869,123398,57348,3181
巴拿马,Panama,49445,259770,206087,4238
多米尼加,Dominican Republic,37978,173331,132935,2418
哥斯达黎加,Costa Rica,37736,173591,133607,2248
库拉索岛,Curaçao,18354,18762,0,408
瓜德罗普岛,Guadeloupe,8465,8620,0,155
危地马拉,Guatemala,6205,139419,128355,4859
马提尼克,Martinique,6048,6091,0,43
萨尔瓦多,The Republic of El Salvador,3658,46803,41787,1358
牙买加,Jamaica,2376,12931,10252,303
古巴,Cuba,1954,12225,10125,146
尼加拉瓜,Nicaragua,1706,6097,4225,166
巴哈马,Bahamas,1500,7914,6239,175
海地,The Republic of Haiti,1184,10077,8657,236
圣马丁岛,Saint Martin,983,995,0,12
伯利兹,Belize,586,10938,10095,257
阿鲁巴,Aruba,429,5716,5237,50
特立尼达和多巴哥,Trinidad & Tobago,333,7178,6718,127
巴巴多斯,Barbados,312,643,324,7
圣巴泰勒米岛,Saint Barthelemy,190,190,0,0
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,122,122,0,0
特克斯和凯科斯群岛,Turks & Caicos Islands,121,910,783,6
百慕大,Bermuda,95,624,519,10
美属维尔京群岛,United States Virgin Islands,94,2055,1938,23
荷属圣马丁,Sint Maarten,68,1465,1370,27
圣卢西亚,Saint Lucia,63,360,292,5
开曼群岛,Cayman Islands,42,338,294,2
格林那达,Grenada,26,134,107,1
英属维尔京群岛,"VirginIslands,British",22,93,70,1
多米尼克,Dominica,9,96,87,0
安提瓜和巴布达,Antigua & Barbuda,6,159,148,5
格陵兰,Greenland,5,27,22,0
圣其茨和尼维斯,Saint Kitts and Nevis,4,33,29,0
圣皮埃尔和密克隆群岛,Saint Pierre and Miquelon,4,16,12,0
安圭拉,Anguilla,3,15,12,0
蒙特塞拉特,Montserrat,0,13,12,1
