国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
巴西,Brazil,650823,7812007,6963407,197777
阿根廷,Argentina,152327,1662713,1466601,43785
哥伦比亚,Colombia,99530,1702966,1559010,44426
秘鲁,Peru,22482,1021058,960703,37873
巴拉圭,Paraguay,21689,110796,86786,2321
玻利维亚,Bolivia (Plurinational State of),20781,163671,133671,9219
智利,Chile,17232,623101,589081,16788
法属圭亚那,French Guiana,13202,13273,0,71
厄瓜多尔,Ecuador,11630,216083,190350,14103
乌拉圭,Uruguay,5968,22104,15919,217
委内瑞拉,Venezuela,4965,114083,108086,1032
苏里南,Suriname,456,6493,5913,124
圭亚那,Guyana,295,6358,5899,164
荷兰加勒比地区,"Bonaire, Sint Eustatius and Saba",174,177,0,3
福克兰群岛,Falkland Islands,12,29,17,0
