国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
英国,The United Kingdom,2697635,2774479,539,76305
法国,France,2416454,2680239,197503,66282
西班牙,Spain,1780738,1982544,150376,51430
荷兰,Netherlands,810352,834064,11886,11826
比利时,Belgium,611898,650887,19239,19750
意大利,Italy,569161,2181619,1536129,76329
俄罗斯,Russian Federation,562210,3284384,2662668,59506
瑞典,Sweden,455792,469748,4971,8985
塞尔维亚,Serbia,354010,400969,42214,4745
德国,Germany,343517,1804286,1424259,36510
乌克兰,Ukraine,317048,1083585,747408,19129
波兰,Poland,222149,1330543,1078892,29502
匈牙利,Hungary,143065,329721,176576,10080
瑞士,Switzerland,141012,465981,317600,7369
希腊,Greece,134042,140526,1473,5011
捷克,Czechia,121488,759635,625890,12257
斯洛文尼亚,Slovenia,120170,125086,2027,2889
爱尔兰,Ireland,85618,113322,25422,2282
葡萄牙,Portugal,80183,436579,349110,7286
保加利亚,Bulgaria,71621,204080,124624,7835
立陶宛,Lithuania,65871,149497,81630,1996
斯洛伐克,Slovakia,55633,191088,132852,2603
罗马尼亚,Romania,50254,648288,581856,16178
波黑,Bosnia and Herzegovina,29716,113392,79465,4211
丹麦,Denmark,29302,172779,142057,1420
阿尔巴尼亚,Albania,23522,60283,35551,1210
奥地利,Austria,20225,369721,343039,6457
北马其顿,North Macedonia,18046,84709,64104,2559
白俄罗斯,Belarus,17059,203104,184574,1471
挪威,Norway,13138,51245,37658,449
拉脱维亚,Latvia,11316,42497,30501,680
黑山,Montenegro,9953,49915,39273,689
爱沙尼亚,Estonia,9186,29950,20507,257
摩尔多瓦,Republic of Moldova,9100,146921,134751,3070
芬兰,Finland,7653,37218,29000,565
克罗地亚,Croatia,5908,214390,204303,4179
卢森堡,Luxembourg,3114,46986,43364,508
马耳他,Malta,1702,13388,11460,226
直布罗陀,Gibraltar,951,2406,1447,8
安道尔,Andorra,639,8308,7585,84
摩纳哥,Monaco,400,901,497,4
泽西岛,Jersey,339,2863,2473,51
圣马力诺,San Marino,304,2493,2127,62
列支敦士登,Liechtenstein,196,2246,2005,45
冰岛,Iceland,111,5811,5671,29
法罗群岛,Faroe Islands,58,626,568,0
梵蒂冈,Holy See,26,26,0,0
马恩岛,Isle of Man,16,386,345,25
根西岛,Guernsey,5,301,283,13
