国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
南非,South Africa,116356,1127759,980879,30524
突尼斯,Tunisia,31443,144796,108491,4862
阿尔及利亚,Algeria,29828,100408,67808,2772
利比亚,Libya,25523,101414,74381,1510
乌干达,Uganda,23730,36407,12387,290
埃及,Egypt,21251,144583,115414,7918
摩洛哥,Morocco,21150,445439,416708,7581
肯尼亚,Kenya,16080,97127,79357,1690
尼日利亚,Nigeria,14990,92705,76396,1319
埃塞俄比亚,Ethiopia,11465,126241,112813,1963
留尼旺,Réunion,8995,9037,0,42
苏丹,Sudan,8324,23316,13524,1468
斯威士兰,Swaziland,6548,9711,2936,227
安哥拉,Angola,6157,17608,11044,407
马约特,Mayotte,5835,5890,0,55
纳米比亚,Namibia,3846,25116,21055,215
津巴布韦,Zimbabwe,3729,15829,11716,384
中非共和国,Central African Republic,2976,4963,1924,63
刚果（金）,Democratic Republic of the Congo,2925,18247,14723,599
布基纳法索,Burkina Faso,2836,6940,4018,86
赞比亚共和国,The Republic of Zambia,2707,22645,19526,412
莫桑比克,Mozambique,2302,19542,17069,171
博茨瓦纳,Botswana,2279,14805,12481,45
毛里塔尼亚,Mauritania,2138,14875,12377,360
马里,Mali,1987,7260,4994,279
卢旺达,Rwanda,1927,8848,6816,105
塞内加尔,Senegal,1846,19964,17690,428
莱索托,Lesotho,1645,3206,1496,65
喀麦隆,Cameroon,1508,26848,24892,448
刚果（布）,Congo,1469,6571,4988,114
尼日尔,Niger,1369,3465,1986,110
马拉维,Malawi,1158,7110,5753,199
索马里,Somalia,979,4714,3605,130
加纳,Ghana,901,55064,53828,335
布隆迪共和国,The Republic of Burundi,827,833,4,2
塞拉利昂,Sierra Leone,724,2724,1924,76
几内亚,Guinea,664,13784,13039,81
厄立特里亚,Eritrea,641,1320,676,3
科特迪瓦,Cote d Ivoire,517,22800,22145,138
塞舌尔,Seychelles,411,616,184,21
南苏丹,South Sudan,364,3558,3131,63
乍得,Chad,361,2169,1704,104
坦桑尼亚,Tanzania,321,509,167,21
利比里亚,Liberia,311,1800,1406,83
佛得角,Cabo Verde,227,11920,11580,113
马达加斯加,Madagascar,207,17767,17298,262
多哥,Togo,158,3683,3457,68
加蓬,Gabon,151,9571,9356,64
贝宁,Benin,146,3251,3061,44
科摩罗,Union des Comores,119,864,732,13
吉布提,The Republic of Djibouti,95,5841,5681,65
几内亚比绍,Guinea-Bissau,65,2447,2337,45
赤道几内亚,Eq.Guinea,55,5277,5136,86
圣多美和普林西比,São Tomé and Príncipe,24,1024,983,17
毛里求斯,Mauritius,21,527,496,10
冈比亚,Gambia,10,3802,3668,124
