GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude
{5AC8034E-5B46-4294-85F0-5B13117EBEFE},2019-12-8 0:00,"One dead wasp seen in Blaine, and suspect flying nearby",Positive ID, ,2020-1-15 0:00,48.980994,-122.688503
{5EAD3364-2CA7-4A39-9A53-7F9DCF5D2041},2019-10-30 0:00,Hornet specimen sent to WSU,Positive ID, ,2020-1-15 0:00,48.971949,-122.700941
{13B67BCB-AFCE-4100-AD2B-76EF178BA228},2020-1-15 0:00,"Massive loss of bees, decapitated. No hornet specimens were located.",Unverified, ,2020-1-15 0:00,48.9392,-122.6613
{124B9BFA-7F7B-4B8E-8A56-42E067F0F72E},2019-9-19 0:00,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",Positive ID,"Thanks for adding this, and the great pictures!",2020-2-4 0:00,49.149394,-123.943134
{BBBA5BA0-CAFB-43D3-8F1D-FB2D9CF777E0},2019-8-31 0:00,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",Unverified,"Thanks for this report. I can't verify it from this information, but we will be surveying in the area this spring and summer. Please do reach out if you see another!",2020-2-14 0:00,48.723779,-122.354431
{EB4746A1-5A8B-4D7D-9149-D560988238EC},2019-10-15 0:00,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",Unverified,Thanks for your submission. Here's hoping they were some other large insect!,2020-2-27 0:00,48.986176,-122.69745
{C4F44511-EA53-4FCF-9422-E1C57703720D},2020-2-29 0:00,"I’m not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",Negative ID,This is a large fly that mimics bees! Thanks for submitting it.,2020-2-29 0:00,48.729596,-122.480035
{E6ADE6FB-0BD3-43EC-8E75-72EFC6F029FB},2020-3-1 0:00,Reported to Washington Invasive Species Council via voicemail,Unverified, ,2020-3-2 0:00,48.186024,-122.34468
{89C867F1-D5ED-48C8-9586-B705F5DA9838},2019-9-7 0:00,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",Negative ID,Thank you for this submission. This is a harmless native golden digger wasp:  ,2020-3-18 0:00,47.395721,-123.105188
{81670D96-4143-47B1-A9C8-83977892D53F},2020-3-19 0:00,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,Negative ID,Hello! This one is a Yellowjacket:  ,2020-3-19 0:00,47.840041,-122.323562
{0AF6F3AA-8565-4B8F-8BF5-8D43D9677FE2},2019-7-17 0:00, ,Unverified,Thank you for your submission. Since there is no accompanying information we are unable to verify this sighting.,2020-3-19 0:00,47.487496,-118.958142
{630D20B9-8DD9-41E0-84FE-7C4F87C412E6},2020-3-16 0:00,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,Unverified,"Hmm... This sounds like one of our native sawflies, which are large and can be active this time of year. Impossible to say without a picture.",2020-3-19 0:00,48.419995,-122.33213
{D30895B7-3994-45A3-BD51-E5BA881833FD},2019-8-30 0:00,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",Negative ID,"Hello! This is a native wood-boring wasp, in the genus Urocerus:  ",2020-3-19 0:00,47.635058,-122.057332
{72E591F1-F42C-4754-94FF-DBDF791BBF2E},2020-3-20 0:00,It wasn't huge but definitely  had a yellow head and yellow mid section,Unverified,Thanks for your submission. There are many insects that this could be besides the Asian giant hornet. Keep your fingers crossed that it isn't!,2020-3-21 0:00,48.93401,-122.48545
{1304CF55-4FF9-490F-AF5A-5719CD110A9D},2020-3-23 0:00,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",Negative ID,"This sounds more like a yellowjacket, which are also becoming active at this time. Asian giant hornets have very distinct large orange striping. Also, their sting is described as being like a kick from a horse!",2020-3-24 0:00,48.74361,-122.43905
{4F753C6C-B49B-4C2D-AD30-8CDAF540DE9F},2020-3-27 0:00,Digging garden area and uncovered a bee,Unverified,Hopefully it is just a bee!,2020-3-28 0:00,47.936452,-122.137477
{9610DC8B-98D0-4C39-8235-55CE16B16F57},2016-6-20 0:00,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",Unverified,"Thanks for your submission. I don't see a way to contact you. However, the very early date (if it was in 2016) puts my mind at ease. If you can find the picture, please email me with your contact information: clooney@agr.wa.gov",2020-3-29 0:00,47.887101,-121.972109
{2BDDD0B5-3687-494E-BBAD-8FE8DC6F6542},2019-8-2 0:00,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,Unverified, ,2020-3-31 0:00,46.815183,-122.987709
{5AD8CAF4-AB96-4BFA-8A08-6010C96937F1},2020-3-31 0:00,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",Negative ID,"Thanks for your submission! This is a paper wasp, common in our area.",2020-3-31 0:00,46.609918,-120.563107
{8DFDA283-3AFD-4E9F-9878-7A0F22E1B917},2019-7-23 0:00,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,Negative ID,"This one is one of our native species, Sphex ichneumoneus.",2020-4-1 0:00,48.006763,-122.462053
{EAC16248-52B7-4B86-8BA3-0913E2EE3A3A},2018-7-1 0:00,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",Unverified,Please try and get a picture if you see them again!,2020-4-3 0:00,47.665711,-122.326871
{825396BC-07DE-45EA-8EC4-1311B30C10B8},2016-8-25 0:00,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",Unverified,"Thanks for this submission. That description is suspicious, but could still be one of our native species. We'll check it out.",2020-4-4 0:00,48.857859,-121.844931
{47D28B3C-3C0D-435E-99F1-2CFE2A0F82A0},2019-9-14 0:00,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",Unverified, ,2020-4-4 0:00,48.64683,-122.369771
{A0161ABC-0636-445B-A877-BBB2CA55EC8F},2020-4-5 0:00,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",Unverified, ,2020-4-5 0:00,46.240112,-122.915848
{AA08DB6A-08EF-4922-8D7E-AAFF5A9B8599},2020-4-6 0:00, ,Unverified, ,2020-4-6 0:00,47.526522,-122.324858
{22E3A08D-494C-4539-8894-FDC32F2C9855},2020-4-6 0:00,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",Unverified,This is unlikely to be the AGH based on you description of the nest.,2020-4-6 0:00,47.526507,-122.324826
{CBF357AE-C33D-48C4-A4E0-DFC79F7C11DC},2020-3-24 0:00,It stung me through a paper towel,Unverified,"Unlikely to he AGH. When one of these stings you, they are described more like being shot through a paper towel!",2020-4-6 0:00,48.077702,-123.170761
{8BE98561-0104-44B6-98D2-1CB625378F9B},2020-4-6 0:00,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,Negative ID,This is a harmless native wood-boring wasp.,2020-4-6 0:00,47.156028,-123.013366
{C77D080B-8315-45F8-A0F1-33DEDC5D58C5},2020-4-6 0:00,Not sure but this this was huge and never seen it before around my pond,Unverified, ,2020-4-7 0:00,47.370776,-120.138766
{BE0AD7A4-F4FD-40F7-979C-AE5F4470B1E4},2020-4-7 0:00,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",Negative ID,This is a friendly neighborhood bumble bee!,2020-4-7 0:00,47.62986,-120.68945
{EF1D664F-F908-4086-95C2-6C3B1A93FCB2},2019-6-16 0:00,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",Negative ID,"This is a native sawfly, Cimbex americana or Cimbex pacifica. Generally harmless, although thy can give a bite (no sting).",2020-4-7 0:00,47.766765,-122.552735
{B96D7B7E-8C04-4C89-88EE-656E8CF0FF6E},2020-4-7 0:00,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit”. I was jok",Unverified, ,2020-4-7 0:00,47.179097,-122.235314
{6FA5F703-E43F-4E6A-BA03-055385387E7E},2018-7-20 0:00,Orondo State Park - near the apple orchards.,Unverified, ,2020-4-7 0:00,47.701216,-120.195674
{6B29A36C-EE9D-4188-849D-79E6A5A3D161},2020-4-5 0:00,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,Unverified, ,2020-4-7 0:00,47.296898,-119.500329
{46C10079-3B5B-49DE-B8F7-F1FBCB4BABD1},2019-7-28 0:00,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,Unverified, ,2020-4-7 0:00,45.710268,-120.696372
{266F962C-6461-4A6D-8660-6AE608F41AB1},2019-12-22 0:00,"2 of these things were landing in front of my house, and went into burrows into loose dirt in front of the house.  They were about 1.5 to 2” long with orange/yellow heads.  I squashed them both, and flattened out the mount of dirt next to burrow.  I ju",Unverified, ,2020-4-7 0:00,47.77475,-122.213725
{4AA114DD-D296-47C6-A3BB-6E8E5A257DC3},2020-4-7 0:00,"Last summer, my grandson & friend said they saw a bee that was a good 2 inches long, in our back yard. We teased them bigtime, but now I'm thinking maybe he did. Yesterday there was a big fat bee out back, but it was about one inch",Unverified, ,2020-4-7 0:00,47.32299,-122.310432
