The Exploited,0.5184615384615384,-0.9999999999999996,12,13,2.200000000000001,2.300000000000001
Tricky,0.5184615384615384,-0.9999999999999996,12,13,2.200000000000001,2.300000000000001
Bob Dylan,0.13149862884811767,-0.9999529669817853,389,29,39.9000000000003,3.9000000000000026
Leonard Cohen,0.27546138072453863,-0.9999999999999997,64,12,7.399999999999991,2.200000000000001
The Gun Club,0.5236842105263158,-0.9999999999999998,9,10,1.9000000000000008,2.000000000000001
Chrissie Hynde,0.5125,-1.0000000000000004,6,9,1.6000000000000005,1.9000000000000008
Crime & the City Solution,0.4010989010989011,-1.0,3,10,1.3000000000000003,2.000000000000001
Lesley Gore,0.5606060606060606,-0.9999999999999997,8,4,1.8000000000000007,1.4000000000000004
Massive Attack,0.4777526395173454,-0.9999999999999998,32,19,4.200000000000002,2.9000000000000017
Nick Cave,0.5134252539912917,-1.0,22,31,3.200000000000002,4.100000000000002
The Raincoats,0.52046783625731,-0.9999999999999999,10,8,2.000000000000001,1.8000000000000007
Pretenders,0.5015864621893178,-0.9999999999999996,34,27,4.400000000000001,3.7000000000000024
Tom Waits,0.37276785714285715,-1.0000000000000002,48,15,5.799999999999996,2.5000000000000013
Marianne Faithfull,0.4605263157894737,-1.0000000000000002,13,6,2.300000000000001,1.6000000000000005
Patti Smith,0.40757808499743986,-1.0000000000000004,45,17,5.499999999999997,2.7000000000000015
Sonic Youth,0.4591326105087573,-0.9999999999999997,71,38,8.099999999999989,4.8
Pere Ubu,0.48995771670190275,-0.9999999999999994,26,17,3.6000000000000023,2.7000000000000015
Pixies,0.38144329896907214,-1.0,72,24,8.199999999999989,3.400000000000002
The Smiths,0.3459707282666196,-1.000000000000001,83,23,9.299999999999985,3.300000000000002
X,0.49129172714078373,-0.9999210338544517,31,22,4.100000000000002,3.200000000000002
Captain Beefheart,0.3656565656565657,-1.0,34,10,4.400000000000001,2.000000000000001
Bad Brains,0.4461914744933613,-0.9999999999999994,36,17,4.6000000000000005,2.7000000000000015
Black Flag,0.2782335907335907,-0.9999999999999999,93,18,10.299999999999981,2.8000000000000016
Korn,0.48950332821300563,-1.0000000000000002,37,25,4.7,3.500000000000002
Faith No More,0.48950332821300563,-1.0000000000000002,37,25,4.7,3.500000000000002
Eek-A-Mouse,0.5126811594202898,-0.9999999999999996,10,13,2.000000000000001,2.300000000000001
Santana,0.4236714975845411,-1.0,32,13,4.200000000000002,2.300000000000001
Primus,0.46408163265306124,-0.9999999999999999,17,32,2.7000000000000015,4.200000000000002
Metallica,0.3361195542046606,-1.0,112,29,12.199999999999974,3.9000000000000026
311,0.5013227513227513,-0.9999999999999996,16,11,2.6000000000000014,2.100000000000001
Suicidal Tendencies,0.37849462365591396,-0.9999999999999996,23,7,3.300000000000002,1.7000000000000006
Sepultura,0.5109756097560976,-1.0,21,19,3.100000000000002,2.9000000000000017
Extreme,0.24153846153846154,-1.0000000000000009,3,22,1.3000000000000003,3.200000000000002
Tool,0.47677119628339143,-1.0000000000000002,26,15,3.6000000000000023,2.5000000000000013
Fishbone,0.5110993657505285,-1.0,22,21,3.200000000000002,3.100000000000002
Jane's Addiction,0.49591346153846155,-1.0000000000000002,40,25,4.999999999999999,3.500000000000002
Living Colour,0.4246031746031746,-0.9999999999999997,10,25,2.000000000000001,3.500000000000002
Rage Against the Machine,0.48359929078014185,-1.0000000000000002,29,18,3.9000000000000026,2.8000000000000016
Red Hot Chili Peppers,0.4799107142857143,-0.9999999999999999,39,24,4.8999999999999995,3.400000000000002
BÃ©la Fleck,0.4885057471264368,-1.0,11,18,2.100000000000001,2.8000000000000016
Sam Bush,0.5130718954248366,-1.0000000000000002,7,10,1.7000000000000006,2.000000000000001
Trey Anastasio,0.13203463203463203,nan,1,20,1.1,3.0000000000000018
Alice Cooper,0.39956531686113017,-0.9999999999999994,68,25,7.799999999999989,3.500000000000002
Spinal Tap,0.47011494252873565,-0.9999999999999998,10,19,2.000000000000001,2.9000000000000017
Blue Cheer,0.43414634146341463,-1.0000000000000002,28,12,3.8000000000000025,2.200000000000001
Blue Ã–yster Cult,0.5044871794871795,-0.9999999999999998,22,17,3.200000000000002,2.7000000000000015
Killing Joke,0.453781512605042,-1.0000000000000002,23,11,3.300000000000002,2.100000000000001
Kiss,0.33233249051833125,-0.9999999999999997,89,23,9.899999999999983,3.300000000000002
Crazy Horse,0.5071225071225072,-0.9999999999999996,15,11,2.5000000000000013,2.100000000000001
Led Zeppelin,0.18007300481168076,-1.0000000000000007,221,24,23.100000000000062,3.400000000000002
MC5,0.379343365253078,-1.0000000000000002,64,21,7.399999999999991,3.100000000000002
Funkadelic,0.41168693812797463,-0.9999999999999998,44,17,5.399999999999998,2.7000000000000015
Gene Simmons,0.512987012987013,-0.9999999999999999,9,12,1.9000000000000008,2.200000000000001
Melvins,0.5025510204081632,-1.0,27,21,3.7000000000000024,3.100000000000002
Jimi Hendrix,0.24224877904395442,-1.0000000000000009,201,32,21.100000000000033,4.200000000000002
Neil Young,0.2903476101800124,-1.0,148,31,15.799999999999962,4.100000000000002
Ohio Players,0.3918918918918919,-1.0,27,9,3.7000000000000024,1.9000000000000008
Wipers,0.5047619047619047,-1.0,12,8,2.200000000000001,1.8000000000000007
Ramones,0.3315993788819876,-1.0,127,33,13.699999999999969,4.300000000000002
Mountain,0.4642857142857143,-0.9999999999999998,18,9,2.8000000000000016,1.9000000000000008
The Stooges,0.2665306998711893,-0.9998616149727994,116,21,12.599999999999973,3.100000000000002
AC/DC,0.3475329890992542,-0.9999999999999996,65,18,7.49999999999999,2.8000000000000016
Aerosmith,0.3791510611735331,-0.9999999999999998,67,22,7.6999999999999895,3.200000000000002
Budgie,0.2777777777777778,nan,8,1,1.8000000000000007,1.1
The Beatles,0.09291045671634626,-0.9999624674330506,615,31,62.50000000000062,4.100000000000002
Black Sabbath,0.12731646471846045,-1.0000000000000004,171,12,18.09999999999999,2.200000000000001
Iron Butterfly,0.4894894894894895,-1.0,22,14,3.200000000000002,2.4000000000000012
The Velvet Underground,0.08590921748816485,-1.0,181,8,19.100000000000005,1.8000000000000007
Spice Girls,0.5068027210884354,-1.0,22,26,3.200000000000002,3.6000000000000023
Boney M.,0.5125,-1.0000000000000004,6,9,1.6000000000000005,1.9000000000000008
Gwen Stefani,0.5134920634920634,-0.9999999999999998,17,18,2.7000000000000015,2.8000000000000016
Britney Spears,0.5081920903954802,-1.0,29,30,3.9000000000000026,4.000000000000003
Tanya Tucker,0.507563025210084,-0.9999999999999997,19,15,2.9000000000000017,2.5000000000000013
Patty Loveless,0.5128022759601707,-1.0,18,19,2.8000000000000016,2.9000000000000017
Bobbie Gentry,0.5190476190476191,-1.0,11,9,2.100000000000001,1.9000000000000008
The Judds,0.5075268817204301,-1.0000000000000002,17,13,2.7000000000000015,2.300000000000001
Connie Smith,0.5075757575757576,-0.9999999999999993,7,4,1.7000000000000006,1.4000000000000004
Tammy Wynette,0.4236714975845411,-1.0,32,13,4.200000000000002,2.300000000000001
Dolly Parton,0.391677973767526,-1.0000000000000007,49,17,5.899999999999996,2.7000000000000015
Janie Fricke,0.4632352941176471,-1.0,5,11,1.5000000000000004,2.100000000000001
Loretta Lynn,0.3015728977616455,-1.0000000000000002,47,10,5.699999999999997,2.000000000000001
Ray Price,0.349527665317139,-1.0000000000000002,30,8,4.000000000000003,1.8000000000000007
Skeeter Davis,0.5256410256410257,-1.0,7,5,1.7000000000000006,1.5000000000000004
Lynn Anderson,0.4869281045751634,-1.0,11,6,2.100000000000001,1.6000000000000005
Soulfly,0.3954248366013072,-0.9999999999999994,4,13,1.4000000000000004,2.300000000000001
In Flames,0.532967032967033,-0.9999999999999996,7,6,1.7000000000000006,1.6000000000000005
Biohazard,0.5185185185185185,-1.0,13,13,2.300000000000001,2.300000000000001
Vision of Disorder,0.45566502463054187,-1.0000000000000004,9,19,1.9000000000000008,2.9000000000000017
Hatebreed,0.5156695156695157,-0.9999999999999998,14,12,2.4000000000000012,2.200000000000001
At the Gates,0.47368421052631576,-1.0000000000000002,12,6,2.200000000000001,1.6000000000000005
Olivier Messiaen,0.25,nan,3,0,1.3000000000000003,1
Daddy Yankee,0.2545454545454545,nan,1,9,1.1,1.9000000000000008
Spyro Gyra,0.5294117647058824,-1.0,8,8,1.8000000000000007,1.8000000000000007
