Date,Open,High,Low,Close,Turnover
 2019-01-15,72.08,75.3,72.08,75.13,3823245
 2019-01-16,75.64,77.09,75.1,77,5081175
 2019-01-17,77,77.58,75.65,75.85,3677512
 2019-01-18,76,78.8,75.92,78.48,5455771
 2019-01-21,78.47,79.45,77.8,78.52,5000226
 2019-01-22,78.4,78.4,76.7,77.34,3346808
 2019-01-23,76.8,79.2,76.8,78.79,3589098
 2019-01-24,78.55,79.84,77.35,79.62,3267038
 2019-01-25,79.63,80.18,78,78.23,2829965
 2019-01-28,78.28,79.42,76.75,78,4886025
 2019-01-29,77.9,79.13,77.36,78.98,3260742
 2019-01-30,78.67,79.18,77.37,77.7,2381606
 2019-01-31,77.56,78.48,77.1,77.73,2945111
 2019-02-01,78.32,81.49,77.74,80.96,3881143
 2019-02-11,80.49,83.8,80.26,83.3,4283156
 2019-02-12,83.44,85.98,82.96,85.15,5685234
 2019-02-13,85.08,86.15,84.38,85.55,4059426
 2019-02-14,85.56,85.56,83.88,84.7,4466320
 2019-02-15,84.4,84.4,82.31,82.8,4038159
 2019-02-18,82.95,85.39,82.95,85.24,4284498
 2019-02-19,85.28,85.29,83.18,83.64,3827733
 2019-02-20,83.63,84.25,83.06,83.78,3241182
 2019-02-21,83.79,83.93,82.74,82.87,3052575
 2019-02-22,82.86,83.18,81.41,83.12,3901069
 2019-02-25,83.2,85.48,83.02,85.04,10446776
 2019-02-26,85,88.11,84.01,86.53,9408760
 2019-02-27,86.53,87.51,84.55,85.08,5676791
 2019-03-01,88.88,89,85.5,86.55,6596962
 2019-03-04,86.89,89.25,86.85,89.02,8577685
 2019-03-05,88.95,89,87.8,89,4656932
 2019-03-06,88.88,89,87.28,88,4813895
 2019-03-07,87.8,87.8,84.9,85.82,7336923
 2019-03-08,84.2,85.5,82.65,82.78,6380944
 2019-03-11,82.6,84.43,82.56,84.05,4377168
 2019-03-12,84.92,84.92,83.38,83.77,4961482
 2019-03-13,83.2,85.02,83.01,84.41,4885971
 2019-03-14,84.41,85.28,84.02,84.6,3883234
 2019-03-15,84.7,85.39,83.47,84.1,4892318
 2019-03-18,84.16,87.98,84,87.92,11435402
 2019-03-19,88,88.19,85.5,86.29,8144291
 2019-03-20,86.2,86.75,84.84,85.78,4834387
 2019-03-21,85.7,86.12,85.12,86.12,4766679
 2019-03-22,87,87.44,85.4,86.02,5872048
 2019-03-25,84.87,84.87,83.1,83.14,8017109
 2019-03-26,83.14,83.87,82.21,82.57,3944105
 2019-03-27,82.42,84.08,82.42,83.83,4358166
 2019-03-28,83.74,83.75,82.66,83.18,3647974
 2019-03-29,83.18,85.71,83.01,85.5,7272721
 2019-04-01,85.8,87.81,85.79,87.5,8858012
 2019-04-02,87.32,87.32,85.9,86.65,6746393
 2019-04-03,86.61,88.8,83.21,85.65,15824205
 2019-04-04,85,85.05,83.69,84.86,9752413
 2019-04-08,84.9,86.49,84.5,85.54,8846203
 2019-04-09,86,91.5,85.21,90.99,18397334
 2019-04-10,91,98.88,90.4,94.09,17128512
 2019-04-11,93.5,93.96,90.06,90.8,10549139
 2019-04-12,91,91.7,89,89.98,7110380
 2019-04-15,90.38,92.55,89.13,89.15,6412181
 2019-04-16,89.12,90.15,88,90.15,5756638
 2019-04-17,89.91,91.89,89.23,91.19,6008805
 2019-04-18,91,91.91,90,90.06,4646891
 2019-04-19,89.92,90.86,88.68,89.94,4380874
 2019-04-22,89.95,91.97,89.53,91.82,7438363
 2019-04-23,91.21,91.83,90.61,90.8,4905554
 2019-04-24,91.1,92.46,91.1,92,5614584
 2019-04-25,92.31,92.5,89.23,89.4,4625057
 2019-04-26,89.3,89.3,86.21,86.21,6265538
 2019-04-29,86.21,88.89,85.58,87.55,4982473
 2019-04-30,87,88.9,86.6,88.5,3917202
 2019-05-06,86.5,86.51,80.9,82.01,8731976
 2019-05-07,82.39,84.49,82.38,84.13,4431634
 2019-05-08,82.2,85.25,81.9,84,4526977
 2019-05-09,83.24,83.88,78.5,79.39,7505506
 2019-05-10,80.01,80.85,78.01,80.01,6893563
 2019-05-13,79.64,80,77.85,79.1,3488480
 2019-05-14,78.74,79.89,78.3,78.68,3881000
 2019-05-15,78.7,80.15,78.11,80,7642670
 2019-05-29,80,81,72.11,78.93,7214947
 2019-05-30,78.88,78.88,77.48,78.5,3457648
 2019-05-31,78.48,80,77.69,77.69,3899328
 2019-06-03,77.78,79.17,77.78,78.72,3605647
 2019-06-04,78.96,79.66,77.6,78.06,3260888
 2019-06-05,76,76.86,74.35,74.51,4354478
 2019-06-06,74.5,74.97,74.05,74.34,4189809
 2019-06-10,74.34,75.69,73.34,75.38,3181758
 2019-06-11,75.37,77.86,75.14,77.75,4132141
 2019-06-12,77.13,77.85,76.7,77.43,2528485
 2019-06-13,77.42,78,76.51,77.83,2173138
