Date,Open,High,Low,Close,Turnover,日收益率
2019-01-29,3.95,4.02,3.93,4,61423592,NAN
2019-01-30,4,4.02,3.97,3.99,56118416,-0.0024999999999999467
2019-01-31,4.01,4.1,3.99,4.09,112481336,0.02506265664160392
2019-02-01,4.11,4.11,4.03,4.07,77113120,-0.004889975550122145
2019-02-11,4.04,4.09,4.02,4.09,79151008,0.004914004914004809
2019-02-12,4.08,4.08,4,4.04,111487920,-0.012224938875305581
2019-02-13,4.04,4.09,4,4.07,106989752,0.007425742574257487
2019-02-14,4.05,4.07,4.03,4.05,57657760,-0.0049140049140050275
2019-02-15,4.05,4.05,3.97,3.99,64311064,-0.014814814814814718
2019-02-18,4,4.03,3.99,4.02,105632472,0.007518796992481042
2019-02-19,4.02,4.06,3.99,4.03,120529840,0.0024875621890548946
2019-02-20,4.03,4.07,4.02,4.05,100473256,0.004962779156327438
2019-02-21,4.05,4.07,4.01,4.02,69626912,-0.007407407407407469
2019-02-22,4.02,4.08,3.98,4.06,85974664,0.009950248756218916
2019-02-25,4.07,4.35,4.07,4.29,250402688,0.05665024630541883
2019-02-26,4.25,4.34,4.16,4.17,208144016,-0.027972027972027996
2019-02-27,4.18,4.37,4.17,4.26,240245168,0.021582733812949607
2019-02-28,4.25,4.3,4.18,4.23,122834920,-0.007042253521126611
2019-03-01,4.25,4.4,4.2,4.4,186808944,0.040189125295508256
2019-03-04,4.43,4.62,4.41,4.49,309802464,0.02045454545454542
2019-03-05,4.46,4.5,4.41,4.47,123985344,-0.004454342984409903
2019-03-06,4.46,4.52,4.41,4.48,137427664,0.002237136465324536
2019-03-07,4.46,4.47,4.35,4.36,203764672,-0.02678571428571431
2019-03-08,4.29,4.31,4.15,4.17,184085408,-0.04357798165137623
2019-03-11,4.16,4.2,4.12,4.17,143066240,0.0
2019-03-12,4.19,4.25,4.16,4.18,159348912,0.0023980815347721313
2019-03-13,4.18,4.23,4.13,4.16,144188992,-0.004784688995215209
2019-03-14,4.17,4.2,4.11,4.13,108233096,-0.007211538461538521
2019-03-15,4.13,4.18,4.12,4.13,92068864,0.0
2019-03-18,4.15,4.22,4.12,4.22,140766528,0.021791767554479386
2019-03-19,4.21,4.25,4.16,4.18,112591960,-0.009478672985782
2019-03-20,4.16,4.21,4.15,4.18,88098840,0.0
2019-03-21,4.17,4.19,4.13,4.14,121158416,-0.00956937799043063
2019-03-22,4.14,4.15,4.08,4.11,124310432,-0.007246376811594049
2019-03-25,4.08,4.08,4.02,4.02,122940984,-0.021897810218978284
2019-03-26,4.04,4.05,3.98,4,83170856,-0.004975124378109347
2019-03-27,4.01,4.05,4,4.02,82744120,0.004999999999999893
2019-03-28,4.01,4.02,3.97,4,62664092,-0.004975124378109347
2019-03-29,4,4.12,3.98,4.1,204588992,0.02499999999999991
2019-04-01,4.1,4.17,4.1,4.16,197754144,0.014634146341463537
2019-04-02,4.17,4.2,4.13,4.15,186154448,-0.0024038461538461024
2019-04-03,4.11,4.17,4.09,4.17,158322048,0.004819277108433632
2019-04-04,4.17,4.23,4.16,4.23,257477056,0.014388489208633212
2019-04-08,4.25,4.35,4.21,4.26,283426752,0.007092198581560132
2019-04-09,4.24,4.27,4.21,4.24,165323856,-0.004694835680751074
2019-04-10,4.23,4.23,4.14,4.17,207018208,-0.016509433962264217
2019-04-11,4.17,4.2,4.11,4.13,132854664,-0.009592326139088737
2019-04-12,4.12,4.14,4.1,4.14,79397792,0.0024213075060532173
2019-04-15,4.18,4.26,4.17,4.17,187245968,0.007246376811594264
2019-04-16,4.15,4.37,4.14,4.34,302258336,0.04076738609112708
2019-04-17,4.32,4.44,4.31,4.38,206239920,0.00921658986175116
2019-04-18,4.38,4.4,4.27,4.31,127369632,-0.015981735159817417
2019-04-19,4.33,4.38,4.29,4.32,89360160,0.002320185614849345
2019-04-22,4.32,4.35,4.2,4.22,120476936,-0.02314814814814827
2019-04-23,4.22,4.27,4.2,4.24,118907680,0.004739336492891105
2019-04-24,4.26,4.27,4.18,4.23,87543328,-0.0023584905660376855
2019-04-25,4.23,4.23,4.17,4.19,86378976,-0.009456264775413718
2019-04-26,4.17,4.18,4.08,4.09,149315456,-0.023866348448687475
2019-04-29,4.11,4.22,4.1,4.17,153062368,0.019559902200489015
2019-04-30,4.17,4.21,4.13,4.17,98977800,0.0
2019-05-06,4.1,4.11,4,4.04,171880400,-0.031175059952038345
2019-05-07,4.06,4.07,4,4.04,100030864,0.0
2019-05-08,4.01,4.03,3.97,3.98,105172192,-0.014851485148514865
2019-05-09,3.97,3.98,3.91,3.92,80144368,-0.015075376884422124
2019-05-10,3.94,3.99,3.89,3.96,109458344,0.01020408163265307
2019-05-13,3.93,3.95,3.9,3.91,68168128,-0.012626262626262581
2019-05-14,3.89,3.93,3.87,3.88,87361760,-0.007672634271099808
2019-05-15,3.9,3.93,3.88,3.9,94630112,0.005154639175257737
2019-05-16,3.9,3.92,3.88,3.91,66299684,0.0025641025641026235
2019-05-17,3.91,3.92,3.86,3.87,72736880,-0.010230179028133002
2019-05-20,3.87,3.9,3.86,3.88,71297944,0.0025839793281653197
2019-05-21,3.88,3.95,3.88,3.91,99850288,0.007731958762886662
2019-05-22,3.91,3.93,3.89,3.9,58587324,-0.002557544757033307
2019-05-23,3.9,3.9,3.86,3.87,68721152,-0.007692307692307642
2019-05-24,3.89,3.91,3.85,3.86,91716160,-0.002583979328165434
2019-05-27,3.86,3.9,3.82,3.89,102363512,0.007772020725388666
2019-05-28,3.89,3.93,3.86,3.92,131784912,0.0077120822622107465
2019-05-29,3.89,3.91,3.87,3.87,74874240,-0.012755102040816282
2019-05-30,3.87,3.89,3.84,3.88,63016812,0.0025839793281653197
2019-05-31,3.88,3.89,3.83,3.84,77512624,-0.010309278350515474
2019-06-03,3.85,3.89,3.84,3.89,73592936,0.013020833333333403
2019-06-04,3.89,3.9,3.86,3.9,55976800,0.002570694087403544
2019-06-05,3.91,3.94,3.9,3.92,69352088,0.0051282051282051325
2019-06-06,3.92,3.94,3.9,3.92,65081924,0.0
2019-06-10,3.94,3.97,3.92,3.94,85951264,0.005102040816326535
2019-06-11,3.94,3.98,3.93,3.97,99602152,0.007614213197969607
2019-06-12,3.96,3.98,3.95,3.98,54636692,0.002518891687657377
2019-06-13,3.97,3.98,3.94,3.96,62912164,-0.005025125628140708
2019-06-14,3.97,3.97,3.94,3.94,66044640,-0.005050505050505055
2019-06-17,3.94,3.97,3.94,3.96,52211088,0.0050761421319797
2019-06-18,3.96,3.98,3.95,3.97,55530352,0.0025252525252525836
2019-06-19,4.01,4.03,3.97,4,124384880,0.0075566750629722425
2019-06-20,4,4.08,3.97,4.04,162307872,0.010000000000000009
2019-06-21,4.04,4.06,4.03,4.03,111417248,-0.0024752475247524224
2019-06-24,4.03,4.05,4.03,4.05,69216120,0.004962779156327438
2019-06-25,4.04,4.05,3.99,4.02,101390200,-0.007407407407407469
2019-06-26,3.88,3.88,3.82,3.83,87046456,-0.04726368159203968
2019-06-27,3.84,3.86,3.81,3.83,91426736,0.0
2019-06-28,3.84,3.84,3.8,3.81,55018172,-0.005221932114882511
2019-07-01,3.85,3.86,3.83,3.85,97842640,0.010498687664042003
2019-07-02,3.85,3.86,3.83,3.85,82078608,0.0
2019-07-03,3.84,3.88,3.83,3.87,86443760,0.005194805194805199
2019-07-04,3.87,3.89,3.85,3.87,80033504,0.0
2019-07-05,3.87,3.87,3.84,3.86,59111192,-0.002583979328165434
2019-07-08,3.85,3.85,3.77,3.79,73798736,-0.018134715025906696
2019-07-09,3.8,3.81,3.76,3.77,51024772,-0.0052770448548812715
2019-07-10,3.78,3.79,3.77,3.78,38279348,0.0026525198938991477
2019-07-11,3.79,3.81,3.76,3.77,34257160,-0.0026455026455025894
2019-07-12,3.78,3.82,3.76,3.8,50725888,0.00795755968169756
2019-07-15,3.79,3.81,3.76,3.8,61204736,0.0
2019-07-16,3.8,3.81,3.79,3.8,27169968,0.0
2019-07-17,3.79,3.8,3.77,3.78,31486532,-0.005263157894736847
2019-07-18,3.78,3.78,3.76,3.76,37167076,-0.005291005291005296
2019-07-19,3.77,3.8,3.76,3.78,42349164,0.005319148936170218
2019-07-22,3.78,3.81,3.76,3.79,73129000,0.002645502645502707
2019-07-23,3.79,3.82,3.78,3.8,44919232,0.0026385224274405768
2019-07-24,3.81,3.84,3.8,3.81,64760588,0.002631578947368482
2019-07-25,3.81,3.85,3.8,3.85,58545368,0.010498687664042003
2019-07-26,3.84,3.89,3.83,3.87,85274528,0.005194805194805199
2019-07-29,3.89,3.96,3.88,3.94,141540544,0.01808785529715758
2019-07-30,3.94,4,3.93,3.95,95212736,0.0025380710659899065
2019-07-31,3.96,3.97,3.92,3.93,86168104,-0.005063291139240511
2019-08-01,3.92,3.95,3.89,3.92,76085088,-0.0025445292620865727
2019-08-02,3.88,3.9,3.84,3.86,110556552,-0.015306122448979605
2019-08-05,3.85,3.86,3.78,3.79,80074408,-0.018134715025906696
2019-08-06,3.75,3.76,3.7,3.73,82642704,-0.015831134564643815
2019-08-07,3.74,3.76,3.7,3.7,79949984,-0.008042895442359197
2019-08-08,3.72,3.77,3.7,3.76,73054520,0.01621621621621611
2019-08-09,3.77,3.79,3.75,3.77,57489612,0.002659574468085168
2019-08-12,3.76,3.79,3.73,3.77,80976648,0.0
2019-08-13,3.75,3.75,3.71,3.73,62745316,-0.010610079575596827
2019-08-14,3.76,3.83,3.75,3.79,98186032,0.016085790884718513
2019-08-15,3.74,3.79,3.73,3.79,57011832,0.0
2019-08-16,3.79,3.8,3.75,3.77,61871728,-0.0052770448548812715
2019-08-19,3.77,3.78,3.68,3.75,164470256,-0.005305039787798413
2019-08-20,3.74,3.75,3.72,3.72,91218520,-0.007999999999999948
2019-08-21,3.72,3.75,3.71,3.74,56788164,0.00537634408602151
2019-08-22,3.74,3.75,3.71,3.72,58094624,-0.0053475935828877046
2019-08-23,3.72,3.74,3.71,3.71,70773768,-0.0026881720430108145
2019-08-26,3.68,3.7,3.65,3.67,100747968,-0.010781671159029659
2019-08-27,3.68,3.71,3.67,3.67,118583344,0.0
2019-08-28,3.68,3.69,3.67,3.69,54855628,0.005449591280653956
2019-08-29,3.71,3.78,3.71,3.75,171759632,0.016260162601626032
2019-08-30,3.76,3.78,3.75,3.76,86734352,0.0026666666666666098
2019-09-02,3.77,3.8,3.75,3.78,79608248,0.005319148936170218
2019-09-03,3.78,3.78,3.75,3.76,57623592,-0.005291005291005296
2019-09-04,3.77,3.84,3.75,3.84,94075824,0.02127659574468087
2019-09-05,3.86,3.98,3.85,3.94,198065648,0.026041666666666692
2019-09-06,3.96,3.98,3.92,3.97,96814576,0.007614213197969607
2019-09-09,3.99,4.02,3.95,3.96,94505088,-0.0025188916876574888
2019-09-10,3.97,3.97,3.93,3.95,60086324,-0.0025252525252524713
2019-09-11,3.96,3.98,3.94,3.95,124521064,0.0
2019-09-12,3.97,4,3.96,3.99,97694680,0.010126582278481022
2019-09-16,3.98,4,3.95,3.97,72696656,-0.005012531328320806
2019-09-17,3.96,3.99,3.92,3.95,119380472,-0.005037783375314866
2019-09-18,3.96,3.99,3.95,3.97,67047708,0.005063291139240511
2019-09-19,3.99,4,3.96,3.98,45929664,0.002518891687657377
2019-09-20,3.98,3.99,3.93,3.96,81626536,-0.005025125628140708
2019-09-23,3.94,3.96,3.89,3.92,56941800,-0.01010101010101011
2019-09-24,3.93,3.94,3.9,3.9,46078476,-0.005102040816326535
2019-09-25,3.9,3.96,3.88,3.93,55900120,0.007692307692307756
2019-09-26,3.95,4.1,3.95,4.09,250955184,0.040712468193384144
