Date,Open,High,Low,Close,Turnover,收盘-开盘(a),最高-最低(b)
 2019-01-15,72.08,75.3,72.08,75.13,3823245,3.049999999999997,3.219999999999999
 2019-01-16,75.64,77.09,75.1,77,5081175,1.3599999999999994,1.990000000000009
 2019-01-17,77,77.58,75.65,75.85,3677512,-1.1500000000000057,1.9299999999999926
 2019-01-18,76,78.8,75.92,78.48,5455771,2.480000000000004,2.8799999999999955
 2019-01-21,78.47,79.45,77.8,78.52,5000226,0.04999999999999716,1.6500000000000057
 2019-01-22,78.4,78.4,76.7,77.34,3346808,-1.0600000000000023,1.7000000000000028
 2019-01-23,76.8,79.2,76.8,78.79,3589098,1.990000000000009,2.4000000000000057
 2019-01-24,78.55,79.84,77.35,79.62,3267038,1.0700000000000074,2.490000000000009
 2019-01-25,79.63,80.18,78,78.23,2829965,-1.3999999999999915,2.180000000000007
 2019-01-28,78.28,79.42,76.75,78,4886025,-0.28000000000000114,2.6700000000000017
 2019-01-29,77.9,79.13,77.36,78.98,3260742,1.0799999999999983,1.769999999999996
 2019-01-30,78.67,79.18,77.37,77.7,2381606,-0.9699999999999989,1.8100000000000023
 2019-01-31,77.56,78.48,77.1,77.73,2945111,0.1700000000000017,1.3800000000000097
 2019-02-01,78.32,81.49,77.74,80.96,3881143,2.6400000000000006,3.75
 2019-02-11,80.49,83.8,80.26,83.3,4283156,2.8100000000000023,3.539999999999992
 2019-02-12,83.44,85.98,82.96,85.15,5685234,1.710000000000008,3.0200000000000102
 2019-02-13,85.08,86.15,84.38,85.55,4059426,0.46999999999999886,1.7700000000000102
 2019-02-14,85.56,85.56,83.88,84.7,4466320,-0.8599999999999994,1.6800000000000068
 2019-02-15,84.4,84.4,82.31,82.8,4038159,-1.6000000000000085,2.0900000000000034
 2019-02-18,82.95,85.39,82.95,85.24,4284498,2.289999999999992,2.4399999999999977
 2019-02-19,85.28,85.29,83.18,83.64,3827733,-1.6400000000000006,2.1099999999999994
 2019-02-20,83.63,84.25,83.06,83.78,3241182,0.15000000000000568,1.1899999999999977
 2019-02-21,83.79,83.93,82.74,82.87,3052575,-0.9200000000000017,1.190000000000012
 2019-02-22,82.86,83.18,81.41,83.12,3901069,0.2600000000000051,1.7700000000000102
 2019-02-25,83.2,85.48,83.02,85.04,10446776,1.8400000000000034,2.460000000000008
 2019-02-26,85,88.11,84.01,86.53,9408760,1.5300000000000011,4.099999999999994
 2019-02-27,86.53,87.51,84.55,85.08,5676791,-1.4500000000000028,2.960000000000008
 2019-03-01,88.88,89,85.5,86.55,6596962,-2.3299999999999983,3.5
 2019-03-04,86.89,89.25,86.85,89.02,8577685,2.1299999999999955,2.4000000000000057
 2019-03-05,88.95,89,87.8,89,4656932,0.04999999999999716,1.2000000000000028
 2019-03-06,88.88,89,87.28,88,4813895,-0.8799999999999955,1.7199999999999989
 2019-03-07,87.8,87.8,84.9,85.82,7336923,-1.980000000000004,2.8999999999999915
 2019-03-08,84.2,85.5,82.65,82.78,6380944,-1.4200000000000017,2.8499999999999943
 2019-03-11,82.6,84.43,82.56,84.05,4377168,1.4500000000000028,1.8700000000000045
 2019-03-12,84.92,84.92,83.38,83.77,4961482,-1.1500000000000057,1.5400000000000063
 2019-03-13,83.2,85.02,83.01,84.41,4885971,1.2099999999999937,2.009999999999991
 2019-03-14,84.41,85.28,84.02,84.6,3883234,0.18999999999999773,1.2600000000000051
 2019-03-15,84.7,85.39,83.47,84.1,4892318,-0.6000000000000085,1.9200000000000017
 2019-03-18,84.16,87.98,84,87.92,11435402,3.760000000000005,3.980000000000004
 2019-03-19,88,88.19,85.5,86.29,8144291,-1.7099999999999937,2.6899999999999977
 2019-03-20,86.2,86.75,84.84,85.78,4834387,-0.4200000000000017,1.9099999999999966
 2019-03-21,85.7,86.12,85.12,86.12,4766679,0.4200000000000017,1.0
 2019-03-22,87,87.44,85.4,86.02,5872048,-0.980000000000004,2.039999999999992
 2019-03-25,84.87,84.87,83.1,83.14,8017109,-1.730000000000004,1.7700000000000102
 2019-03-26,83.14,83.87,82.21,82.57,3944105,-0.5700000000000074,1.6600000000000108
 2019-03-27,82.42,84.08,82.42,83.83,4358166,1.4099999999999966,1.6599999999999966
 2019-03-28,83.74,83.75,82.66,83.18,3647974,-0.5599999999999881,1.0900000000000034
 2019-03-29,83.18,85.71,83.01,85.5,7272721,2.319999999999993,2.6999999999999886
 2019-04-01,85.8,87.81,85.79,87.5,8858012,1.7000000000000028,2.019999999999996
 2019-04-02,87.32,87.32,85.9,86.65,6746393,-0.6699999999999875,1.4199999999999875
 2019-04-03,86.61,88.8,83.21,85.65,15824205,-0.9599999999999937,5.590000000000003
 2019-04-04,85,85.05,83.69,84.86,9752413,-0.14000000000000057,1.3599999999999994
 2019-04-08,84.9,86.49,84.5,85.54,8846203,0.6400000000000006,1.9899999999999949
 2019-04-09,86,91.5,85.21,90.99,18397334,4.989999999999995,6.290000000000006
 2019-04-10,91,98.88,90.4,94.09,17128512,3.0900000000000034,8.47999999999999
 2019-04-11,93.5,93.96,90.06,90.8,10549139,-2.700000000000003,3.8999999999999915
 2019-04-12,91,91.7,89,89.98,7110380,-1.019999999999996,2.700000000000003
 2019-04-15,90.38,92.55,89.13,89.15,6412181,-1.2299999999999898,3.4200000000000017
 2019-04-16,89.12,90.15,88,90.15,5756638,1.0300000000000011,2.1500000000000057
 2019-04-17,89.91,91.89,89.23,91.19,6008805,1.2800000000000011,2.6599999999999966
 2019-04-18,91,91.91,90,90.06,4646891,-0.9399999999999977,1.9099999999999966
 2019-04-19,89.92,90.86,88.68,89.94,4380874,0.01999999999999602,2.1799999999999926
 2019-04-22,89.95,91.97,89.53,91.82,7438363,1.8699999999999903,2.4399999999999977
 2019-04-23,91.21,91.83,90.61,90.8,4905554,-0.4099999999999966,1.2199999999999989
 2019-04-24,91.1,92.46,91.1,92,5614584,0.9000000000000057,1.3599999999999994
 2019-04-25,92.31,92.5,89.23,89.4,4625057,-2.9099999999999966,3.269999999999996
 2019-04-26,89.3,89.3,86.21,86.21,6265538,-3.0900000000000034,3.0900000000000034
 2019-04-29,86.21,88.89,85.58,87.55,4982473,1.3400000000000034,3.3100000000000023
 2019-04-30,87,88.9,86.6,88.5,3917202,1.5,2.3000000000000114
 2019-05-06,86.5,86.51,80.9,82.01,8731976,-4.489999999999995,5.609999999999999
 2019-05-07,82.39,84.49,82.38,84.13,4431634,1.7399999999999949,2.1099999999999994
 2019-05-08,82.2,85.25,81.9,84,4526977,1.7999999999999972,3.3499999999999943
 2019-05-09,83.24,83.88,78.5,79.39,7505506,-3.8499999999999943,5.3799999999999955
 2019-05-10,80.01,80.85,78.01,80.01,6893563,0.0,2.839999999999989
 2019-05-13,79.64,80,77.85,79.1,3488480,-0.5400000000000063,2.1500000000000057
 2019-05-14,78.74,79.89,78.3,78.68,3881000,-0.05999999999998806,1.5900000000000034
